,T_int,T_ext_1,T_ext_2,Film_Coefficient,Density,Specific_Heat,Thermal_Conductivity,Radius
0,25.15,29.77,28.46,0.036,7.87E-09,4.86E+08,51.9,25
10,25.58,35.64,33.13,0.036,7.87E-09,4.86E+08,51.9,25
20,26.01,40.61,38.03,0.036,7.87E-09,4.86E+08,51.9,25
30,26.44,45.59,43.23,0.036,7.87E-09,4.86E+08,51.9,25
40,26.59,50.93,48.47,0.036,7.87E-09,4.86E+08,51.9,25
50,27.02,55.51,52.94,0.036,7.87E-09,4.86E+08,51.9,25
60,27.16,60.14,57.26,0.036,7.87E-09,4.86E+08,51.9,25
70,27.6,64.65,61.25,0.036,7.87E-09,4.86E+08,51.9,25
80,28.46,66.81,64.07,0.036,7.87E-09,4.86E+08,51.9,25
90,29.04,68.42,65.23,0.036,7.87E-09,4.86E+08,51.9,25
100,29.33,68.62,66.41,0.036,7.87E-09,4.86E+08,51.9,25
110,29.48,68.21,66.41,0.036,7.87E-09,4.86E+08,51.9,25
120,29.33,68.01,66.21,0.036,7.87E-09,4.86E+08,51.9,25
130,29.77,67.61,65.82,0.036,7.87E-09,4.86E+08,51.9,25
140,29.91,67.21,65.43,0.036,7.87E-09,4.86E+08,51.9,25
150,30.35,66.21,64.46,0.036,7.87E-09,4.86E+08,51.9,25
160,30.64,66.21,64.27,0.036,7.87E-09,4.86E+08,51.9,25
170,30.79,65.23,63.69,0.036,7.87E-09,4.86E+08,51.9,25
180,30.93,64.65,63.31,0.036,7.87E-09,4.86E+08,51.9,25
190,31.23,64.46,63.31,0.036,7.87E-09,4.86E+08,51.9,25
200,31.23,64.27,62.74,0.036,7.87E-09,4.86E+08,51.9,25
210,31.66,63.5,62.55,0.036,7.87E-09,4.86E+08,51.9,25
220,31.96,62.93,62.36,0.036,7.87E-09,4.86E+08,51.9,25
230,31.81,62.93,62.36,0.036,7.87E-09,4.86E+08,51.9,25
240,32.25,62.55,61.99,0.036,7.87E-09,4.86E+08,51.9,25
250,32.1,63.31,61.99,0.036,7.87E-09,4.86E+08,51.9,25
260,32.4,62.55,61.8,0.036,7.87E-09,4.86E+08,51.9,25
270,32.54,62.74,61.8,0.036,7.87E-09,4.86E+08,51.9,25
280,32.84,62.93,61.8,0.036,7.87E-09,4.86E+08,51.9,25
290,32.98,62.93,61.99,0.036,7.87E-09,4.86E+08,51.9,25
300,33.13,62.18,61.8,0.036,7.87E-09,4.86E+08,51.9,25
310,33.28,61.99,61.99,0.036,7.87E-09,4.86E+08,51.9,25
320,33.42,61.99,61.8,0.036,7.87E-09,4.86E+08,51.9,25
330,33.57,62.18,61.62,0.036,7.87E-09,4.86E+08,51.9,25
340,33.72,62.36,61.62,0.036,7.87E-09,4.86E+08,51.9,25
350,33.87,61.99,61.8,0.036,7.87E-09,4.86E+08,51.9,25
360,34.31,62.36,61.62,0.036,7.87E-09,4.86E+08,51.9,25
370,34.31,62.36,61.99,0.036,7.87E-09,4.86E+08,51.9,25
380,34.6,62.18,61.8,0.036,7.87E-09,4.86E+08,51.9,25
390,34.75,62.18,61.62,0.036,7.87E-09,4.86E+08,51.9,25
400,34.75,61.8,61.62,0.036,7.87E-09,4.86E+08,51.9,25
410,35.05,62.18,61.8,0.036,7.87E-09,4.86E+08,51.9,25
420,35.05,61.99,61.62,0.036,7.87E-09,4.86E+08,51.9,25
430,35.2,61.99,61.8,0.036,7.87E-09,4.86E+08,51.9,25
440,35.49,61.99,61.8,0.036,7.87E-09,4.86E+08,51.9,25
450,35.49,61.8,61.8,0.036,7.87E-09,4.86E+08,51.9,25
461,35.64,61.62,61.62,0.036,7.87E-09,4.86E+08,51.9,25
471,35.94,61.62,61.43,0.036,7.87E-09,4.86E+08,51.9,25
481,36.09,61.8,61.8,0.036,7.87E-09,4.86E+08,51.9,25
491,36.24,61.99,61.43,0.036,7.87E-09,4.86E+08,51.9,25
501,36.39,61.62,61.62,0.036,7.87E-09,4.86E+08,51.9,25
511,36.54,61.8,61.25,0.036,7.87E-09,4.86E+08,51.9,25
521,36.83,61.62,61.43,0.036,7.87E-09,4.86E+08,51.9,25
531,36.68,61.43,61.25,0.036,7.87E-09,4.86E+08,51.9,25
541,36.83,61.06,61.25,0.036,7.87E-09,4.86E+08,51.9,25
