time,T_int,T_ext_1,Film_Coefficient,Density,Specific_Heat,Thermal_Conductivity,Radius
0,24.66,29.04,0.036,2.70E-09,8.96E+08,167,25
10,24.23,31.37,0.036,2.70E-09,8.96E+08,167,25
20,24.81,37.13,0.036,2.70E-09,8.96E+08,167,25
30,24.96,43.08,0.036,2.70E-09,8.96E+08,167,25
40,25.25,48.8,0.036,2.70E-09,8.96E+08,167,25
50,25.54,55.16,0.036,2.70E-09,8.96E+08,167,25
60,25.69,61.25,0.036,2.70E-09,8.96E+08,167,25
70,26.13,66.02,0.036,2.70E-09,8.96E+08,167,25
80,26.57,69.44,0.036,2.70E-09,8.96E+08,167,25
90,27.01,70.9,0.036,2.70E-09,8.96E+08,167,25
100,27.01,70.9,0.036,2.70E-09,8.96E+08,167,25
110,27.16,70.48,0.036,2.70E-09,8.96E+08,167,25
120,27.46,70.06,0.036,2.70E-09,8.96E+08,167,25
130,27.75,68.82,0.036,2.70E-09,8.96E+08,167,25
140,27.6,68.21,0.036,2.70E-09,8.96E+08,167,25
150,27.75,67.41,0.036,2.70E-09,8.96E+08,167,25
160,27.9,66.61,0.036,2.70E-09,8.96E+08,167,25
170,28.49,66.41,0.036,2.70E-09,8.96E+08,167,25
180,28.49,65.82,0.036,2.70E-09,8.96E+08,167,25
190,28.49,65.43,0.036,2.70E-09,8.96E+08,167,25
200,28.34,65.04,0.036,2.70E-09,8.96E+08,167,25
210,28.64,65.04,0.036,2.70E-09,8.96E+08,167,25
220,28.64,64.84,0.036,2.70E-09,8.96E+08,167,25
230,28.49,64.65,0.036,2.70E-09,8.96E+08,167,25
240,29.24,64.46,0.036,2.70E-09,8.96E+08,167,25
250,29.24,64.46,0.036,2.70E-09,8.96E+08,167,25
260,29.39,64.27,0.036,2.70E-09,8.96E+08,167,25
270,29.68,64.27,0.036,2.70E-09,8.96E+08,167,25
280,29.68,64.07,0.036,2.70E-09,8.96E+08,167,25
290,29.68,63.88,0.036,2.70E-09,8.96E+08,167,25
300,29.98,64.27,0.036,2.70E-09,8.96E+08,167,25
310,30.13,64.27,0.036,2.70E-09,8.96E+08,167,25
320,30.13,63.69,0.036,2.70E-09,8.96E+08,167,25
330,30.13,63.88,0.036,2.70E-09,8.96E+08,167,25
340,30.43,63.69,0.036,2.70E-09,8.96E+08,167,25
350,30.43,63.88,0.036,2.70E-09,8.96E+08,167,25
360,30.43,63.88,0.036,2.70E-09,8.96E+08,167,25
370,30.73,63.88,0.036,2.70E-09,8.96E+08,167,25
380,30.73,64.07,0.036,2.70E-09,8.96E+08,167,25
390,31.03,63.69,0.036,2.70E-09,8.96E+08,167,25
401,31.49,63.88,0.036,2.70E-09,8.96E+08,167,25
411,31.03,64.07,0.036,2.70E-09,8.96E+08,167,25
421,31.18,64.07,0.036,2.70E-09,8.96E+08,167,25
431,31.64,63.69,0.036,2.70E-09,8.96E+08,167,25
441,31.79,63.69,0.036,2.70E-09,8.96E+08,167,25
451,31.64,63.69,0.036,2.70E-09,8.96E+08,167,25
461,32.24,63.5,0.036,2.70E-09,8.96E+08,167,25
471,32.09,63.12,0.036,2.70E-09,8.96E+08,167,25
481,32.09,63.12,0.036,2.70E-09,8.96E+08,167,25
491,31.94,62.93,0.036,2.70E-09,8.96E+08,167,25
501,32.09,62.93,0.036,2.70E-09,8.96E+08,167,25
511,32.39,63.12,0.036,2.70E-09,8.96E+08,167,25
521,32.55,63.12,0.036,2.70E-09,8.96E+08,167,25
531,32.7,63.12,0.036,2.70E-09,8.96E+08,167,25
541,33,63.12,0.036,2.70E-09,8.96E+08,167,25
551,32.85,63.12,0.036,2.70E-09,8.96E+08,167,25
561,32.85,63.88,0.036,2.70E-09,8.96E+08,167,25
571,33,63.31,0.036,2.70E-09,8.96E+08,167,25
581,33.31,63.31,0.036,2.70E-09,8.96E+08,167,25
591,33.15,63.31,0.036,2.70E-09,8.96E+08,167,25
601,33.31,62.74,0.036,2.70E-09,8.96E+08,167,25
611,33.15,62.36,0.036,2.70E-09,8.96E+08,167,25
621,33.61,62.74,0.036,2.70E-09,8.96E+08,167,25
631,33.92,62.55,0.036,2.70E-09,8.96E+08,167,25
641,34.07,62.74,0.036,2.70E-09,8.96E+08,167,25
651,33.92,62.55,0.036,2.70E-09,8.96E+08,167,25
661,34.07,62.74,0.036,2.70E-09,8.96E+08,167,25
671,34.07,62.55,0.036,2.70E-09,8.96E+08,167,25
681,34.38,62.36,0.036,2.70E-09,8.96E+08,167,25
691,34.53,62.18,0.036,2.70E-09,8.96E+08,167,25
701,34.38,62.18,0.036,2.70E-09,8.96E+08,167,25
711,34.53,62.18,0.036,2.70E-09,8.96E+08,167,25
721,34.69,62.18,0.036,2.70E-09,8.96E+08,167,25
731,34.53,62.36,0.036,2.70E-09,8.96E+08,167,25
741,34.99,62.18,0.036,2.70E-09,8.96E+08,167,25
751,34.99,62.36,0.036,2.70E-09,8.96E+08,167,25
761,35.15,62.36,0.036,2.70E-09,8.96E+08,167,25
771,35.3,62.55,0.036,2.70E-09,8.96E+08,167,25
781,35.3,62.55,0.036,2.70E-09,8.96E+08,167,25
