time,T_int,T_ext_1,T_ext_2,Film_Coefficient,Density,Specific_Heat,Thermal_Conductivity,Radius
0,26.01,28.18,29.04,0.036,7.87E-09,4.86E+08,51.9,15
10,25.87,28.61,29.33,0.036,7.87E-09,4.86E+08,51.9,15
20,26.01,31.08,32.25,0.036,7.87E-09,4.86E+08,51.9,15
30,27.02,36.24,38.18,0.036,7.87E-09,4.86E+08,51.9,15
40,27.74,41.38,44.48,0.036,7.87E-09,4.86E+08,51.9,15
50,28.18,46.7,49.94,0.036,7.87E-09,4.86E+08,51.9,15
60,29.33,53.11,55.34,0.036,7.87E-09,4.86E+08,51.9,15
70,30.5,59.41,60.32,0.036,7.87E-09,4.86E+08,51.9,15
80,31.37,63.5,64.07,0.036,7.87E-09,4.86E+08,51.9,15
90,32.25,66.81,67.21,0.036,7.87E-09,4.86E+08,51.9,15
100,32.69,68.21,68.01,0.036,7.87E-09,4.86E+08,51.9,15
110,33.13,69.44,67.81,0.036,7.87E-09,4.86E+08,51.9,15
120,33.42,69.65,67.21,0.036,7.87E-09,4.86E+08,51.9,15
130,33.72,69.44,66.21,0.036,7.87E-09,4.86E+08,51.9,15
140,34.16,69.44,65.82,0.036,7.87E-09,4.86E+08,51.9,15
150,34.6,69.23,64.84,0.036,7.87E-09,4.86E+08,51.9,15
161,35.05,68.62,64.84,0.036,7.87E-09,4.86E+08,51.9,15
171,35.34,68.62,64.46,0.036,7.87E-09,4.86E+08,51.9,15
181,35.2,68.21,63.69,0.036,7.87E-09,4.86E+08,51.9,15
191,36.24,67.01,63.31,0.036,7.87E-09,4.86E+08,51.9,15
201,36.09,66.81,63.31,0.036,7.87E-09,4.86E+08,51.9,15
211,36.39,66.41,62.74,0.036,7.87E-09,4.86E+08,51.9,15
221,36.54,66.21,62.18,0.036,7.87E-09,4.86E+08,51.9,15
231,37.13,65.82,62.18,0.036,7.87E-09,4.86E+08,51.9,15
241,37.43,65.82,62.18,0.036,7.87E-09,4.86E+08,51.9,15
251,37.28,65.82,62.18,0.036,7.87E-09,4.86E+08,51.9,15
261,37.88,66.02,61.99,0.036,7.87E-09,4.86E+08,51.9,15
271,38.18,66.02,62.18,0.036,7.87E-09,4.86E+08,51.9,15
281,38.49,65.62,61.99,0.036,7.87E-09,4.86E+08,51.9,15
291,38.64,66.02,61.8,0.036,7.87E-09,4.86E+08,51.9,15
301,38.94,65.82,61.62,0.036,7.87E-09,4.86E+08,51.9,15
311,39.09,65.82,61.62,0.036,7.87E-09,4.86E+08,51.9,15
321,39.55,65.82,61.8,0.036,7.87E-09,4.86E+08,51.9,15
331,39.55,65.82,61.62,0.036,7.87E-09,4.86E+08,51.9,15
341,39.85,66.21,61.8,0.036,7.87E-09,4.86E+08,51.9,15
351,40.15,66.02,61.8,0.036,7.87E-09,4.86E+08,51.9,15
361,40.46,66.41,61.8,0.036,7.87E-09,4.86E+08,51.9,15
371,40.77,66.21,61.99,0.036,7.87E-09,4.86E+08,51.9,15
381,41.07,65.62,61.8,0.036,7.87E-09,4.86E+08,51.9,15
391,41.07,65.43,61.43,0.036,7.87E-09,4.86E+08,51.9,15
