time,T_int,T_ext_1,Film_Coefficient,Density,Specific_Heat,Thermal_Conductivity,Radius
0,25.5855,26.3,0.036,2.70E-09,8.96E+08,167,15
10,25.7409,26.3,0.036,2.70E-09,8.96E+08,167,15
20,25.7409,26.15,0.036,2.70E-09,8.96E+08,167,15
30,25.7409,26.59,0.036,2.70E-09,8.96E+08,167,15
40,25.5855,26.44,0.036,2.70E-09,8.96E+08,167,15
50,25.7409,30.64,0.036,2.70E-09,8.96E+08,167,15
60,26.2182,35.49,0.036,2.70E-09,8.96E+08,167,15
70,26.7066,39.55,0.036,2.70E-09,8.96E+08,167,15
80,27.0174,44.8,0.036,2.70E-09,8.96E+08,167,15
90,27.5058,50.11,0.036,2.70E-09,8.96E+08,167,15
100,27.8277,55.34,0.036,2.70E-09,8.96E+08,167,15
110,28.4604,60.69,0.036,2.70E-09,8.96E+08,167,15
120,29.1042,63.88,0.036,2.70E-09,8.96E+08,167,15
130,29.5926,65.82,0.036,2.70E-09,8.96E+08,167,15
140,29.9145,66.41,0.036,2.70E-09,8.96E+08,167,15
150,29.5926,66.02,0.036,2.70E-09,8.96E+08,167,15
160,30.2364,64.84,0.036,2.70E-09,8.96E+08,167,15
170,31.0467,64.27,0.036,2.70E-09,8.96E+08,167,15
180,31.2021,63.69,0.036,2.70E-09,8.96E+08,167,15
190,31.0467,62.74,0.036,2.70E-09,8.96E+08,167,15
200,31.3686,62.18,0.036,2.70E-09,8.96E+08,167,15
210,32.0124,61.99,0.036,2.70E-09,8.96E+08,167,15
220,31.857,61.25,0.036,2.70E-09,8.96E+08,167,15
230,32.3454,60.69,0.036,2.70E-09,8.96E+08,167,15
240,32.3454,60.69,0.036,2.70E-09,8.96E+08,167,15
250,32.9892,60.88,0.036,2.70E-09,8.96E+08,167,15
260,32.9892,60.69,0.036,2.70E-09,8.96E+08,167,15
270,33.3222,60.32,0.036,2.70E-09,8.96E+08,167,15
280,33.6441,60.32,0.036,2.70E-09,8.96E+08,167,15
290,33.966,60.14,0.036,2.70E-09,8.96E+08,167,15
300,33.8106,60.32,0.036,2.70E-09,8.96E+08,167,15
310,33.966,59.96,0.036,2.70E-09,8.96E+08,167,15
320,34.6209,60.32,0.036,2.70E-09,8.96E+08,167,15
330,34.7874,59.78,0.036,2.70E-09,8.96E+08,167,15
340,34.9539,59.78,0.036,2.70E-09,8.96E+08,167,15
350,35.1204,60.32,0.036,2.70E-09,8.96E+08,167,15
360,35.6088,60.14,0.036,2.70E-09,8.96E+08,167,15
370,35.6088,60.14,0.036,2.70E-09,8.96E+08,167,15
380,35.7753,59.59,0.036,2.70E-09,8.96E+08,167,15
390,35.9418,59.41,0.036,2.70E-09,8.96E+08,167,15
400,35.9418,59.41,0.036,2.70E-09,8.96E+08,167,15
410,36.4302,59.78,0.036,2.70E-09,8.96E+08,167,15
420,36.7632,60.14,0.036,2.70E-09,8.96E+08,167,15
430,36.5967,59.78,0.036,2.70E-09,8.96E+08,167,15
441,36.9297,59.96,0.036,2.70E-09,8.96E+08,167,15
451,37.2627,59.78,0.036,2.70E-09,8.96E+08,167,15
461,37.5846,59.59,0.036,2.70E-09,8.96E+08,167,15
471,37.5846,59.41,0.036,2.70E-09,8.96E+08,167,15
481,37.5846,58.69,0.036,2.70E-09,8.96E+08,167,15
491,38.0841,59.05,0.036,2.70E-09,8.96E+08,167,15
501,38.2506,59.05,0.036,2.70E-09,8.96E+08,167,15
511,38.4171,58.87,0.036,2.70E-09,8.96E+08,167,15
521,38.4171,58.87,0.036,2.70E-09,8.96E+08,167,15
531,38.5836,58.69,0.036,2.70E-09,8.96E+08,167,15
541,38.9166,58.87,0.036,2.70E-09,8.96E+08,167,15
551,38.9166,58.15,0.036,2.70E-09,8.96E+08,167,15
561,39.2496,58.51,0.036,2.70E-09,8.96E+08,167,15
571,39.2496,58.69,0.036,2.70E-09,8.96E+08,167,15
581,39.2496,58.69,0.036,2.70E-09,8.96E+08,167,15
591,39.5937,58.33,0.036,2.70E-09,8.96E+08,167,15
601,39.9267,58.51,0.036,2.70E-09,8.96E+08,167,15
611,40.2597,59.41,0.036,2.70E-09,8.96E+08,167,15
621,40.4262,59.23,0.036,2.70E-09,8.96E+08,167,15
631,40.4262,59.59,0.036,2.70E-09,8.96E+08,167,15
641,40.5927,59.41,0.036,2.70E-09,8.96E+08,167,15
651,40.9368,58.87,0.036,2.70E-09,8.96E+08,167,15
661,40.9368,58.87,0.036,2.70E-09,8.96E+08,167,15
671,41.2698,58.69,0.036,2.70E-09,8.96E+08,167,15
681,41.2698,59.05,0.036,2.70E-09,8.96E+08,167,15
691,41.2698,58.69,0.036,2.70E-09,8.96E+08,167,15
701,41.6139,58.69,0.036,2.70E-09,8.96E+08,167,15
711,41.6139,59.05,0.036,2.70E-09,8.96E+08,167,15
721,41.6139,59.23,0.036,2.70E-09,8.96E+08,167,15
731,41.9469,58.69,0.036,2.70E-09,8.96E+08,167,15
741,42.1245,58.69,0.036,2.70E-09,8.96E+08,167,15
751,42.291,58.51,0.036,2.70E-09,8.96E+08,167,15
761,42.6351,58.69,0.036,2.70E-09,8.96E+08,167,15
771,42.291,57.97,0.036,2.70E-09,8.96E+08,167,15
781,42.4575,57.97,0.036,2.70E-09,8.96E+08,167,15
791,42.6351,58.69,0.036,2.70E-09,8.96E+08,167,15
801,43.1457,58.51,0.036,2.70E-09,8.96E+08,167,15
811,43.1457,58.33,0.036,2.70E-09,8.96E+08,167,15
821,43.1457,58.33,0.036,2.70E-09,8.96E+08,167,15
831,43.3122,57.97,0.036,2.70E-09,8.96E+08,167,15
841,43.6563,57.44,0.036,2.70E-09,8.96E+08,167,15
851,43.4787,57.44,0.036,2.70E-09,8.96E+08,167,15
861,43.4787,57.97,0.036,2.70E-09,8.96E+08,167,15
871,44.0004,58.51,0.036,2.70E-09,8.96E+08,167,15
881,43.8228,58.69,0.036,2.70E-09,8.96E+08,167,15
891,44.0004,58.33,0.036,2.70E-09,8.96E+08,167,15
901,44.1669,58.87,0.036,2.70E-09,8.96E+08,167,15
911,44.511,58.69,0.036,2.70E-09,8.96E+08,167,15
921,44.511,58.69,0.036,2.70E-09,8.96E+08,167,15
931,44.511,58.51,0.036,2.70E-09,8.96E+08,167,15
941,44.8551,58.69,0.036,2.70E-09,8.96E+08,167,15
951,44.8551,58.69,0.036,2.70E-09,8.96E+08,167,15
961,44.8551,58.33,0.036,2.70E-09,8.96E+08,167,15
971,45.0327,58.15,0.036,2.70E-09,8.96E+08,167,15
981,45.2103,57.62,0.036,2.70E-09,8.96E+08,167,15
991,45.2103,57.8,0.036,2.70E-09,8.96E+08,167,15
1001,45.3768,57.8,0.036,2.70E-09,8.96E+08,167,15
1011,45.2103,57.62,0.036,2.70E-09,8.96E+08,167,15
1021,45.5544,57.62,0.036,2.70E-09,8.96E+08,167,15
1031,45.7209,57.8,0.036,2.70E-09,8.96E+08,167,15
1041,45.7209,57.44,0.036,2.70E-09,8.96E+08,167,15
1052,45.8985,57.62,0.036,2.70E-09,8.96E+08,167,15
1062,46.2426,57.8,0.036,2.70E-09,8.96E+08,167,15
1072,45.8985,57.62,0.036,2.70E-09,8.96E+08,167,15
1082,45.8985,57.62,0.036,2.70E-09,8.96E+08,167,15
1092,46.5978,57.97,0.036,2.70E-09,8.96E+08,167,15
1102,46.5978,58.51,0.036,2.70E-09,8.96E+08,167,15
1112,46.5978,58.15,0.036,2.70E-09,8.96E+08,167,15
1122,46.5978,58.15,0.036,2.70E-09,8.96E+08,167,15
1132,46.7754,58.15,0.036,2.70E-09,8.96E+08,167,15
1142,46.7754,58.15,0.036,2.70E-09,8.96E+08,167,15
1152,47.1195,58.15,0.036,2.70E-09,8.96E+08,167,15
1162,47.1195,57.97,0.036,2.70E-09,8.96E+08,167,15
1172,47.1195,57.44,0.036,2.70E-09,8.96E+08,167,15
1182,47.2971,57.8,0.036,2.70E-09,8.96E+08,167,15
1192,47.4747,57.97,0.036,2.70E-09,8.96E+08,167,15
1202,47.4747,58.33,0.036,2.70E-09,8.96E+08,167,15
1212,47.8299,58.15,0.036,2.70E-09,8.96E+08,167,15
1222,47.6523,57.62,0.036,2.70E-09,8.96E+08,167,15
1232,47.8299,57.8,0.036,2.70E-09,8.96E+08,167,15
1242,47.9964,57.62,0.036,2.70E-09,8.96E+08,167,15
1252,47.9964,57.44,0.036,2.70E-09,8.96E+08,167,15
1262,47.8299,57.26,0.036,2.70E-09,8.96E+08,167,15
1272,47.9964,57.26,0.036,2.70E-09,8.96E+08,167,15
1282,47.9964,57.62,0.036,2.70E-09,8.96E+08,167,15
1292,48.3516,57.62,0.036,2.70E-09,8.96E+08,167,15
1302,48.3516,57.8,0.036,2.70E-09,8.96E+08,167,15
1312,48.3516,57.62,0.036,2.70E-09,8.96E+08,167,15
1322,48.5292,57.44,0.036,2.70E-09,8.96E+08,167,15
1332,48.8844,57.62,0.036,2.70E-09,8.96E+08,167,15
1342,48.8844,57.44,0.036,2.70E-09,8.96E+08,167,15
1352,49.062,57.8,0.036,2.70E-09,8.96E+08,167,15
1362,48.8844,57.97,0.036,2.70E-09,8.96E+08,167,15
1372,49.062,57.8,0.036,2.70E-09,8.96E+08,167,15
1382,49.2396,58.15,0.036,2.70E-09,8.96E+08,167,15
1392,49.2396,57.97,0.036,2.70E-09,8.96E+08,167,15
1402,49.2396,57.44,0.036,2.70E-09,8.96E+08,167,15
1412,49.2396,57.62,0.036,2.70E-09,8.96E+08,167,15
1422,49.4172,57.62,0.036,2.70E-09,8.96E+08,167,15
1432,49.5948,57.44,0.036,2.70E-09,8.96E+08,167,15
1442,49.4172,56.91,0.036,2.70E-09,8.96E+08,167,15
1452,49.7724,57.44,0.036,2.70E-09,8.96E+08,167,15
1462,49.7724,57.26,0.036,2.70E-09,8.96E+08,167,15
1472,49.9611,57.44,0.036,2.70E-09,8.96E+08,167,15
1482,49.9611,57.26,0.036,2.70E-09,8.96E+08,167,15
1492,50.1387,57.44,0.036,2.70E-09,8.96E+08,167,15
1502,49.9611,57.44,0.036,2.70E-09,8.96E+08,167,15
1512,50.3163,57.26,0.036,2.70E-09,8.96E+08,167,15
1522,50.3163,56.91,0.036,2.70E-09,8.96E+08,167,15
1532,49.9611,56.73,0.036,2.70E-09,8.96E+08,167,15
1542,50.6715,56.91,0.036,2.70E-09,8.96E+08,167,15
1552,50.4939,57.26,0.036,2.70E-09,8.96E+08,167,15
1562,50.4939,57.44,0.036,2.70E-09,8.96E+08,167,15
1572,50.4939,57.62,0.036,2.70E-09,8.96E+08,167,15
1582,50.6715,57.26,0.036,2.70E-09,8.96E+08,167,15
1592,50.4939,57.62,0.036,2.70E-09,8.96E+08,167,15
1602,50.6715,57.44,0.036,2.70E-09,8.96E+08,167,15
1612,51.0378,57.44,0.036,2.70E-09,8.96E+08,167,15
1622,50.8491,57.26,0.036,2.70E-09,8.96E+08,167,15
1632,50.8491,56.91,0.036,2.70E-09,8.96E+08,167,15
1643,51.2154,56.91,0.036,2.70E-09,8.96E+08,167,15
1653,51.2154,57.09,0.036,2.70E-09,8.96E+08,167,15
1663,51.2154,56.56,0.036,2.70E-09,8.96E+08,167,15
1673,51.393,56.56,0.036,2.70E-09,8.96E+08,167,15
1683,51.393,56.91,0.036,2.70E-09,8.96E+08,167,15
1693,51.5817,56.38,0.036,2.70E-09,8.96E+08,167,15
1703,51.2154,57.26,0.036,2.70E-09,8.96E+08,167,15
1713,51.5817,56.91,0.036,2.70E-09,8.96E+08,167,15
1723,51.5817,56.56,0.036,2.70E-09,8.96E+08,167,15
1733,51.5817,56.56,0.036,2.70E-09,8.96E+08,167,15
1743,51.5817,56.73,0.036,2.70E-09,8.96E+08,167,15
1753,51.7593,56.38,0.036,2.70E-09,8.96E+08,167,15
1763,51.7593,56.21,0.036,2.70E-09,8.96E+08,167,15
1773,51.7593,56.03,0.036,2.70E-09,8.96E+08,167,15
1783,51.9369,56.38,0.036,2.70E-09,8.96E+08,167,15
1793,52.1256,56.91,0.036,2.70E-09,8.96E+08,167,15
1803,51.7593,56.56,0.036,2.70E-09,8.96E+08,167,15
1813,52.1256,57.09,0.036,2.70E-09,8.96E+08,167,15
1823,52.3032,56.73,0.036,2.70E-09,8.96E+08,167,15
1833,52.1256,56.91,0.036,2.70E-09,8.96E+08,167,15
1843,52.4919,57.8,0.036,2.70E-09,8.96E+08,167,15
1853,52.3032,57.8,0.036,2.70E-09,8.96E+08,167,15
1863,52.4919,57.44,0.036,2.70E-09,8.96E+08,167,15
1873,52.6695,57.8,0.036,2.70E-09,8.96E+08,167,15
1883,52.4919,57.44,0.036,2.70E-09,8.96E+08,167,15
1893,52.6695,57.8,0.036,2.70E-09,8.96E+08,167,15
1903,52.6695,57.8,0.036,2.70E-09,8.96E+08,167,15
1913,52.8582,57.44,0.036,2.70E-09,8.96E+08,167,15
1923,52.8582,57.26,0.036,2.70E-09,8.96E+08,167,15
1933,52.4919,57.09,0.036,2.70E-09,8.96E+08,167,15
1943,52.6695,57.44,0.036,2.70E-09,8.96E+08,167,15
1953,53.0358,57.44,0.036,2.70E-09,8.96E+08,167,15
1963,52.8582,57.26,0.036,2.70E-09,8.96E+08,167,15
1973,53.0358,57.44,0.036,2.70E-09,8.96E+08,167,15
1983,53.0358,57.26,0.036,2.70E-09,8.96E+08,167,15
1993,53.0358,57.09,0.036,2.70E-09,8.96E+08,167,15
2003,53.4021,56.91,0.036,2.70E-09,8.96E+08,167,15
2013,53.0358,57.44,0.036,2.70E-09,8.96E+08,167,15
2023,52.8582,56.91,0.036,2.70E-09,8.96E+08,167,15
2033,53.2245,57.26,0.036,2.70E-09,8.96E+08,167,15
2043,53.4021,57.8,0.036,2.70E-09,8.96E+08,167,15
2053,53.4021,57.62,0.036,2.70E-09,8.96E+08,167,15
2063,53.2245,57.44,0.036,2.70E-09,8.96E+08,167,15
2073,53.5908,57.44,0.036,2.70E-09,8.96E+08,167,15
2083,53.4021,57.26,0.036,2.70E-09,8.96E+08,167,15
2093,53.5908,57.44,0.036,2.70E-09,8.96E+08,167,15
2103,53.7684,56.91,0.036,2.70E-09,8.96E+08,167,15
2113,53.7684,57.26,0.036,2.70E-09,8.96E+08,167,15
2123,53.9571,57.26,0.036,2.70E-09,8.96E+08,167,15
2133,53.5908,57.44,0.036,2.70E-09,8.96E+08,167,15
2143,53.9571,57.44,0.036,2.70E-09,8.96E+08,167,15
2153,53.7684,57.09,0.036,2.70E-09,8.96E+08,167,15
2163,53.4021,57.8,0.036,2.70E-09,8.96E+08,167,15
2173,53.7684,57.44,0.036,2.70E-09,8.96E+08,167,15
2183,54.1458,57.62,0.036,2.70E-09,8.96E+08,167,15
2193,53.9571,57.62,0.036,2.70E-09,8.96E+08,167,15
2203,53.9571,57.8,0.036,2.70E-09,8.96E+08,167,15
2213,53.9571,57.97,0.036,2.70E-09,8.96E+08,167,15
2223,54.1458,57.44,0.036,2.70E-09,8.96E+08,167,15
2233,54.1458,57.09,0.036,2.70E-09,8.96E+08,167,15
2244,54.3234,57.26,0.036,2.70E-09,8.96E+08,167,15
2254,54.5121,57.26,0.036,2.70E-09,8.96E+08,167,15
2264,54.5121,57.26,0.036,2.70E-09,8.96E+08,167,15
2274,54.5121,57.62,0.036,2.70E-09,8.96E+08,167,15
2284,54.7008,57.26,0.036,2.70E-09,8.96E+08,167,15
2294,54.1458,57.44,0.036,2.70E-09,8.96E+08,167,15
2304,54.5121,57.26,0.036,2.70E-09,8.96E+08,167,15
2314,54.5121,57.26,0.036,2.70E-09,8.96E+08,167,15
2324,54.5121,56.91,0.036,2.70E-09,8.96E+08,167,15
2334,54.7008,58.51,0.036,2.70E-09,8.96E+08,167,15
2344,54.7008,57.8,0.036,2.70E-09,8.96E+08,167,15
2354,54.7008,57.44,0.036,2.70E-09,8.96E+08,167,15
2364,54.8895,57.8,0.036,2.70E-09,8.96E+08,167,15
2374,54.7008,57.62,0.036,2.70E-09,8.96E+08,167,15
2384,54.7008,57.44,0.036,2.70E-09,8.96E+08,167,15
2394,54.7008,57.8,0.036,2.70E-09,8.96E+08,167,15
2404,54.8895,57.44,0.036,2.70E-09,8.96E+08,167,15
2414,54.7008,57.09,0.036,2.70E-09,8.96E+08,167,15
2424,55.0782,56.73,0.036,2.70E-09,8.96E+08,167,15
2434,55.2558,56.73,0.036,2.70E-09,8.96E+08,167,15
2444,55.0782,56.03,0.036,2.70E-09,8.96E+08,167,15
2454,55.2558,56.03,0.036,2.70E-09,8.96E+08,167,15
2464,55.2558,56.21,0.036,2.70E-09,8.96E+08,167,15
2474,55.2558,56.21,0.036,2.70E-09,8.96E+08,167,15
2484,55.2558,56.73,0.036,2.70E-09,8.96E+08,167,15
2494,55.6332,56.73,0.036,2.70E-09,8.96E+08,167,15
2504,55.6332,56.91,0.036,2.70E-09,8.96E+08,167,15
2514,55.6332,57.09,0.036,2.70E-09,8.96E+08,167,15
2524,55.6332,57.62,0.036,2.70E-09,8.96E+08,167,15
2534,55.4445,57.8,0.036,2.70E-09,8.96E+08,167,15
2544,55.4445,56.73,0.036,2.70E-09,8.96E+08,167,15
2554,55.4445,56.73,0.036,2.70E-09,8.96E+08,167,15
2564,55.6332,57.09,0.036,2.70E-09,8.96E+08,167,15
2574,55.2558,56.73,0.036,2.70E-09,8.96E+08,167,15
2584,55.4445,57.26,0.036,2.70E-09,8.96E+08,167,15
2594,55.8219,57.09,0.036,2.70E-09,8.96E+08,167,15
2604,55.6332,57.09,0.036,2.70E-09,8.96E+08,167,15
2614,56.1993,57.09,0.036,2.70E-09,8.96E+08,167,15
2624,56.0106,57.44,0.036,2.70E-09,8.96E+08,167,15
2634,55.6332,57.62,0.036,2.70E-09,8.96E+08,167,15
2644,55.8219,57.62,0.036,2.70E-09,8.96E+08,167,15
2654,55.8219,57.8,0.036,2.70E-09,8.96E+08,167,15
2664,55.8219,57.62,0.036,2.70E-09,8.96E+08,167,15
2674,56.0106,57.26,0.036,2.70E-09,8.96E+08,167,15
2684,55.6332,56.73,0.036,2.70E-09,8.96E+08,167,15
2694,55.6332,56.56,0.036,2.70E-09,8.96E+08,167,15
2704,55.8219,56.73,0.036,2.70E-09,8.96E+08,167,15
2714,56.1993,56.91,0.036,2.70E-09,8.96E+08,167,15
2724,56.0106,56.56,0.036,2.70E-09,8.96E+08,167,15
2734,56.1993,56.91,0.036,2.70E-09,8.96E+08,167,15
2744,56.1993,57.26,0.036,2.70E-09,8.96E+08,167,15
2754,56.1993,57.44,0.036,2.70E-09,8.96E+08,167,15
2764,56.388,57.44,0.036,2.70E-09,8.96E+08,167,15
2774,56.1993,57.26,0.036,2.70E-09,8.96E+08,167,15
2784,56.1993,57.26,0.036,2.70E-09,8.96E+08,167,15
2794,56.1993,57.44,0.036,2.70E-09,8.96E+08,167,15
2804,56.388,57.26,0.036,2.70E-09,8.96E+08,167,15
2814,56.5767,57.26,0.036,2.70E-09,8.96E+08,167,15
2824,56.388,57.44,0.036,2.70E-09,8.96E+08,167,15
2834,56.5767,57.26,0.036,2.70E-09,8.96E+08,167,15
2844,56.1993,57.44,0.036,2.70E-09,8.96E+08,167,15
2854,56.388,56.91,0.036,2.70E-09,8.96E+08,167,15
2865,56.388,57.09,0.036,2.70E-09,8.96E+08,167,15
2875,56.5767,57.26,0.036,2.70E-09,8.96E+08,167,15
2885,56.5767,57.26,0.036,2.70E-09,8.96E+08,167,15
2895,56.1993,57.97,0.036,2.70E-09,8.96E+08,167,15
2905,56.9541,58.33,0.036,2.70E-09,8.96E+08,167,15
2915,56.5767,57.8,0.036,2.70E-09,8.96E+08,167,15
2925,56.5767,57.97,0.036,2.70E-09,8.96E+08,167,15
2935,56.7654,57.8,0.036,2.70E-09,8.96E+08,167,15
2945,56.7654,57.62,0.036,2.70E-09,8.96E+08,167,15
2955,56.5767,57.8,0.036,2.70E-09,8.96E+08,167,15
2965,56.5767,57.97,0.036,2.70E-09,8.96E+08,167,15
2975,56.7654,57.8,0.036,2.70E-09,8.96E+08,167,15
2985,56.9541,57.97,0.036,2.70E-09,8.96E+08,167,15
2995,56.5767,57.62,0.036,2.70E-09,8.96E+08,167,15
3005,56.9541,57.44,0.036,2.70E-09,8.96E+08,167,15
3015,56.9541,57.97,0.036,2.70E-09,8.96E+08,167,15
3025,56.9541,57.26,0.036,2.70E-09,8.96E+08,167,15
3035,57.1428,57.26,0.036,2.70E-09,8.96E+08,167,15
3045,56.7654,57.09,0.036,2.70E-09,8.96E+08,167,15
3055,57.1428,57.09,0.036,2.70E-09,8.96E+08,167,15
3065,57.1428,57.26,0.036,2.70E-09,8.96E+08,167,15
3075,56.7654,56.56,0.036,2.70E-09,8.96E+08,167,15
3085,56.9541,56.56,0.036,2.70E-09,8.96E+08,167,15
3095,56.9541,56.56,0.036,2.70E-09,8.96E+08,167,15
3105,57.1428,56.56,0.036,2.70E-09,8.96E+08,167,15
3115,57.1428,57.09,0.036,2.70E-09,8.96E+08,167,15
3125,56.7654,57.44,0.036,2.70E-09,8.96E+08,167,15
3135,56.7654,57.62,0.036,2.70E-09,8.96E+08,167,15
3145,56.9541,57.62,0.036,2.70E-09,8.96E+08,167,15
3155,56.9541,57.44,0.036,2.70E-09,8.96E+08,167,15
3165,56.9541,57.26,0.036,2.70E-09,8.96E+08,167,15
3175,57.1428,57.09,0.036,2.70E-09,8.96E+08,167,15
3185,57.1428,57.62,0.036,2.70E-09,8.96E+08,167,15
3195,57.1428,57.62,0.036,2.70E-09,8.96E+08,167,15
3205,57.1428,57.26,0.036,2.70E-09,8.96E+08,167,15
3215,57.3426,57.09,0.036,2.70E-09,8.96E+08,167,15
3225,56.9541,57.09,0.036,2.70E-09,8.96E+08,167,15
3235,56.9541,57.09,0.036,2.70E-09,8.96E+08,167,15
3245,57.1428,57.09,0.036,2.70E-09,8.96E+08,167,15
3255,57.5313,57.09,0.036,2.70E-09,8.96E+08,167,15
3265,57.3426,57.09,0.036,2.70E-09,8.96E+08,167,15
3275,57.3426,57.09,0.036,2.70E-09,8.96E+08,167,15
3285,56.9541,57.62,0.036,2.70E-09,8.96E+08,167,15
3295,57.3426,57.62,0.036,2.70E-09,8.96E+08,167,15
3305,57.3426,57.44,0.036,2.70E-09,8.96E+08,167,15
3315,57.3426,57.26,0.036,2.70E-09,8.96E+08,167,15
3325,57.5313,57.26,0.036,2.70E-09,8.96E+08,167,15
3335,57.5313,57.26,0.036,2.70E-09,8.96E+08,167,15
3345,57.3426,57.09,0.036,2.70E-09,8.96E+08,167,15
3355,57.5313,57.44,0.036,2.70E-09,8.96E+08,167,15
3365,57.5313,57.62,0.036,2.70E-09,8.96E+08,167,15
3375,57.5313,57.62,0.036,2.70E-09,8.96E+08,167,15
3385,57.5313,57.26,0.036,2.70E-09,8.96E+08,167,15
3395,57.3426,57.62,0.036,2.70E-09,8.96E+08,167,15
3405,57.3426,57.62,0.036,2.70E-09,8.96E+08,167,15
3415,57.5313,57.44,0.036,2.70E-09,8.96E+08,167,15
3425,57.3426,57.44,0.036,2.70E-09,8.96E+08,167,15
3435,57.9087,57.26,0.036,2.70E-09,8.96E+08,167,15
3445,57.72,56.91,0.036,2.70E-09,8.96E+08,167,15
3456,57.9087,57.44,0.036,2.70E-09,8.96E+08,167,15
3466,57.72,57.44,0.036,2.70E-09,8.96E+08,167,15
3476,57.3426,56.56,0.036,2.70E-09,8.96E+08,167,15
3486,57.5313,56.56,0.036,2.70E-09,8.96E+08,167,15
3496,57.3426,57.09,0.036,2.70E-09,8.96E+08,167,15
3506,57.72,57.44,0.036,2.70E-09,8.96E+08,167,15
3516,57.9087,56.91,0.036,2.70E-09,8.96E+08,167,15
3526,57.72,56.73,0.036,2.70E-09,8.96E+08,167,15
3536,57.72,56.73,0.036,2.70E-09,8.96E+08,167,15
3546,57.9087,56.91,0.036,2.70E-09,8.96E+08,167,15
3556,57.5313,57.26,0.036,2.70E-09,8.96E+08,167,15
3566,57.9087,57.44,0.036,2.70E-09,8.96E+08,167,15
3576,58.0974,57.8,0.036,2.70E-09,8.96E+08,167,15
3586,57.9087,57.8,0.036,2.70E-09,8.96E+08,167,15
3596,57.9087,57.62,0.036,2.70E-09,8.96E+08,167,15
3606,57.72,57.8,0.036,2.70E-09,8.96E+08,167,15
3616,57.9087,57.62,0.036,2.70E-09,8.96E+08,167,15
3626,57.9087,57.62,0.036,2.70E-09,8.96E+08,167,15
3636,57.9087,56.91,0.036,2.70E-09,8.96E+08,167,15
3646,57.9087,56.91,0.036,2.70E-09,8.96E+08,167,15
3656,57.9087,57.26,0.036,2.70E-09,8.96E+08,167,15
3666,58.0974,57.26,0.036,2.70E-09,8.96E+08,167,15
3676,57.9087,57.26,0.036,2.70E-09,8.96E+08,167,15
3686,58.0974,57.8,0.036,2.70E-09,8.96E+08,167,15
3696,58.0974,57.97,0.036,2.70E-09,8.96E+08,167,15
3706,58.2972,57.62,0.036,2.70E-09,8.96E+08,167,15
3716,58.0974,57.44,0.036,2.70E-09,8.96E+08,167,15
3726,58.0974,57.62,0.036,2.70E-09,8.96E+08,167,15
3736,58.0974,57.09,0.036,2.70E-09,8.96E+08,167,15
3746,58.0974,57.26,0.036,2.70E-09,8.96E+08,167,15
3756,58.2972,57.62,0.036,2.70E-09,8.96E+08,167,15
3766,57.9087,57.8,0.036,2.70E-09,8.96E+08,167,15
3776,58.0974,57.62,0.036,2.70E-09,8.96E+08,167,15
3786,57.9087,57.44,0.036,2.70E-09,8.96E+08,167,15
3796,57.9087,57.8,0.036,2.70E-09,8.96E+08,167,15
3806,58.0974,57.62,0.036,2.70E-09,8.96E+08,167,15
3816,58.2972,58.15,0.036,2.70E-09,8.96E+08,167,15
3826,58.6857,58.15,0.036,2.70E-09,8.96E+08,167,15
3836,58.2972,57.8,0.036,2.70E-09,8.96E+08,167,15
3846,58.6857,57.62,0.036,2.70E-09,8.96E+08,167,15
3856,58.0974,57.09,0.036,2.70E-09,8.96E+08,167,15
3866,58.0974,57.09,0.036,2.70E-09,8.96E+08,167,15
3876,58.2972,57.09,0.036,2.70E-09,8.96E+08,167,15
3886,58.0974,57.26,0.036,2.70E-09,8.96E+08,167,15
3896,58.2972,57.62,0.036,2.70E-09,8.96E+08,167,15
3906,58.2972,57.62,0.036,2.70E-09,8.96E+08,167,15
3916,58.4859,57.62,0.036,2.70E-09,8.96E+08,167,15
3926,58.2972,57.44,0.036,2.70E-09,8.96E+08,167,15
3936,58.4859,57.62,0.036,2.70E-09,8.96E+08,167,15
3946,58.2972,57.44,0.036,2.70E-09,8.96E+08,167,15
3956,57.9087,57.44,0.036,2.70E-09,8.96E+08,167,15
3966,58.2972,57.26,0.036,2.70E-09,8.96E+08,167,15
3976,58.0974,56.91,0.036,2.70E-09,8.96E+08,167,15
3986,58.4859,57.26,0.036,2.70E-09,8.96E+08,167,15
