time,T_int,T_ext_1,Film_Coef,Density,Specific_Heat,Thermal_Conductivity,Radius
1.0,21.9976043701,22.88,0.036,2.61e-09,721000000.0,285.0,25
2.0,21.9929962158,23.76,0.036,2.61e-09,721000000.0,285.0,25
3.0,21.9867477417,24.64,0.036,2.61e-09,721000000.0,285.0,25
4.0,21.97951316835,25.52,0.036,2.61e-09,721000000.0,285.0,25
5.0,21.972278595,26.4,0.036,2.61e-09,721000000.0,285.0,25
6.0,21.966308116925,27.28,0.036,2.61e-09,721000000.0,285.0,25
7.0,21.96033763885,28.16,0.036,2.61e-09,721000000.0,285.0,25
8.0,21.954367160775,29.04,0.036,2.61e-09,721000000.0,285.0,25
9.0,21.9483966827,29.92,0.036,2.61e-09,721000000.0,285.0,25
10.0,21.9472277164125,30.8,0.036,2.61e-09,721000000.0,285.0,25
11.0,21.946058750125,31.68,0.036,2.61e-09,721000000.0,285.0,25
12.0,21.9448897838375,32.56,0.036,2.61e-09,721000000.0,285.0,25
13.0,21.94372081755,33.44,0.036,2.61e-09,721000000.0,285.0,25
14.0,21.9425518512625,34.32,0.036,2.61e-09,721000000.0,285.0,25
15.0,21.941382884975,35.2,0.036,2.61e-09,721000000.0,285.0,25
16.0,21.9402139186875,36.08,0.036,2.61e-09,721000000.0,285.0,25
17.0,21.9390449524,36.96,0.036,2.61e-09,721000000.0,285.0,25
18.0,21.94440040589,37.84,0.036,2.61e-09,721000000.0,285.0,25
19.0,21.94975585938,38.72,0.036,2.61e-09,721000000.0,285.0,25
20.0,21.95511131287,39.6,0.036,2.61e-09,721000000.0,285.0,25
21.0,21.96046676636,40.48,0.036,2.61e-09,721000000.0,285.0,25
22.0,21.96582221985,41.36,0.036,2.61e-09,721000000.0,285.0,25
23.0,21.97117767334,42.24,0.036,2.61e-09,721000000.0,285.0,25
24.0,21.97653312683,43.12,0.036,2.61e-09,721000000.0,285.0,25
25.0,21.98188858032,44.0,0.036,2.61e-09,721000000.0,285.0,25
26.0,21.98724403381,44.88,0.036,2.61e-09,721000000.0,285.0,25
27.0,21.9925994873,45.76,0.036,2.61e-09,721000000.0,285.0,25
28.0,22.00455036163,46.64,0.036,2.61e-09,721000000.0,285.0,25
29.0,22.01650123596,47.52,0.036,2.61e-09,721000000.0,285.0,25
30.0,22.02845211029,48.4,0.036,2.61e-09,721000000.0,285.0,25
31.0,22.04040298462,49.28,0.036,2.61e-09,721000000.0,285.0,25
32.0,22.05235385895,50.16,0.036,2.61e-09,721000000.0,285.0,25
33.0,22.06430473328,51.04,0.036,2.61e-09,721000000.0,285.0,25
34.0,22.07625560761,51.92,0.036,2.61e-09,721000000.0,285.0,25
35.0,22.08820648194,52.8,0.036,2.61e-09,721000000.0,285.0,25
36.0,22.10015735627,53.68,0.036,2.61e-09,721000000.0,285.0,25
37.0,22.1121082306,54.56,0.036,2.61e-09,721000000.0,285.0,25
38.0,22.13064613343,55.44,0.036,2.61e-09,721000000.0,285.0,25
39.0,22.14918403626,56.32,0.036,2.61e-09,721000000.0,285.0,25
40.0,22.16772193909,57.2,0.036,2.61e-09,721000000.0,285.0,25
41.0,22.18625984192,58.08,0.036,2.61e-09,721000000.0,285.0,25
42.0,22.20479774475,58.96,0.036,2.61e-09,721000000.0,285.0,25
43.0,22.22333564758,59.84,0.036,2.61e-09,721000000.0,285.0,25
44.0,22.24187355041,60.72,0.036,2.61e-09,721000000.0,285.0,25
45.0,22.26041145324,61.6,0.036,2.61e-09,721000000.0,285.0,25
46.0,22.27894935607,62.48,0.036,2.61e-09,721000000.0,285.0,25
