time,T_int,T_ext_1,Film_Coef,Density,Specific_Heat,Thermal_Conductivity,Radius
1.0,21.999250412,22.88,0.036,2.71e-09,921000000.0,245.0,25
2.0,21.9977931976,23.76,0.036,2.71e-09,921000000.0,245.0,25
3.0,21.9955272675,24.64,0.036,2.71e-09,921000000.0,245.0,25
4.0,21.99209785465,25.52,0.036,2.71e-09,921000000.0,245.0,25
5.0,21.9886684418,26.4,0.036,2.71e-09,921000000.0,245.0,25
6.0,21.984931945825,27.28,0.036,2.71e-09,921000000.0,245.0,25
7.0,21.98119544985,28.16,0.036,2.71e-09,921000000.0,245.0,25
8.0,21.977458953875,29.04,0.036,2.71e-09,921000000.0,245.0,25
9.0,21.9737224579,29.92,0.036,2.71e-09,921000000.0,245.0,25
10.0,21.9723005294875,30.8,0.036,2.71e-09,921000000.0,245.0,25
11.0,21.970878601075,31.68,0.036,2.71e-09,921000000.0,245.0,25
12.0,21.9694566726625,32.56,0.036,2.71e-09,921000000.0,245.0,25
13.0,21.96803474425,33.44,0.036,2.71e-09,921000000.0,245.0,25
14.0,21.9666128158375,34.32,0.036,2.71e-09,921000000.0,245.0,25
15.0,21.965190887425,35.2,0.036,2.71e-09,921000000.0,245.0,25
16.0,21.9637689590125,36.08,0.036,2.71e-09,921000000.0,245.0,25
17.0,21.9623470306,36.96,0.036,2.71e-09,921000000.0,245.0,25
18.0,21.96501293179,37.84,0.036,2.71e-09,921000000.0,245.0,25
19.0,21.96767883298,38.72,0.036,2.71e-09,921000000.0,245.0,25
20.0,21.97034473417,39.6,0.036,2.71e-09,921000000.0,245.0,25
21.0,21.97301063536,40.48,0.036,2.71e-09,921000000.0,245.0,25
22.0,21.97567653655,41.36,0.036,2.71e-09,921000000.0,245.0,25
23.0,21.97834243774,42.24,0.036,2.71e-09,921000000.0,245.0,25
24.0,21.98100833893,43.12,0.036,2.71e-09,921000000.0,245.0,25
25.0,21.98367424012,44.0,0.036,2.71e-09,921000000.0,245.0,25
26.0,21.98634014131,44.88,0.036,2.71e-09,921000000.0,245.0,25
27.0,21.9890060425,45.76,0.036,2.71e-09,921000000.0,245.0,25
28.0,21.99607009889,46.64,0.036,2.71e-09,921000000.0,245.0,25
29.0,22.00313415528,47.52,0.036,2.71e-09,921000000.0,245.0,25
30.0,22.01019821167,48.4,0.036,2.71e-09,921000000.0,245.0,25
31.0,22.01726226806,49.28,0.036,2.71e-09,921000000.0,245.0,25
32.0,22.02432632445,50.16,0.036,2.71e-09,921000000.0,245.0,25
33.0,22.03139038084,51.04,0.036,2.71e-09,921000000.0,245.0,25
34.0,22.03845443723,51.92,0.036,2.71e-09,921000000.0,245.0,25
35.0,22.04551849362,52.8,0.036,2.71e-09,921000000.0,245.0,25
36.0,22.05258255001,53.68,0.036,2.71e-09,921000000.0,245.0,25
37.0,22.0596466064,54.56,0.036,2.71e-09,921000000.0,245.0,25
38.0,22.0711896896,55.44,0.036,2.71e-09,921000000.0,245.0,25
39.0,22.0827327728,56.32,0.036,2.71e-09,921000000.0,245.0,25
40.0,22.094275856,57.2,0.036,2.71e-09,921000000.0,245.0,25
41.0,22.1058189392,58.08,0.036,2.71e-09,921000000.0,245.0,25
42.0,22.1173620224,58.96,0.036,2.71e-09,921000000.0,245.0,25
43.0,22.1289051056,59.84,0.036,2.71e-09,921000000.0,245.0,25
44.0,22.1404481888,60.72,0.036,2.71e-09,921000000.0,245.0,25
45.0,22.151991272,61.6,0.036,2.71e-09,921000000.0,245.0,25
46.0,22.1635343552,62.48,0.036,2.71e-09,921000000.0,245.0,25
47.0,22.1750774384,63.36,0.036,2.71e-09,921000000.0,245.0,25
48.0,22.1888576508,64.24,0.036,2.71e-09,921000000.0,245.0,25
49.0,22.2026378632,65.12,0.036,2.71e-09,921000000.0,245.0,25
50.0,22.2164180756,66.0,0.036,2.71e-09,921000000.0,245.0,25
51.0,22.230198288,62.94,0.036,2.71e-09,921000000.0,245.0,25
52.0,22.2439785004,62.88,0.036,2.71e-09,921000000.0,245.0,25
53.0,22.2577587128,62.82,0.036,2.71e-09,921000000.0,245.0,25
54.0,22.2715389252,62.76,0.036,2.71e-09,921000000.0,245.0,25
55.0,22.2853191376,62.7,0.036,2.71e-09,921000000.0,245.0,25
56.0,22.29909935,62.64,0.036,2.71e-09,921000000.0,245.0,25
57.0,22.3128795624,62.58,0.036,2.71e-09,921000000.0,245.0,25
58.0,22.32707767489,62.52,0.036,2.71e-09,921000000.0,245.0,25
59.0,22.34127578738,62.46,0.036,2.71e-09,921000000.0,245.0,25
60.0,22.35547389987,62.4,0.036,2.71e-09,921000000.0,245.0,25
61.0,22.36967201236,62.34,0.036,2.71e-09,921000000.0,245.0,25
62.0,22.38387012485,62.28,0.036,2.71e-09,921000000.0,245.0,25
63.0,22.39806823734,62.22,0.036,2.71e-09,921000000.0,245.0,25
64.0,22.41226634983,62.16,0.036,2.71e-09,921000000.0,245.0,25
65.0,22.42646446232,62.1,0.036,2.71e-09,921000000.0,245.0,25
66.0,22.44066257481,62.04,0.036,2.71e-09,921000000.0,245.0,25
67.0,22.4548606873,61.98,0.036,2.71e-09,921000000.0,245.0,25
68.0,22.46886005406,61.92,0.036,2.71e-09,921000000.0,245.0,25
69.0,22.48285942082,61.86,0.036,2.71e-09,921000000.0,245.0,25
70.0,22.49685878758,61.8,0.036,2.71e-09,921000000.0,245.0,25
71.0,22.51085815434,61.74,0.036,2.71e-09,921000000.0,245.0,25
72.0,22.5248575211,61.68,0.036,2.71e-09,921000000.0,245.0,25
73.0,22.53885688786,61.62,0.036,2.71e-09,921000000.0,245.0,25
74.0,22.55285625462,61.56,0.036,2.71e-09,921000000.0,245.0,25
75.0,22.56685562138,61.5,0.036,2.71e-09,921000000.0,245.0,25
76.0,22.58085498814,61.44,0.036,2.71e-09,921000000.0,245.0,25
77.0,22.5948543549,61.38,0.036,2.71e-09,921000000.0,245.0,25
78.0,22.60847606663,61.32,0.036,2.71e-09,921000000.0,245.0,25
79.0,22.62209777836,61.26,0.036,2.71e-09,921000000.0,245.0,25
80.0,22.63571949009,61.2,0.036,2.71e-09,921000000.0,245.0,25
81.0,22.64934120182,61.14,0.036,2.71e-09,921000000.0,245.0,25
82.0,22.66296291355,61.08,0.036,2.71e-09,921000000.0,245.0,25
83.0,22.67658462528,61.02,0.036,2.71e-09,921000000.0,245.0,25
84.0,22.69020633701,60.96,0.036,2.71e-09,921000000.0,245.0,25
85.0,22.70382804874,60.9,0.036,2.71e-09,921000000.0,245.0,25
86.0,22.71744976047,60.84,0.036,2.71e-09,921000000.0,245.0,25
87.0,22.7310714722,60.78,0.036,2.71e-09,921000000.0,245.0,25
88.0,22.74426345828,60.72,0.036,2.71e-09,921000000.0,245.0,25
