time,T_int,T_ext_1,Film_Coef,Density,Specific_Heat,Thermal_Conductivity,Radius
1.0,21.9873409271,22.88,0.036,7.77e-09,686000000.0,132.0,15
2.0,21.9771785736,23.76,0.036,7.77e-09,686000000.0,132.0,15
3.0,21.9687213898,24.64,0.036,7.77e-09,686000000.0,132.0,15
4.0,21.96238136295,25.52,0.036,7.77e-09,686000000.0,132.0,15
5.0,21.9560413361,26.4,0.036,7.77e-09,686000000.0,132.0,15
6.0,21.952514648475,27.28,0.036,7.77e-09,686000000.0,132.0,15
7.0,21.94898796085,28.16,0.036,7.77e-09,686000000.0,132.0,15
8.0,21.945461273225,29.04,0.036,7.77e-09,686000000.0,132.0,15
9.0,21.9419345856,29.92,0.036,7.77e-09,686000000.0,132.0,15
10.0,21.9429023266125,30.8,0.036,7.77e-09,686000000.0,132.0,15
11.0,21.943870067625,31.68,0.036,7.77e-09,686000000.0,132.0,15
12.0,21.9448378086375,32.56,0.036,7.77e-09,686000000.0,132.0,15
13.0,21.94580554965,33.44,0.036,7.77e-09,686000000.0,132.0,15
14.0,21.9467732906625,34.32,0.036,7.77e-09,686000000.0,132.0,15
15.0,21.947741031675,35.2,0.036,7.77e-09,686000000.0,132.0,15
16.0,21.9487087726875,36.08,0.036,7.77e-09,686000000.0,132.0,15
17.0,21.9496765137,36.96,0.036,7.77e-09,686000000.0,132.0,15
18.0,21.95587158206,37.84,0.036,7.77e-09,686000000.0,132.0,15
19.0,21.96206665042,38.72,0.036,7.77e-09,686000000.0,132.0,15
20.0,21.96826171878,39.6,0.036,7.77e-09,686000000.0,132.0,15
21.0,21.97445678714,40.48,0.036,7.77e-09,686000000.0,132.0,15
22.0,21.9806518555,41.36,0.036,7.77e-09,686000000.0,132.0,15
23.0,21.98684692386,42.24,0.036,7.77e-09,686000000.0,132.0,15
24.0,21.99304199222,43.12,0.036,7.77e-09,686000000.0,132.0,15
25.0,21.99923706058,44.0,0.036,7.77e-09,686000000.0,132.0,15
26.0,22.00543212894,44.88,0.036,7.77e-09,686000000.0,132.0,15
27.0,22.0116271973,45.76,0.036,7.77e-09,686000000.0,132.0,15
28.0,22.02294826511,46.64,0.036,7.77e-09,686000000.0,132.0,15
29.0,22.03426933292,47.52,0.036,7.77e-09,686000000.0,132.0,15
30.0,22.04559040073,48.4,0.036,7.77e-09,686000000.0,132.0,15
