time,T_int,T_ext_1,Film_Coef,Density,Specific_Heat,Thermal_Conductivity,Radius
1.0,21.9888153076,22.88,0.036,7.87e-09,786000000.0,152.0,15
2.0,21.9798469543,23.76,0.036,7.87e-09,786000000.0,152.0,15
3.0,21.9723834991,24.64,0.036,7.87e-09,786000000.0,152.0,15
4.0,21.96677970885,25.52,0.036,7.87e-09,786000000.0,152.0,15
5.0,21.9611759186,26.4,0.036,7.87e-09,786000000.0,152.0,15
6.0,21.958049774175,27.28,0.036,7.87e-09,786000000.0,152.0,15
7.0,21.95492362975,28.16,0.036,7.87e-09,786000000.0,152.0,15
8.0,21.951797485325,29.04,0.036,7.87e-09,786000000.0,152.0,15
9.0,21.9486713409,29.92,0.036,7.87e-09,786000000.0,152.0,15
10.0,21.9495155811,30.8,0.036,7.87e-09,786000000.0,152.0,15
11.0,21.9503598213,31.68,0.036,7.87e-09,786000000.0,152.0,15
12.0,21.9512040615,32.56,0.036,7.87e-09,786000000.0,152.0,15
13.0,21.9520483017,33.44,0.036,7.87e-09,786000000.0,152.0,15
14.0,21.9528925419,34.32,0.036,7.87e-09,786000000.0,152.0,15
15.0,21.9537367821,35.2,0.036,7.87e-09,786000000.0,152.0,15
16.0,21.9545810223,36.08,0.036,7.87e-09,786000000.0,152.0,15
17.0,21.9554252625,36.96,0.036,7.87e-09,786000000.0,152.0,15
18.0,21.96089935307,37.84,0.036,7.87e-09,786000000.0,152.0,15
19.0,21.96637344364,38.72,0.036,7.87e-09,786000000.0,152.0,15
20.0,21.97184753421,39.6,0.036,7.87e-09,786000000.0,152.0,15
21.0,21.97732162478,40.48,0.036,7.87e-09,786000000.0,152.0,15
22.0,21.98279571535,41.36,0.036,7.87e-09,786000000.0,152.0,15
23.0,21.98826980592,42.24,0.036,7.87e-09,786000000.0,152.0,15
24.0,21.99374389649,43.12,0.036,7.87e-09,786000000.0,152.0,15
25.0,21.99921798706,44.0,0.036,7.87e-09,786000000.0,152.0,15
26.0,22.00469207763,44.88,0.036,7.87e-09,786000000.0,152.0,15
27.0,22.0101661682,45.76,0.036,7.87e-09,786000000.0,152.0,15
28.0,22.02018623351,46.64,0.036,7.87e-09,786000000.0,152.0,15
29.0,22.03020629882,47.52,0.036,7.87e-09,786000000.0,152.0,15
30.0,22.04022636413,48.4,0.036,7.87e-09,786000000.0,152.0,15
31.0,22.05024642944,49.28,0.036,7.87e-09,786000000.0,152.0,15
32.0,22.06026649475,50.16,0.036,7.87e-09,786000000.0,152.0,15
33.0,22.07028656006,51.04,0.036,7.87e-09,786000000.0,152.0,15
34.0,22.08030662537,51.92,0.036,7.87e-09,786000000.0,152.0,15
35.0,22.09032669068,52.8,0.036,7.87e-09,786000000.0,152.0,15
36.0,22.10034675599,53.68,0.036,7.87e-09,786000000.0,152.0,15
37.0,22.1103668213,54.56,0.036,7.87e-09,786000000.0,152.0,15
38.0,22.12490940095,55.44,0.036,7.87e-09,786000000.0,152.0,15
39.0,22.1394519806,56.32,0.036,7.87e-09,786000000.0,152.0,15
40.0,22.15399456025,57.2,0.036,7.87e-09,786000000.0,152.0,15
41.0,22.1685371399,58.08,0.036,7.87e-09,786000000.0,152.0,15
42.0,22.18307971955,58.96,0.036,7.87e-09,786000000.0,152.0,15
43.0,22.1976222992,59.84,0.036,7.87e-09,786000000.0,152.0,15
44.0,22.21216487885,60.72,0.036,7.87e-09,786000000.0,152.0,15
45.0,22.2267074585,61.6,0.036,7.87e-09,786000000.0,152.0,15
46.0,22.24125003815,62.48,0.036,7.87e-09,786000000.0,152.0,15
47.0,22.2557926178,63.36,0.036,7.87e-09,786000000.0,152.0,15
48.0,22.27088871002,64.24,0.036,7.87e-09,786000000.0,152.0,15
49.0,22.28598480224,65.12,0.036,7.87e-09,786000000.0,152.0,15
50.0,22.30108089446,66.0,0.036,7.87e-09,786000000.0,152.0,15
51.0,22.31617698668,62.94,0.036,7.87e-09,786000000.0,152.0,15
52.0,22.3312730789,62.88,0.036,7.87e-09,786000000.0,152.0,15
53.0,22.34636917112,62.82,0.036,7.87e-09,786000000.0,152.0,15
54.0,22.36146526334,62.76,0.036,7.87e-09,786000000.0,152.0,15
55.0,22.37656135556,62.7,0.036,7.87e-09,786000000.0,152.0,15
56.0,22.39165744778,62.64,0.036,7.87e-09,786000000.0,152.0,15
57.0,22.40675354,62.58,0.036,7.87e-09,786000000.0,152.0,15
58.0,22.42110710141,62.52,0.036,7.87e-09,786000000.0,152.0,15
59.0,22.43546066282,62.46,0.036,7.87e-09,786000000.0,152.0,15
60.0,22.44981422423,62.4,0.036,7.87e-09,786000000.0,152.0,15
61.0,22.46416778564,62.34,0.036,7.87e-09,786000000.0,152.0,15
62.0,22.47852134705,62.28,0.036,7.87e-09,786000000.0,152.0,15
63.0,22.49287490846,62.22,0.036,7.87e-09,786000000.0,152.0,15
64.0,22.50722846987,62.16,0.036,7.87e-09,786000000.0,152.0,15
65.0,22.52158203128,62.1,0.036,7.87e-09,786000000.0,152.0,15
66.0,22.53593559269,62.04,0.036,7.87e-09,786000000.0,152.0,15
67.0,22.5502891541,61.98,0.036,7.87e-09,786000000.0,152.0,15
68.0,22.56414623265,61.92,0.036,7.87e-09,786000000.0,152.0,15
69.0,22.5780033112,61.86,0.036,7.87e-09,786000000.0,152.0,15
70.0,22.59186038975,61.8,0.036,7.87e-09,786000000.0,152.0,15
71.0,22.6057174683,61.74,0.036,7.87e-09,786000000.0,152.0,15
72.0,22.61957454685,61.68,0.036,7.87e-09,786000000.0,152.0,15
73.0,22.6334316254,61.62,0.036,7.87e-09,786000000.0,152.0,15
74.0,22.64728870395,61.56,0.036,7.87e-09,786000000.0,152.0,15
75.0,22.6611457825,61.5,0.036,7.87e-09,786000000.0,152.0,15
