time,T_int,T_ext_1,Film_Coef,Density,Specific_Heat,Thermal_Conductivity,Radius
1.0,21.9827919006,22.88,0.036,7.47e-09,486000000.0,92.0,25
2.0,21.9689273834,23.76,0.036,7.47e-09,486000000.0,92.0,25
3.0,21.9573879242,24.64,0.036,7.47e-09,486000000.0,92.0,25
4.0,21.9487724304,25.52,0.036,7.47e-09,486000000.0,92.0,25
5.0,21.9401569366,26.4,0.036,7.47e-09,486000000.0,92.0,25
6.0,21.935411453225,27.28,0.036,7.47e-09,486000000.0,92.0,25
7.0,21.93066596985,28.16,0.036,7.47e-09,486000000.0,92.0,25
8.0,21.925920486475,29.04,0.036,7.47e-09,486000000.0,92.0,25
9.0,21.9211750031,29.92,0.036,7.47e-09,486000000.0,92.0,25
10.0,21.92254114155,30.8,0.036,7.47e-09,486000000.0,92.0,25
11.0,21.92390728,31.68,0.036,7.47e-09,486000000.0,92.0,25
12.0,21.92527341845,32.56,0.036,7.47e-09,486000000.0,92.0,25
13.0,21.9266395569,33.44,0.036,7.47e-09,486000000.0,92.0,25
14.0,21.92800569535,34.32,0.036,7.47e-09,486000000.0,92.0,25
15.0,21.9293718338,35.2,0.036,7.47e-09,486000000.0,92.0,25
16.0,21.93073797225,36.08,0.036,7.47e-09,486000000.0,92.0,25
17.0,21.9321041107,36.96,0.036,7.47e-09,486000000.0,92.0,25
18.0,21.94052505492,37.84,0.036,7.47e-09,486000000.0,92.0,25
19.0,21.94894599914,38.72,0.036,7.47e-09,486000000.0,92.0,25
20.0,21.95736694336,39.6,0.036,7.47e-09,486000000.0,92.0,25
21.0,21.96578788758,40.48,0.036,7.47e-09,486000000.0,92.0,25
22.0,21.9742088318,41.36,0.036,7.47e-09,486000000.0,92.0,25
23.0,21.98262977602,42.24,0.036,7.47e-09,486000000.0,92.0,25
24.0,21.99105072024,43.12,0.036,7.47e-09,486000000.0,92.0,25
25.0,21.99947166446,44.0,0.036,7.47e-09,486000000.0,92.0,25
26.0,22.00789260868,44.88,0.036,7.47e-09,486000000.0,92.0,25
27.0,22.0163135529,45.76,0.036,7.47e-09,486000000.0,92.0,25
28.0,22.03162326817,46.64,0.036,7.47e-09,486000000.0,92.0,25
29.0,22.04693298344,47.52,0.036,7.47e-09,486000000.0,92.0,25
30.0,22.06224269871,48.4,0.036,7.47e-09,486000000.0,92.0,25
31.0,22.07755241398,49.28,0.036,7.47e-09,486000000.0,92.0,25
32.0,22.09286212925,50.16,0.036,7.47e-09,486000000.0,92.0,25
33.0,22.10817184452,51.04,0.036,7.47e-09,486000000.0,92.0,25
34.0,22.12348155979,51.92,0.036,7.47e-09,486000000.0,92.0,25
35.0,22.13879127506,52.8,0.036,7.47e-09,486000000.0,92.0,25
36.0,22.15410099033,53.68,0.036,7.47e-09,486000000.0,92.0,25
37.0,22.1694107056,54.56,0.036,7.47e-09,486000000.0,92.0,25
38.0,22.19155101779,55.44,0.036,7.47e-09,486000000.0,92.0,25
39.0,22.21369132998,56.32,0.036,7.47e-09,486000000.0,92.0,25
40.0,22.23583164217,57.2,0.036,7.47e-09,486000000.0,92.0,25
41.0,22.25797195436,58.08,0.036,7.47e-09,486000000.0,92.0,25
42.0,22.28011226655,58.96,0.036,7.47e-09,486000000.0,92.0,25
43.0,22.30225257874,59.84,0.036,7.47e-09,486000000.0,92.0,25
44.0,22.32439289093,60.72,0.036,7.47e-09,486000000.0,92.0,25
45.0,22.34653320312,61.6,0.036,7.47e-09,486000000.0,92.0,25
46.0,22.36867351531,62.48,0.036,7.47e-09,486000000.0,92.0,25
47.0,22.3908138275,63.36,0.036,7.47e-09,486000000.0,92.0,25
48.0,22.41369018553,64.24,0.036,7.47e-09,486000000.0,92.0,25
49.0,22.43656654356,65.12,0.036,7.47e-09,486000000.0,92.0,25
50.0,22.45944290159,66.0,0.036,7.47e-09,486000000.0,92.0,25
51.0,22.48231925962,62.94,0.036,7.47e-09,486000000.0,92.0,25
52.0,22.50519561765,62.88,0.036,7.47e-09,486000000.0,92.0,25
53.0,22.52807197568,62.82,0.036,7.47e-09,486000000.0,92.0,25
54.0,22.55094833371,62.76,0.036,7.47e-09,486000000.0,92.0,25
55.0,22.57382469174,62.7,0.036,7.47e-09,486000000.0,92.0,25
56.0,22.59670104977,62.64,0.036,7.47e-09,486000000.0,92.0,25
57.0,22.6195774078,62.58,0.036,7.47e-09,486000000.0,92.0,25
58.0,22.64123592373,62.52,0.036,7.47e-09,486000000.0,92.0,25
59.0,22.66289443966,62.46,0.036,7.47e-09,486000000.0,92.0,25
60.0,22.68455295559,62.4,0.036,7.47e-09,486000000.0,92.0,25
61.0,22.70621147152,62.34,0.036,7.47e-09,486000000.0,92.0,25
62.0,22.72786998745,62.28,0.036,7.47e-09,486000000.0,92.0,25
63.0,22.74952850338,62.22,0.036,7.47e-09,486000000.0,92.0,25
64.0,22.77118701931,62.16,0.036,7.47e-09,486000000.0,92.0,25
65.0,22.79284553524,62.1,0.036,7.47e-09,486000000.0,92.0,25
66.0,22.81450405117,62.04,0.036,7.47e-09,486000000.0,92.0,25
67.0,22.8361625671,61.98,0.036,7.47e-09,486000000.0,92.0,25
68.0,22.85701103207,61.92,0.036,7.47e-09,486000000.0,92.0,25
69.0,22.87785949704,61.86,0.036,7.47e-09,486000000.0,92.0,25
70.0,22.89870796201,61.8,0.036,7.47e-09,486000000.0,92.0,25
71.0,22.91955642698,61.74,0.036,7.47e-09,486000000.0,92.0,25
72.0,22.94040489195,61.68,0.036,7.47e-09,486000000.0,92.0,25
73.0,22.96125335692,61.62,0.036,7.47e-09,486000000.0,92.0,25
74.0,22.98210182189,61.56,0.036,7.47e-09,486000000.0,92.0,25
75.0,23.00295028686,61.5,0.036,7.47e-09,486000000.0,92.0,25
76.0,23.02379875183,61.44,0.036,7.47e-09,486000000.0,92.0,25
77.0,23.0446472168,61.38,0.036,7.47e-09,486000000.0,92.0,25
78.0,23.06476783753,61.32,0.036,7.47e-09,486000000.0,92.0,25
79.0,23.08488845826,61.26,0.036,7.47e-09,486000000.0,92.0,25
80.0,23.10500907899,61.2,0.036,7.47e-09,486000000.0,92.0,25
81.0,23.12512969972,61.14,0.036,7.47e-09,486000000.0,92.0,25
82.0,23.14525032045,61.08,0.036,7.47e-09,486000000.0,92.0,25
83.0,23.16537094118,61.02,0.036,7.47e-09,486000000.0,92.0,25
84.0,23.18549156191,60.96,0.036,7.47e-09,486000000.0,92.0,25
85.0,23.20561218264,60.9,0.036,7.47e-09,486000000.0,92.0,25
86.0,23.22573280337,60.84,0.036,7.47e-09,486000000.0,92.0,25
87.0,23.2458534241,60.78,0.036,7.47e-09,486000000.0,92.0,25
88.0,23.26526126864,60.72,0.036,7.47e-09,486000000.0,92.0,25
89.0,23.28466911318,60.66,0.036,7.47e-09,486000000.0,92.0,25
90.0,23.30407695772,60.6,0.036,7.47e-09,486000000.0,92.0,25
91.0,23.32348480226,60.54,0.036,7.47e-09,486000000.0,92.0,25
92.0,23.3428926468,60.48,0.036,7.47e-09,486000000.0,92.0,25
93.0,23.36230049134,60.42,0.036,7.47e-09,486000000.0,92.0,25
94.0,23.38170833588,60.36,0.036,7.47e-09,486000000.0,92.0,25
95.0,23.40111618042,60.3,0.036,7.47e-09,486000000.0,92.0,25
96.0,23.42052402496,60.24,0.036,7.47e-09,486000000.0,92.0,25
97.0,23.4399318695,60.18,0.036,7.47e-09,486000000.0,92.0,25
98.0,23.45913295745,60.12,0.036,7.47e-09,486000000.0,92.0,25
99.0,23.4783340454,60.06,0.036,7.47e-09,486000000.0,92.0,25
100.0,23.49753513335,60.0,0.036,7.47e-09,486000000.0,92.0,25
101.0,23.5167362213,60,0.036,7.47e-09,486000000.0,92.0,25
102.0,23.53593730925,60,0.036,7.47e-09,486000000.0,92.0,25
103.0,23.5551383972,60,0.036,7.47e-09,486000000.0,92.0,25
104.0,23.57433948515,60,0.036,7.47e-09,486000000.0,92.0,25
105.0,23.5935405731,60,0.036,7.47e-09,486000000.0,92.0,25
106.0,23.61274166105,60,0.036,7.47e-09,486000000.0,92.0,25
107.0,23.631942749,60,0.036,7.47e-09,486000000.0,92.0,25
108.0,23.65109558103,60,0.036,7.47e-09,486000000.0,92.0,25
109.0,23.67024841306,60,0.036,7.47e-09,486000000.0,92.0,25
110.0,23.68940124509,60,0.036,7.47e-09,486000000.0,92.0,25
111.0,23.70855407712,60,0.036,7.47e-09,486000000.0,92.0,25
112.0,23.72770690915,60,0.036,7.47e-09,486000000.0,92.0,25
113.0,23.74685974118,60,0.036,7.47e-09,486000000.0,92.0,25
114.0,23.76601257321,60,0.036,7.47e-09,486000000.0,92.0,25
115.0,23.78516540524,60,0.036,7.47e-09,486000000.0,92.0,25
116.0,23.80431823727,60,0.036,7.47e-09,486000000.0,92.0,25
117.0,23.8234710693,60,0.036,7.47e-09,486000000.0,92.0,25
118.0,23.84253845212,60,0.036,7.47e-09,486000000.0,92.0,25
119.0,23.86160583494,60,0.036,7.47e-09,486000000.0,92.0,25
120.0,23.88067321776,60,0.036,7.47e-09,486000000.0,92.0,25
121.0,23.89974060058,60,0.036,7.47e-09,486000000.0,92.0,25
122.0,23.9188079834,60,0.036,7.47e-09,486000000.0,92.0,25
123.0,23.93787536622,60,0.036,7.47e-09,486000000.0,92.0,25
