time,T_int,T_ext_1,Film_Coef,Density,Specific_Heat,Thermal_Conductivity,Radius
1.0,21.9728507996,22.88,0.036,7.47e-09,186000000.0,152.0,25
2.0,21.9515399933,23.76,0.036,7.47e-09,186000000.0,152.0,25
3.0,21.9332771301,24.64,0.036,7.47e-09,186000000.0,152.0,25
4.0,21.9186220169,25.52,0.036,7.47e-09,186000000.0,152.0,25
5.0,21.9039669037,26.4,0.036,7.47e-09,186000000.0,152.0,25
6.0,21.89488220215,27.28,0.036,7.47e-09,186000000.0,152.0,25
7.0,21.8857975006,28.16,0.036,7.47e-09,186000000.0,152.0,25
8.0,21.87671279905,29.04,0.036,7.47e-09,186000000.0,152.0,25
9.0,21.8676280975,29.92,0.036,7.47e-09,186000000.0,152.0,25
10.0,21.868915081,30.8,0.036,7.47e-09,186000000.0,152.0,25
11.0,21.8702020645,31.68,0.036,7.47e-09,186000000.0,152.0,25
12.0,21.871489048,32.56,0.036,7.47e-09,186000000.0,152.0,25
13.0,21.8727760315,33.44,0.036,7.47e-09,186000000.0,152.0,25
14.0,21.874063015,34.32,0.036,7.47e-09,186000000.0,152.0,25
15.0,21.8753499985,35.2,0.036,7.47e-09,186000000.0,152.0,25
16.0,21.876636982,36.08,0.036,7.47e-09,186000000.0,152.0,25
17.0,21.8779239655,36.96,0.036,7.47e-09,186000000.0,152.0,25
18.0,21.89202346806,37.84,0.036,7.47e-09,186000000.0,152.0,25
19.0,21.90612297062,38.72,0.036,7.47e-09,186000000.0,152.0,25
20.0,21.92022247318,39.6,0.036,7.47e-09,186000000.0,152.0,25
21.0,21.93432197574,40.48,0.036,7.47e-09,186000000.0,152.0,25
22.0,21.9484214783,41.36,0.036,7.47e-09,186000000.0,152.0,25
23.0,21.96252098086,42.24,0.036,7.47e-09,186000000.0,152.0,25
24.0,21.97662048342,43.12,0.036,7.47e-09,186000000.0,152.0,25
25.0,21.99071998598,44.0,0.036,7.47e-09,186000000.0,152.0,25
26.0,22.00481948854,44.88,0.036,7.47e-09,186000000.0,152.0,25
27.0,22.0189189911,45.76,0.036,7.47e-09,186000000.0,152.0,25
28.0,22.0457473755,46.64,0.036,7.47e-09,186000000.0,152.0,25
29.0,22.0725757599,47.52,0.036,7.47e-09,186000000.0,152.0,25
30.0,22.0994041443,48.4,0.036,7.47e-09,186000000.0,152.0,25
31.0,22.1262325287,49.28,0.036,7.47e-09,186000000.0,152.0,25
32.0,22.1530609131,50.16,0.036,7.47e-09,186000000.0,152.0,25
33.0,22.1798892975,51.04,0.036,7.47e-09,186000000.0,152.0,25
34.0,22.2067176819,51.92,0.036,7.47e-09,186000000.0,152.0,25
35.0,22.2335460663,52.8,0.036,7.47e-09,186000000.0,152.0,25
36.0,22.2603744507,53.68,0.036,7.47e-09,186000000.0,152.0,25
37.0,22.2872028351,54.56,0.036,7.47e-09,186000000.0,152.0,25
38.0,22.32665901186,55.44,0.036,7.47e-09,186000000.0,152.0,25
39.0,22.36611518862,56.32,0.036,7.47e-09,186000000.0,152.0,25
40.0,22.40557136538,57.2,0.036,7.47e-09,186000000.0,152.0,25
41.0,22.44502754214,58.08,0.036,7.47e-09,186000000.0,152.0,25
42.0,22.4844837189,58.96,0.036,7.47e-09,186000000.0,152.0,25
43.0,22.52393989566,59.84,0.036,7.47e-09,186000000.0,152.0,25
44.0,22.56339607242,60.72,0.036,7.47e-09,186000000.0,152.0,25
45.0,22.60285224918,61.6,0.036,7.47e-09,186000000.0,152.0,25
46.0,22.64230842594,62.48,0.036,7.47e-09,186000000.0,152.0,25
47.0,22.6817646027,63.36,0.036,7.47e-09,186000000.0,152.0,25
48.0,22.72340183262,64.24,0.036,7.47e-09,186000000.0,152.0,25
49.0,22.76503906254,65.12,0.036,7.47e-09,186000000.0,152.0,25
50.0,22.80667629246,66.0,0.036,7.47e-09,186000000.0,152.0,25
51.0,22.84831352238,62.94,0.036,7.47e-09,186000000.0,152.0,25
52.0,22.8899507523,62.88,0.036,7.47e-09,186000000.0,152.0,25
53.0,22.93158798222,62.82,0.036,7.47e-09,186000000.0,152.0,25
54.0,22.97322521214,62.76,0.036,7.47e-09,186000000.0,152.0,25
55.0,23.01486244206,62.7,0.036,7.47e-09,186000000.0,152.0,25
56.0,23.05649967198,62.64,0.036,7.47e-09,186000000.0,152.0,25
57.0,23.0981369019,62.58,0.036,7.47e-09,186000000.0,152.0,25
58.0,23.13799018864,62.52,0.036,7.47e-09,186000000.0,152.0,25
59.0,23.17784347538,62.46,0.036,7.47e-09,186000000.0,152.0,25
