time,T_int,T_ext_1,Film_Coef,Density,Specific_Heat,Thermal_Conductivity,Radius
1.0,21.9196472168,22.88,0.036,7.97e-09,186000000.0,152.0,15
2.0,21.8568077087,23.76,0.036,7.97e-09,186000000.0,152.0,15
3.0,21.8032894135,24.64,0.036,7.97e-09,186000000.0,152.0,15
4.0,21.7607908249,25.52,0.036,7.97e-09,186000000.0,152.0,15
5.0,21.7182922363,26.4,0.036,7.97e-09,186000000.0,152.0,15
6.0,21.692503452275,27.28,0.036,7.97e-09,186000000.0,152.0,15
7.0,21.66671466825,28.16,0.036,7.97e-09,186000000.0,152.0,15
8.0,21.640925884225,29.04,0.036,7.97e-09,186000000.0,152.0,15
9.0,21.6151371002,29.92,0.036,7.97e-09,186000000.0,152.0,15
10.0,21.6197438239875,30.8,0.036,7.97e-09,186000000.0,152.0,15
11.0,21.624350547775,31.68,0.036,7.97e-09,186000000.0,152.0,15
12.0,21.6289572715625,32.56,0.036,7.97e-09,186000000.0,152.0,15
13.0,21.63356399535,33.44,0.036,7.97e-09,186000000.0,152.0,15
14.0,21.6381707191375,34.32,0.036,7.97e-09,186000000.0,152.0,15
15.0,21.642777442925,35.2,0.036,7.97e-09,186000000.0,152.0,15
16.0,21.6473841667125,36.08,0.036,7.97e-09,186000000.0,152.0,15
17.0,21.6519908905,36.96,0.036,7.97e-09,186000000.0,152.0,15
18.0,21.69336624145,37.84,0.036,7.97e-09,186000000.0,152.0,15
19.0,21.7347415924,38.72,0.036,7.97e-09,186000000.0,152.0,15
20.0,21.77611694335,39.6,0.036,7.97e-09,186000000.0,152.0,15
21.0,21.8174922943,40.48,0.036,7.97e-09,186000000.0,152.0,15
22.0,21.85886764525,41.36,0.036,7.97e-09,186000000.0,152.0,15
23.0,21.9002429962,42.24,0.036,7.97e-09,186000000.0,152.0,15
24.0,21.94161834715,43.12,0.036,7.97e-09,186000000.0,152.0,15
25.0,21.9829936981,44.0,0.036,7.97e-09,186000000.0,152.0,15
26.0,22.02436904905,44.88,0.036,7.97e-09,186000000.0,152.0,15
27.0,22.0657444,45.76,0.036,7.97e-09,186000000.0,152.0,15
28.0,22.14296569822,46.64,0.036,7.97e-09,186000000.0,152.0,15
29.0,22.22018699644,47.52,0.036,7.97e-09,186000000.0,152.0,15
30.0,22.29740829466,48.4,0.036,7.97e-09,186000000.0,152.0,15
31.0,22.37462959288,49.28,0.036,7.97e-09,186000000.0,152.0,15
32.0,22.4518508911,50.16,0.036,7.97e-09,186000000.0,152.0,15
33.0,22.52907218932,51.04,0.036,7.97e-09,186000000.0,152.0,15
34.0,22.60629348754,51.92,0.036,7.97e-09,186000000.0,152.0,15
35.0,22.68351478576,52.8,0.036,7.97e-09,186000000.0,152.0,15
36.0,22.76073608398,53.68,0.036,7.97e-09,186000000.0,152.0,15
37.0,22.8379573822,54.56,0.036,7.97e-09,186000000.0,152.0,15
38.0,22.9121555980602,55.44,0.036,7.97e-09,186000000.0,152.0,15
39.0,23.0196336036031,56.32,0.036,7.97e-09,186000000.0,152.0,15
40.0,23.1271116091459,57.2,0.036,7.97e-09,186000000.0,152.0,15
41.0,23.2345896146888,58.08,0.036,7.97e-09,186000000.0,152.0,15
42.0,23.3420676202316,58.96,0.036,7.97e-09,186000000.0,152.0,15
43.0,23.4495456257745,59.84,0.036,7.97e-09,186000000.0,152.0,15
44.3096427917,23.590303421,60.9924856567,0.036,7.97e-09,186000000.0,152.0,15
45.3096427917,23.6775616641288,61.8724856567,0.036,7.97e-09,186000000.0,152.0,15
46.3096427917,23.8039567534145,62.7524856567,0.036,7.97e-09,186000000.0,152.0,15
47.3096427917,23.9303518427003,63.6324856567,0.036,7.97e-09,186000000.0,152.0,15
48.3096427917,24.056746931986,64.5124856567,0.036,7.97e-09,186000000.0,152.0,15
49.3096427917,24.1831420212717,65.3924856567,0.036,7.97e-09,186000000.0,152.0,15
50.3096427917,24.3095371105574,62.9814214325,0.036,7.97e-09,186000000.0,152.0,15
51.6192817688,24.475069046,62.9028430939,0.036,7.97e-09,186000000.0,152.0,15
52.6192817688,24.55751501941,62.8428430939,0.036,7.97e-09,186000000.0,152.0,15
53.6192817688,24.6769401118385,62.7828430939,0.036,7.97e-09,186000000.0,152.0,15
54.6192817688,24.7963652042671,62.7228430939,0.036,7.97e-09,186000000.0,152.0,15
55.6192817688,24.9157902966957,62.6628430939,0.036,7.97e-09,186000000.0,152.0,15
56.6192817688,25.0352153891242,62.6028430939,0.036,7.97e-09,186000000.0,152.0,15
57.6192817688,25.1546404815528,62.5428430939,0.036,7.97e-09,186000000.0,152.0,15
58.9289245605,25.311044693,62.4642645264,0.036,7.97e-09,186000000.0,152.0,15
59.9289245605,25.3899618312165,62.4042645264,0.036,7.97e-09,186000000.0,152.0,15
60.9289245605,25.504274684345,62.3442645264,0.036,7.97e-09,186000000.0,152.0,15
61.9289245605,25.6185875374736,62.2842645264,0.036,7.97e-09,186000000.0,152.0,15
62.9289245605,25.7329003906022,62.2242645264,0.036,7.97e-09,186000000.0,152.0,15
63.9289245605,25.8472132437307,62.1642645264,0.036,7.97e-09,186000000.0,152.0,15
64.9289245605,25.9615260968593,62.1042645264,0.036,7.97e-09,186000000.0,152.0,15
66.2385635376,26.1112346649,62.0256861877,0.036,7.97e-09,186000000.0,152.0,15
67.2385635376,26.1867806291342,61.9656861877,0.036,7.97e-09,186000000.0,152.0,15
68.2385635376,26.2962114872056,61.9056861877,0.036,7.97e-09,186000000.0,152.0,15
69.2385635376,26.405642345277,61.8456861877,0.036,7.97e-09,186000000.0,152.0,15
70.2385635376,26.5150732033485,61.7856861877,0.036,7.97e-09,186000000.0,152.0,15
71.2385635376,26.6245040614199,61.7256861877,0.036,7.97e-09,186000000.0,152.0,15
72.2385635376,26.7339349194913,61.6656861877,0.036,7.97e-09,186000000.0,152.0,15
73.548210144,26.8772506714,61.5871073914,0.036,7.97e-09,186000000.0,152.0,15
74.548210144,26.9494792374473,61.5271073914,0.036,7.97e-09,186000000.0,152.0,15
75.548210144,27.0541035769616,61.4671073914,0.036,7.97e-09,186000000.0,152.0,15
76.548210144,27.1587279164759,61.4071073914,0.036,7.97e-09,186000000.0,152.0,15
77.548210144,27.2633522559902,61.3471073914,0.036,7.97e-09,186000000.0,152.0,15
78.548210144,27.3679765955045,61.2871073914,0.036,7.97e-09,186000000.0,152.0,15
79.548210144,27.4726009350187,61.2271073914,0.036,7.97e-09,186000000.0,152.0,15
80.8578491211,27.609621048,61.1485290527,0.036,7.97e-09,186000000.0,152.0,15
81.8578491211,27.6785819821645,61.0885290527,0.036,7.97e-09,186000000.0,152.0,15
82.8578491211,27.7784730998074,61.0285290527,0.036,7.97e-09,186000000.0,152.0,15
83.8578491211,27.8783642174503,60.9685290527,0.036,7.97e-09,186000000.0,152.0,15
84.8578491211,27.9782553350931,60.9085290527,0.036,7.97e-09,186000000.0,152.0,15
85.8578491211,28.078146452736,60.8485290527,0.036,7.97e-09,186000000.0,152.0,15
