time,T_int,T_ext_1,Film_Coef,Density,Specific_Heat,Thermal_Conductivity,Radius
1.0,21.9996318817,22.88,0.036,2.61e-09,1021000000.0,205.0,25
2.0,21.999080658,23.76,0.036,2.61e-09,1021000000.0,205.0,25
3.0,21.9983062744,24.64,0.036,2.61e-09,1021000000.0,205.0,25
4.0,21.99690914155,25.52,0.036,2.61e-09,1021000000.0,205.0,25
5.0,21.9955120087,26.4,0.036,2.61e-09,1021000000.0,205.0,25
6.0,21.993332862875,27.28,0.036,2.61e-09,1021000000.0,205.0,25
7.0,21.99115371705,28.16,0.036,2.61e-09,1021000000.0,205.0,25
8.0,21.988974571225,29.04,0.036,2.61e-09,1021000000.0,205.0,25
9.0,21.9867954254,29.92,0.036,2.61e-09,1021000000.0,205.0,25
10.0,21.985306501375,30.8,0.036,2.61e-09,1021000000.0,205.0,25
11.0,21.98381757735,31.68,0.036,2.61e-09,1021000000.0,205.0,25
12.0,21.982328653325,32.56,0.036,2.61e-09,1021000000.0,205.0,25
13.0,21.9808397293,33.44,0.036,2.61e-09,1021000000.0,205.0,25
14.0,21.979350805275,34.32,0.036,2.61e-09,1021000000.0,205.0,25
15.0,21.97786188125,35.2,0.036,2.61e-09,1021000000.0,205.0,25
16.0,21.976372957225,36.08,0.036,2.61e-09,1021000000.0,205.0,25
17.0,21.9748840332,36.96,0.036,2.61e-09,1021000000.0,205.0,25
18.0,21.97603149414,37.84,0.036,2.61e-09,1021000000.0,205.0,25
19.0,21.97717895508,38.72,0.036,2.61e-09,1021000000.0,205.0,25
20.0,21.97832641602,39.6,0.036,2.61e-09,1021000000.0,205.0,25
21.0,21.97947387696,40.48,0.036,2.61e-09,1021000000.0,205.0,25
22.0,21.9806213379,41.36,0.036,2.61e-09,1021000000.0,205.0,25
23.0,21.98176879884,42.24,0.036,2.61e-09,1021000000.0,205.0,25
24.0,21.98291625978,43.12,0.036,2.61e-09,1021000000.0,205.0,25
25.0,21.98406372072,44.0,0.036,2.61e-09,1021000000.0,205.0,25
26.0,21.98521118166,44.88,0.036,2.61e-09,1021000000.0,205.0,25
27.0,21.9863586426,45.76,0.036,2.61e-09,1021000000.0,205.0,25
28.0,21.990896225,46.64,0.036,2.61e-09,1021000000.0,205.0,25
29.0,21.9954338074,47.52,0.036,2.61e-09,1021000000.0,205.0,25
30.0,21.9999713898,48.4,0.036,2.61e-09,1021000000.0,205.0,25
31.0,22.0045089722,49.28,0.036,2.61e-09,1021000000.0,205.0,25
32.0,22.0090465546,50.16,0.036,2.61e-09,1021000000.0,205.0,25
33.0,22.013584137,51.04,0.036,2.61e-09,1021000000.0,205.0,25
34.0,22.0181217194,51.92,0.036,2.61e-09,1021000000.0,205.0,25
35.0,22.0226593018,52.8,0.036,2.61e-09,1021000000.0,205.0,25
36.0,22.0271968842,53.68,0.036,2.61e-09,1021000000.0,205.0,25
37.0,22.0317344666,54.56,0.036,2.61e-09,1021000000.0,205.0,25
38.0,22.03997058873,55.44,0.036,2.61e-09,1021000000.0,205.0,25
39.0,22.04820671086,56.32,0.036,2.61e-09,1021000000.0,205.0,25
40.0,22.05644283299,57.2,0.036,2.61e-09,1021000000.0,205.0,25
41.0,22.06467895512,58.08,0.036,2.61e-09,1021000000.0,205.0,25
42.0,22.07291507725,58.96,0.036,2.61e-09,1021000000.0,205.0,25
43.0,22.08115119938,59.84,0.036,2.61e-09,1021000000.0,205.0,25
44.0,22.08938732151,60.72,0.036,2.61e-09,1021000000.0,205.0,25
45.0,22.09762344364,61.6,0.036,2.61e-09,1021000000.0,205.0,25
46.0,22.10585956577,62.48,0.036,2.61e-09,1021000000.0,205.0,25
47.0,22.1140956879,63.36,0.036,2.61e-09,1021000000.0,205.0,25
48.0,22.12478618625,64.24,0.036,2.61e-09,1021000000.0,205.0,25
49.0,22.1354766846,65.12,0.036,2.61e-09,1021000000.0,205.0,25
50.0,22.14616718295,66.0,0.036,2.61e-09,1021000000.0,205.0,25
51.0,22.1568576813,62.94,0.036,2.61e-09,1021000000.0,205.0,25
52.0,22.16754817965,62.88,0.036,2.61e-09,1021000000.0,205.0,25
53.0,22.178238678,62.82,0.036,2.61e-09,1021000000.0,205.0,25
54.0,22.18892917635,62.76,0.036,2.61e-09,1021000000.0,205.0,25
55.0,22.1996196747,62.7,0.036,2.61e-09,1021000000.0,205.0,25
56.0,22.21031017305,62.64,0.036,2.61e-09,1021000000.0,205.0,25
57.0,22.2210006714,62.58,0.036,2.61e-09,1021000000.0,205.0,25
58.0,22.23273315431,62.52,0.036,2.61e-09,1021000000.0,205.0,25
59.0,22.24446563722,62.46,0.036,2.61e-09,1021000000.0,205.0,25
60.0,22.25619812013,62.4,0.036,2.61e-09,1021000000.0,205.0,25
61.0,22.26793060304,62.34,0.036,2.61e-09,1021000000.0,205.0,25
62.0,22.27966308595,62.28,0.036,2.61e-09,1021000000.0,205.0,25
63.0,22.29139556886,62.22,0.036,2.61e-09,1021000000.0,205.0,25
64.0,22.30312805177,62.16,0.036,2.61e-09,1021000000.0,205.0,25
65.0,22.31486053468,62.1,0.036,2.61e-09,1021000000.0,205.0,25
66.0,22.32659301759,62.04,0.036,2.61e-09,1021000000.0,205.0,25
67.0,22.3383255005,61.98,0.036,2.61e-09,1021000000.0,205.0,25
68.0,22.35031700135,61.92,0.036,2.61e-09,1021000000.0,205.0,25
69.0,22.3623085022,61.86,0.036,2.61e-09,1021000000.0,205.0,25
70.0,22.37430000305,61.8,0.036,2.61e-09,1021000000.0,205.0,25
71.0,22.3862915039,61.74,0.036,2.61e-09,1021000000.0,205.0,25
72.0,22.39828300475,61.68,0.036,2.61e-09,1021000000.0,205.0,25
73.0,22.4102745056,61.62,0.036,2.61e-09,1021000000.0,205.0,25
74.0,22.42226600645,61.56,0.036,2.61e-09,1021000000.0,205.0,25
75.0,22.4342575073,61.5,0.036,2.61e-09,1021000000.0,205.0,25
76.0,22.44624900815,61.44,0.036,2.61e-09,1021000000.0,205.0,25
77.0,22.458240509,61.38,0.036,2.61e-09,1021000000.0,205.0,25
78.0,22.47012844083,61.32,0.036,2.61e-09,1021000000.0,205.0,25
79.0,22.48201637266,61.26,0.036,2.61e-09,1021000000.0,205.0,25
80.0,22.49390430449,61.2,0.036,2.61e-09,1021000000.0,205.0,25
81.0,22.50579223632,61.14,0.036,2.61e-09,1021000000.0,205.0,25
82.0,22.51768016815,61.08,0.036,2.61e-09,1021000000.0,205.0,25
83.0,22.52956809998,61.02,0.036,2.61e-09,1021000000.0,205.0,25
84.0,22.54145603181,60.96,0.036,2.61e-09,1021000000.0,205.0,25
85.0,22.55334396364,60.9,0.036,2.61e-09,1021000000.0,205.0,25
86.0,22.56523189547,60.84,0.036,2.61e-09,1021000000.0,205.0,25
87.0,22.5771198273,60.78,0.036,2.61e-09,1021000000.0,205.0,25
88.0,22.5887477875,60.72,0.036,2.61e-09,1021000000.0,205.0,25
89.0,22.6003757477,60.66,0.036,2.61e-09,1021000000.0,205.0,25
90.0,22.6120037079,60.6,0.036,2.61e-09,1021000000.0,205.0,25
91.0,22.6236316681,60.54,0.036,2.61e-09,1021000000.0,205.0,25
92.0,22.6352596283,60.48,0.036,2.61e-09,1021000000.0,205.0,25
93.0,22.6468875885,60.42,0.036,2.61e-09,1021000000.0,205.0,25
94.0,22.6585155487,60.36,0.036,2.61e-09,1021000000.0,205.0,25
95.0,22.6701435089,60.3,0.036,2.61e-09,1021000000.0,205.0,25
96.0,22.6817714691,60.24,0.036,2.61e-09,1021000000.0,205.0,25
97.0,22.6933994293,60.18,0.036,2.61e-09,1021000000.0,205.0,25
98.0,22.70481376646,60.12,0.036,2.61e-09,1021000000.0,205.0,25
99.0,22.71622810362,60.06,0.036,2.61e-09,1021000000.0,205.0,25
100.0,22.72764244078,60.0,0.036,2.61e-09,1021000000.0,205.0,25
101.0,22.73905677794,60,0.036,2.61e-09,1021000000.0,205.0,25
102.0,22.7504711151,60,0.036,2.61e-09,1021000000.0,205.0,25
103.0,22.76188545226,60,0.036,2.61e-09,1021000000.0,205.0,25
104.0,22.77329978942,60,0.036,2.61e-09,1021000000.0,205.0,25
105.0,22.78471412658,60,0.036,2.61e-09,1021000000.0,205.0,25
106.0,22.79612846374,60,0.036,2.61e-09,1021000000.0,205.0,25
107.0,22.8075428009,60,0.036,2.61e-09,1021000000.0,205.0,25
108.0,22.81883449554,60,0.036,2.61e-09,1021000000.0,205.0,25
109.0,22.83012619018,60,0.036,2.61e-09,1021000000.0,205.0,25
110.0,22.84141788482,60,0.036,2.61e-09,1021000000.0,205.0,25
111.0,22.85270957946,60,0.036,2.61e-09,1021000000.0,205.0,25
112.0,22.8640012741,60,0.036,2.61e-09,1021000000.0,205.0,25
113.0,22.87529296874,60,0.036,2.61e-09,1021000000.0,205.0,25
114.0,22.88658466338,60,0.036,2.61e-09,1021000000.0,205.0,25
115.0,22.89787635802,60,0.036,2.61e-09,1021000000.0,205.0,25
116.0,22.90916805266,60,0.036,2.61e-09,1021000000.0,205.0,25
117.0,22.9204597473,60,0.036,2.61e-09,1021000000.0,205.0,25
118.0,22.93168163298,60,0.036,2.61e-09,1021000000.0,205.0,25
119.0,22.94290351866,60,0.036,2.61e-09,1021000000.0,205.0,25
120.0,22.95412540434,60,0.036,2.61e-09,1021000000.0,205.0,25
121.0,22.96534729002,60,0.036,2.61e-09,1021000000.0,205.0,25
122.0,22.9765691757,60,0.036,2.61e-09,1021000000.0,205.0,25
123.0,22.98779106138,60,0.036,2.61e-09,1021000000.0,205.0,25
124.0,22.99901294706,60,0.036,2.61e-09,1021000000.0,205.0,25
125.0,23.01023483274,60,0.036,2.61e-09,1021000000.0,205.0,25
126.0,23.02145671842,60,0.036,2.61e-09,1021000000.0,205.0,25
127.0,23.0326786041,60,0.036,2.61e-09,1021000000.0,205.0,25
128.0,23.04385375974,60,0.036,2.61e-09,1021000000.0,205.0,25
129.0,23.05502891538,60,0.036,2.61e-09,1021000000.0,205.0,25
130.0,23.06620407102,60,0.036,2.61e-09,1021000000.0,205.0,25
131.0,23.07737922666,60,0.036,2.61e-09,1021000000.0,205.0,25
132.0,23.0885543823,60,0.036,2.61e-09,1021000000.0,205.0,25
133.0,23.09972953794,60,0.036,2.61e-09,1021000000.0,205.0,25
134.0,23.11090469358,60,0.036,2.61e-09,1021000000.0,205.0,25
135.0,23.12207984922,60,0.036,2.61e-09,1021000000.0,205.0,25
136.0,23.13325500486,60,0.036,2.61e-09,1021000000.0,205.0,25
137.0,23.1444301605,60,0.036,2.61e-09,1021000000.0,205.0,25
138.0,23.15556831358,60,0.036,2.61e-09,1021000000.0,205.0,25
139.0,23.16670646666,60,0.036,2.61e-09,1021000000.0,205.0,25
140.0,23.17784461974,60,0.036,2.61e-09,1021000000.0,205.0,25
141.0,23.18898277282,60,0.036,2.61e-09,1021000000.0,205.0,25
142.0,23.2001209259,60,0.036,2.61e-09,1021000000.0,205.0,25
143.0,23.21125907898,60,0.036,2.61e-09,1021000000.0,205.0,25
144.0,23.22239723206,60,0.036,2.61e-09,1021000000.0,205.0,25
145.0,23.23353538514,60,0.036,2.61e-09,1021000000.0,205.0,25
146.0,23.24467353822,60,0.036,2.61e-09,1021000000.0,205.0,25
147.0,23.2558116913,60,0.036,2.61e-09,1021000000.0,205.0,25
148.0,23.2669160843,60,0.036,2.61e-09,1021000000.0,205.0,25
149.0,23.2780204773,60,0.036,2.61e-09,1021000000.0,205.0,25
150.0,23.2891248703,60,0.036,2.61e-09,1021000000.0,205.0,25
