time,T_int,T_ext_1,Film_Coef,Density,Specific_Heat,Thermal_Conductivity,Radius
1.0,21.9996433258,22.88,0.036,2.81e-09,1221000000.0,245.0,25
2.0,21.9990329742,23.76,0.036,2.81e-09,1221000000.0,245.0,25
3.0,21.9980888367,24.64,0.036,2.81e-09,1221000000.0,245.0,25
4.0,21.99646377565,25.52,0.036,2.81e-09,1221000000.0,245.0,25
5.0,21.9948387146,26.4,0.036,2.81e-09,1221000000.0,245.0,25
6.0,21.99269628525,27.28,0.036,2.81e-09,1221000000.0,245.0,25
7.0,21.9905538559,28.16,0.036,2.81e-09,1221000000.0,245.0,25
8.0,21.98841142655,29.04,0.036,2.81e-09,1221000000.0,245.0,25
9.0,21.9862689972,29.92,0.036,2.81e-09,1221000000.0,245.0,25
10.0,21.9851472377875,30.8,0.036,2.81e-09,1221000000.0,245.0,25
11.0,21.984025478375,31.68,0.036,2.81e-09,1221000000.0,245.0,25
12.0,21.9829037189625,32.56,0.036,2.81e-09,1221000000.0,245.0,25
13.0,21.98178195955,33.44,0.036,2.81e-09,1221000000.0,245.0,25
14.0,21.9806602001375,34.32,0.036,2.81e-09,1221000000.0,245.0,25
15.0,21.979538440725,35.2,0.036,2.81e-09,1221000000.0,245.0,25
16.0,21.9784166813125,36.08,0.036,2.81e-09,1221000000.0,245.0,25
17.0,21.9772949219,36.96,0.036,2.81e-09,1221000000.0,245.0,25
18.0,21.9786211014,37.84,0.036,2.81e-09,1221000000.0,245.0,25
19.0,21.9799472809,38.72,0.036,2.81e-09,1221000000.0,245.0,25
20.0,21.9812734604,39.6,0.036,2.81e-09,1221000000.0,245.0,25
21.0,21.9825996399,40.48,0.036,2.81e-09,1221000000.0,245.0,25
22.0,21.9839258194,41.36,0.036,2.81e-09,1221000000.0,245.0,25
23.0,21.9852519989,42.24,0.036,2.81e-09,1221000000.0,245.0,25
24.0,21.9865781784,43.12,0.036,2.81e-09,1221000000.0,245.0,25
25.0,21.9879043579,44.0,0.036,2.81e-09,1221000000.0,245.0,25
26.0,21.9892305374,44.88,0.036,2.81e-09,1221000000.0,245.0,25
27.0,21.9905567169,45.76,0.036,2.81e-09,1221000000.0,245.0,25
28.0,21.99472656248,46.64,0.036,2.81e-09,1221000000.0,245.0,25
29.0,21.99889640806,47.52,0.036,2.81e-09,1221000000.0,245.0,25
30.0,22.00306625364,48.4,0.036,2.81e-09,1221000000.0,245.0,25
31.0,22.00723609922,49.28,0.036,2.81e-09,1221000000.0,245.0,25
32.0,22.0114059448,50.16,0.036,2.81e-09,1221000000.0,245.0,25
33.0,22.01557579038,51.04,0.036,2.81e-09,1221000000.0,245.0,25
34.0,22.01974563596,51.92,0.036,2.81e-09,1221000000.0,245.0,25
35.0,22.02391548154,52.8,0.036,2.81e-09,1221000000.0,245.0,25
36.0,22.02808532712,53.68,0.036,2.81e-09,1221000000.0,245.0,25
37.0,22.0322551727,54.56,0.036,2.81e-09,1221000000.0,245.0,25
38.0,22.03940410611,55.44,0.036,2.81e-09,1221000000.0,245.0,25
