time,T_int,T_ext_1,Film_Coef,Density,Specific_Heat,Thermal_Conductivity,Radius
1.0,21.9722270966,22.88,0.036,7.77e-09,186000000.0,112.0,15
2.0,21.9504623413,23.76,0.036,7.77e-09,186000000.0,112.0,15
3.0,21.9320869446,24.64,0.036,7.77e-09,186000000.0,112.0,15
4.0,21.9176826477,25.52,0.036,7.77e-09,186000000.0,112.0,15
5.0,21.9032783508,26.4,0.036,7.77e-09,186000000.0,112.0,15
6.0,21.89462327955,27.28,0.036,7.77e-09,186000000.0,112.0,15
7.0,21.8859682083,28.16,0.036,7.77e-09,186000000.0,112.0,15
8.0,21.87731313705,29.04,0.036,7.77e-09,186000000.0,112.0,15
9.0,21.8686580658,29.92,0.036,7.77e-09,186000000.0,112.0,15
10.0,21.8702106475875,30.8,0.036,7.77e-09,186000000.0,112.0,15
11.0,21.871763229375,31.68,0.036,7.77e-09,186000000.0,112.0,15
12.0,21.8733158111625,32.56,0.036,7.77e-09,186000000.0,112.0,15
13.0,21.87486839295,33.44,0.036,7.77e-09,186000000.0,112.0,15
14.0,21.8764209747375,34.32,0.036,7.77e-09,186000000.0,112.0,15
15.0,21.877973556525,35.2,0.036,7.77e-09,186000000.0,112.0,15
16.0,21.8795261383125,36.08,0.036,7.77e-09,186000000.0,112.0,15
17.0,21.8810787201,36.96,0.036,7.77e-09,186000000.0,112.0,15
18.0,21.89507465363,37.84,0.036,7.77e-09,186000000.0,112.0,15
19.0,21.90907058716,38.72,0.036,7.77e-09,186000000.0,112.0,15
20.0,21.92306652069,39.6,0.036,7.77e-09,186000000.0,112.0,15
21.0,21.93706245422,40.48,0.036,7.77e-09,186000000.0,112.0,15
22.0,21.95105838775,41.36,0.036,7.77e-09,186000000.0,112.0,15
23.0,21.96505432128,42.24,0.036,7.77e-09,186000000.0,112.0,15
24.0,21.97905025481,43.12,0.036,7.77e-09,186000000.0,112.0,15
25.0,21.99304618834,44.0,0.036,7.77e-09,186000000.0,112.0,15
26.0,22.00704212187,44.88,0.036,7.77e-09,186000000.0,112.0,15
27.0,22.0210380554,45.76,0.036,7.77e-09,186000000.0,112.0,15
28.0,22.04737873076,46.64,0.036,7.77e-09,186000000.0,112.0,15
29.0,22.07371940612,47.52,0.036,7.77e-09,186000000.0,112.0,15
30.0,22.10006008148,48.4,0.036,7.77e-09,186000000.0,112.0,15
31.0,22.12640075684,49.28,0.036,7.77e-09,186000000.0,112.0,15
32.0,22.1527414322,50.16,0.036,7.77e-09,186000000.0,112.0,15
33.0,22.17908210756,51.04,0.036,7.77e-09,186000000.0,112.0,15
34.0,22.20542278292,51.92,0.036,7.77e-09,186000000.0,112.0,15
