time,T_int,T_ext_1,Film_Coef,Density,Specific_Heat,Thermal_Conductivity,Radius
1.0,21.9874267578,22.88,0.036,7.87e-09,786000000.0,52.0,15
2.0,21.9766120911,23.76,0.036,7.87e-09,786000000.0,52.0,15
3.0,21.9673175812,24.64,0.036,7.87e-09,786000000.0,52.0,15
4.0,21.960392952,25.52,0.036,7.87e-09,786000000.0,52.0,15
5.0,21.9534683228,26.4,0.036,7.87e-09,786000000.0,52.0,15
6.0,21.949928760575,27.28,0.036,7.87e-09,786000000.0,52.0,15
7.0,21.94638919835,28.16,0.036,7.87e-09,786000000.0,52.0,15
8.0,21.942849636125,29.04,0.036,7.87e-09,786000000.0,52.0,15
9.0,21.9393100739,29.92,0.036,7.87e-09,786000000.0,52.0,15
10.0,21.9406812191375,30.8,0.036,7.87e-09,786000000.0,52.0,15
11.0,21.942052364375,31.68,0.036,7.87e-09,786000000.0,52.0,15
12.0,21.9434235096125,32.56,0.036,7.87e-09,786000000.0,52.0,15
13.0,21.94479465485,33.44,0.036,7.87e-09,786000000.0,52.0,15
14.0,21.9461658000875,34.32,0.036,7.87e-09,786000000.0,52.0,15
15.0,21.947536945325,35.2,0.036,7.87e-09,786000000.0,52.0,15
16.0,21.9489080905625,36.08,0.036,7.87e-09,786000000.0,52.0,15
17.0,21.9502792358,36.96,0.036,7.87e-09,786000000.0,52.0,15
18.0,21.95683250424,37.84,0.036,7.87e-09,786000000.0,52.0,15
19.0,21.96338577268,38.72,0.036,7.87e-09,786000000.0,52.0,15
20.0,21.96993904112,39.6,0.036,7.87e-09,786000000.0,52.0,15
21.0,21.97649230956,40.48,0.036,7.87e-09,786000000.0,52.0,15
22.0,21.983045578,41.36,0.036,7.87e-09,786000000.0,52.0,15
23.0,21.98959884644,42.24,0.036,7.87e-09,786000000.0,52.0,15
24.0,21.99615211488,43.12,0.036,7.87e-09,786000000.0,52.0,15
25.0,22.00270538332,44.0,0.036,7.87e-09,786000000.0,52.0,15
26.0,22.00925865176,44.88,0.036,7.87e-09,786000000.0,52.0,15
27.0,22.0158119202,45.76,0.036,7.87e-09,786000000.0,52.0,15
28.0,22.02717609409,46.64,0.036,7.87e-09,786000000.0,52.0,15
29.0,22.03854026798,47.52,0.036,7.87e-09,786000000.0,52.0,15
30.0,22.04990444187,48.4,0.036,7.87e-09,786000000.0,52.0,15
31.0,22.06126861576,49.28,0.036,7.87e-09,786000000.0,52.0,15
32.0,22.07263278965,50.16,0.036,7.87e-09,786000000.0,52.0,15
33.0,22.08399696354,51.04,0.036,7.87e-09,786000000.0,52.0,15
34.0,22.09536113743,51.92,0.036,7.87e-09,786000000.0,52.0,15
35.0,22.10672531132,52.8,0.036,7.87e-09,786000000.0,52.0,15
36.0,22.11808948521,53.68,0.036,7.87e-09,786000000.0,52.0,15
37.0,22.1294536591,54.56,0.036,7.87e-09,786000000.0,52.0,15
38.0,22.14545764927,55.44,0.036,7.87e-09,786000000.0,52.0,15
39.0,22.16146163944,56.32,0.036,7.87e-09,786000000.0,52.0,15
40.0,22.17746562961,57.2,0.036,7.87e-09,786000000.0,52.0,15
41.0,22.19346961978,58.08,0.036,7.87e-09,786000000.0,52.0,15
42.0,22.20947360995,58.96,0.036,7.87e-09,786000000.0,52.0,15
43.0,22.22547760012,59.84,0.036,7.87e-09,786000000.0,52.0,15
44.0,22.24148159029,60.72,0.036,7.87e-09,786000000.0,52.0,15
45.0,22.25748558046,61.6,0.036,7.87e-09,786000000.0,52.0,15
46.0,22.27348957063,62.48,0.036,7.87e-09,786000000.0,52.0,15
47.0,22.2894935608,63.36,0.036,7.87e-09,786000000.0,52.0,15
48.0,22.30549259187,64.24,0.036,7.87e-09,786000000.0,52.0,15
49.0,22.32149162294,65.12,0.036,7.87e-09,786000000.0,52.0,15
50.0,22.33749065401,66.0,0.036,7.87e-09,786000000.0,52.0,15
51.0,22.35348968508,62.94,0.036,7.87e-09,786000000.0,52.0,15
52.0,22.36948871615,62.88,0.036,7.87e-09,786000000.0,52.0,15
53.0,22.38548774722,62.82,0.036,7.87e-09,786000000.0,52.0,15
54.0,22.40148677829,62.76,0.036,7.87e-09,786000000.0,52.0,15
55.0,22.41748580936,62.7,0.036,7.87e-09,786000000.0,52.0,15
56.0,22.43348484043,62.64,0.036,7.87e-09,786000000.0,52.0,15
57.0,22.4494838715,62.58,0.036,7.87e-09,786000000.0,52.0,15
58.0,22.46416339878,62.52,0.036,7.87e-09,786000000.0,52.0,15
59.0,22.47884292606,62.46,0.036,7.87e-09,786000000.0,52.0,15
60.0,22.49352245334,62.4,0.036,7.87e-09,786000000.0,52.0,15
61.0,22.50820198062,62.34,0.036,7.87e-09,786000000.0,52.0,15
62.0,22.5228815079,62.28,0.036,7.87e-09,786000000.0,52.0,15
63.0,22.53756103518,62.22,0.036,7.87e-09,786000000.0,52.0,15
64.0,22.55224056246,62.16,0.036,7.87e-09,786000000.0,52.0,15
65.0,22.56692008974,62.1,0.036,7.87e-09,786000000.0,52.0,15
66.0,22.58159961702,62.04,0.036,7.87e-09,786000000.0,52.0,15
67.0,22.5962791443,61.98,0.036,7.87e-09,786000000.0,52.0,15
68.0,22.61015338899,61.92,0.036,7.87e-09,786000000.0,52.0,15
69.0,22.62402763368,61.86,0.036,7.87e-09,786000000.0,52.0,15
70.0,22.63790187837,61.8,0.036,7.87e-09,786000000.0,52.0,15
71.0,22.65177612306,61.74,0.036,7.87e-09,786000000.0,52.0,15
72.0,22.66565036775,61.68,0.036,7.87e-09,786000000.0,52.0,15
73.0,22.67952461244,61.62,0.036,7.87e-09,786000000.0,52.0,15
74.0,22.69339885713,61.56,0.036,7.87e-09,786000000.0,52.0,15
