time,T_int,T_ext_1,Film_Coef,Density,Specific_Heat,Thermal_Conductivity,Radius
1.0,21.9820899963,22.88,0.036,7.37e-09,486000000.0,72.0,25
2.0,21.9674472809,23.76,0.036,7.37e-09,486000000.0,72.0,25
3.0,21.9552230835,24.64,0.036,7.37e-09,486000000.0,72.0,25
4.0,21.9461774826,25.52,0.036,7.37e-09,486000000.0,72.0,25
5.0,21.9371318817,26.4,0.036,7.37e-09,486000000.0,72.0,25
6.0,21.932284832,27.28,0.036,7.37e-09,486000000.0,72.0,25
7.0,21.9274377823,28.16,0.036,7.37e-09,486000000.0,72.0,25
8.0,21.9225907326,29.04,0.036,7.37e-09,486000000.0,72.0,25
9.0,21.9177436829,29.92,0.036,7.37e-09,486000000.0,72.0,25
10.0,21.919311523475,30.8,0.036,7.37e-09,486000000.0,72.0,25
11.0,21.92087936405,31.68,0.036,7.37e-09,486000000.0,72.0,25
12.0,21.922447204625,32.56,0.036,7.37e-09,486000000.0,72.0,25
13.0,21.9240150452,33.44,0.036,7.37e-09,486000000.0,72.0,25
14.0,21.925582885775,34.32,0.036,7.37e-09,486000000.0,72.0,25
15.0,21.92715072635,35.2,0.036,7.37e-09,486000000.0,72.0,25
16.0,21.928718566925,36.08,0.036,7.37e-09,486000000.0,72.0,25
17.0,21.9302864075,36.96,0.036,7.37e-09,486000000.0,72.0,25
18.0,21.93909568789,37.84,0.036,7.37e-09,486000000.0,72.0,25
19.0,21.94790496828,38.72,0.036,7.37e-09,486000000.0,72.0,25
20.0,21.95671424867,39.6,0.036,7.37e-09,486000000.0,72.0,25
21.0,21.96552352906,40.48,0.036,7.37e-09,486000000.0,72.0,25
22.0,21.97433280945,41.36,0.036,7.37e-09,486000000.0,72.0,25
23.0,21.98314208984,42.24,0.036,7.37e-09,486000000.0,72.0,25
24.0,21.99195137023,43.12,0.036,7.37e-09,486000000.0,72.0,25
25.0,22.00076065062,44.0,0.036,7.37e-09,486000000.0,72.0,25
26.0,22.00956993101,44.88,0.036,7.37e-09,486000000.0,72.0,25
27.0,22.0183792114,45.76,0.036,7.37e-09,486000000.0,72.0,25
28.0,22.03418292997,46.64,0.036,7.37e-09,486000000.0,72.0,25
29.0,22.04998664854,47.52,0.036,7.37e-09,486000000.0,72.0,25
30.0,22.06579036711,48.4,0.036,7.37e-09,486000000.0,72.0,25
31.0,22.08159408568,49.28,0.036,7.37e-09,486000000.0,72.0,25
32.0,22.09739780425,50.16,0.036,7.37e-09,486000000.0,72.0,25
33.0,22.11320152282,51.04,0.036,7.37e-09,486000000.0,72.0,25
34.0,22.12900524139,51.92,0.036,7.37e-09,486000000.0,72.0,25
35.0,22.14480895996,52.8,0.036,7.37e-09,486000000.0,72.0,25
36.0,22.16061267853,53.68,0.036,7.37e-09,486000000.0,72.0,25
37.0,22.1764163971,54.56,0.036,7.37e-09,486000000.0,72.0,25
38.0,22.19912014008,55.44,0.036,7.37e-09,486000000.0,72.0,25
39.0,22.22182388306,56.32,0.036,7.37e-09,486000000.0,72.0,25
