time,T_int,T_ext_1,Film_Coef,Density,Specific_Heat,Thermal_Conductivity,Radius
1.0,21.9750766754,22.88,0.036,7.27e-09,286000000.0,72.0,25
2.0,21.9551486969,23.76,0.036,7.27e-09,286000000.0,72.0,25
3.0,21.9385757446,24.64,0.036,7.27e-09,286000000.0,72.0,25
4.0,21.92612361905,25.52,0.036,7.27e-09,286000000.0,72.0,25
5.0,21.9136714935,26.4,0.036,7.27e-09,286000000.0,72.0,25
6.0,21.906719684575,27.28,0.036,7.27e-09,286000000.0,72.0,25
7.0,21.89976787565,28.16,0.036,7.27e-09,286000000.0,72.0,25
8.0,21.892816066725,29.04,0.036,7.27e-09,286000000.0,72.0,25
9.0,21.8858642578,29.92,0.036,7.27e-09,286000000.0,72.0,25
10.0,21.8877546787125,30.8,0.036,7.27e-09,286000000.0,72.0,25
11.0,21.889645099625,31.68,0.036,7.27e-09,286000000.0,72.0,25
12.0,21.8915355205375,32.56,0.036,7.27e-09,286000000.0,72.0,25
13.0,21.89342594145,33.44,0.036,7.27e-09,286000000.0,72.0,25
14.0,21.8953163623625,34.32,0.036,7.27e-09,286000000.0,72.0,25
15.0,21.897206783275,35.2,0.036,7.27e-09,286000000.0,72.0,25
16.0,21.8990972041875,36.08,0.036,7.27e-09,286000000.0,72.0,25
17.0,21.9009876251,36.96,0.036,7.27e-09,286000000.0,72.0,25
18.0,21.91318054197,37.84,0.036,7.27e-09,286000000.0,72.0,25
19.0,21.92537345884,38.72,0.036,7.27e-09,286000000.0,72.0,25
20.0,21.93756637571,39.6,0.036,7.27e-09,286000000.0,72.0,25
21.0,21.94975929258,40.48,0.036,7.27e-09,286000000.0,72.0,25
22.0,21.96195220945,41.36,0.036,7.27e-09,286000000.0,72.0,25
23.0,21.97414512632,42.24,0.036,7.27e-09,286000000.0,72.0,25
24.0,21.98633804319,43.12,0.036,7.27e-09,286000000.0,72.0,25
25.0,21.99853096006,44.0,0.036,7.27e-09,286000000.0,72.0,25
26.0,22.01072387693,44.88,0.036,7.27e-09,286000000.0,72.0,25
27.0,22.0229167938,45.76,0.036,7.27e-09,286000000.0,72.0,25
28.0,22.04519729612,46.64,0.036,7.27e-09,286000000.0,72.0,25
29.0,22.06747779844,47.52,0.036,7.27e-09,286000000.0,72.0,25
30.0,22.08975830076,48.4,0.036,7.27e-09,286000000.0,72.0,25
31.0,22.11203880308,49.28,0.036,7.27e-09,286000000.0,72.0,25
32.0,22.1343193054,50.16,0.036,7.27e-09,286000000.0,72.0,25
33.0,22.15659980772,51.04,0.036,7.27e-09,286000000.0,72.0,25
34.0,22.17888031004,51.92,0.036,7.27e-09,286000000.0,72.0,25
35.0,22.20116081236,52.8,0.036,7.27e-09,286000000.0,72.0,25
36.0,22.22344131468,53.68,0.036,7.27e-09,286000000.0,72.0,25
37.0,22.245721817,54.56,0.036,7.27e-09,286000000.0,72.0,25
38.0,22.27800064085,55.44,0.036,7.27e-09,286000000.0,72.0,25
39.0,22.3102794647,56.32,0.036,7.27e-09,286000000.0,72.0,25
40.0,22.34255828855,57.2,0.036,7.27e-09,286000000.0,72.0,25
41.0,22.3748371124,58.08,0.036,7.27e-09,286000000.0,72.0,25
42.0,22.40711593625,58.96,0.036,7.27e-09,286000000.0,72.0,25
43.0,22.4393947601,59.84,0.036,7.27e-09,286000000.0,72.0,25
44.0,22.47167358395,60.72,0.036,7.27e-09,286000000.0,72.0,25
45.0,22.5039524078,61.6,0.036,7.27e-09,286000000.0,72.0,25
46.0,22.53623123165,62.48,0.036,7.27e-09,286000000.0,72.0,25
47.0,22.5685100555,63.36,0.036,7.27e-09,286000000.0,72.0,25
48.0,22.601924324,64.24,0.036,7.27e-09,286000000.0,72.0,25
