time,T_int,T_ext_1,Film_Coef,Density,Specific_Heat,Thermal_Conductivity,Radius
1.0,21.9815750122,22.88,0.036,7.77e-09,386000000.0,112.0,15
2.0,21.9669570923,23.76,0.036,7.77e-09,386000000.0,112.0,15
3.0,21.9547748566,24.64,0.036,7.77e-09,386000000.0,112.0,15
4.0,21.945520401,25.52,0.036,7.77e-09,386000000.0,112.0,15
5.0,21.9362659454,26.4,0.036,7.77e-09,386000000.0,112.0,15
6.0,21.9309802055,27.28,0.036,7.77e-09,386000000.0,112.0,15
7.0,21.9256944656,28.16,0.036,7.77e-09,386000000.0,112.0,15
8.0,21.9204087257,29.04,0.036,7.77e-09,386000000.0,112.0,15
9.0,21.9151229858,29.92,0.036,7.77e-09,386000000.0,112.0,15
10.0,21.9163980483625,30.8,0.036,7.77e-09,386000000.0,112.0,15
11.0,21.917673110925,31.68,0.036,7.77e-09,386000000.0,112.0,15
12.0,21.9189481734875,32.56,0.036,7.77e-09,386000000.0,112.0,15
13.0,21.92022323605,33.44,0.036,7.77e-09,386000000.0,112.0,15
14.0,21.9214982986125,34.32,0.036,7.77e-09,386000000.0,112.0,15
15.0,21.922773361175,35.2,0.036,7.77e-09,386000000.0,112.0,15
16.0,21.9240484237375,36.08,0.036,7.77e-09,386000000.0,112.0,15
17.0,21.9253234863,36.96,0.036,7.77e-09,386000000.0,112.0,15
18.0,21.93437080381,37.84,0.036,7.77e-09,386000000.0,112.0,15
19.0,21.94341812132,38.72,0.036,7.77e-09,386000000.0,112.0,15
20.0,21.95246543883,39.6,0.036,7.77e-09,386000000.0,112.0,15
21.0,21.96151275634,40.48,0.036,7.77e-09,386000000.0,112.0,15
22.0,21.97056007385,41.36,0.036,7.77e-09,386000000.0,112.0,15
23.0,21.97960739136,42.24,0.036,7.77e-09,386000000.0,112.0,15
24.0,21.98865470887,43.12,0.036,7.77e-09,386000000.0,112.0,15
25.0,21.99770202638,44.0,0.036,7.77e-09,386000000.0,112.0,15
26.0,22.00674934389,44.88,0.036,7.77e-09,386000000.0,112.0,15
27.0,22.0157966614,45.76,0.036,7.77e-09,386000000.0,112.0,15
28.0,22.03251228335,46.64,0.036,7.77e-09,386000000.0,112.0,15
29.0,22.0492279053,47.52,0.036,7.77e-09,386000000.0,112.0,15
30.0,22.06594352725,48.4,0.036,7.77e-09,386000000.0,112.0,15
31.0,22.0826591492,49.28,0.036,7.77e-09,386000000.0,112.0,15
32.0,22.09937477115,50.16,0.036,7.77e-09,386000000.0,112.0,15
33.0,22.1160903931,51.04,0.036,7.77e-09,386000000.0,112.0,15
34.0,22.13280601505,51.92,0.036,7.77e-09,386000000.0,112.0,15
35.0,22.149521637,52.8,0.036,7.77e-09,386000000.0,112.0,15
36.0,22.16623725895,53.68,0.036,7.77e-09,386000000.0,112.0,15
37.0,22.1829528809,54.56,0.036,7.77e-09,386000000.0,112.0,15
38.0,22.20729770664,55.44,0.036,7.77e-09,386000000.0,112.0,15
39.0,22.23164253238,56.32,0.036,7.77e-09,386000000.0,112.0,15
40.0,22.25598735812,57.2,0.036,7.77e-09,386000000.0,112.0,15
41.0,22.28033218386,58.08,0.036,7.77e-09,386000000.0,112.0,15
42.0,22.3046770096,58.96,0.036,7.77e-09,386000000.0,112.0,15
43.0,22.32902183534,59.84,0.036,7.77e-09,386000000.0,112.0,15
44.0,22.35336666108,60.72,0.036,7.77e-09,386000000.0,112.0,15
45.0,22.37771148682,61.6,0.036,7.77e-09,386000000.0,112.0,15
46.0,22.40205631256,62.48,0.036,7.77e-09,386000000.0,112.0,15
47.0,22.4264011383,63.36,0.036,7.77e-09,386000000.0,112.0,15
48.0,22.45177345275,64.24,0.036,7.77e-09,386000000.0,112.0,15
49.0,22.4771457672,65.12,0.036,7.77e-09,386000000.0,112.0,15
50.0,22.50251808165,66.0,0.036,7.77e-09,386000000.0,112.0,15
51.0,22.5278903961,62.94,0.036,7.77e-09,386000000.0,112.0,15
52.0,22.55326271055,62.88,0.036,7.77e-09,386000000.0,112.0,15
53.0,22.578635025,62.82,0.036,7.77e-09,386000000.0,112.0,15
54.0,22.60400733945,62.76,0.036,7.77e-09,386000000.0,112.0,15
