time,T_int,T_ext_1,Film_Coef,Density,Specific_Heat,Thermal_Conductivity,Radius
1.0,21.9873752594,22.88,0.036,7.77e-09,686000000.0,112.0,15
2.0,21.9771270752,23.76,0.036,7.77e-09,686000000.0,112.0,15
3.0,21.968585968,24.64,0.036,7.77e-09,686000000.0,112.0,15
4.0,21.96223831175,25.52,0.036,7.77e-09,686000000.0,112.0,15
5.0,21.9558906555,26.4,0.036,7.77e-09,686000000.0,112.0,15
6.0,21.952438831325,27.28,0.036,7.77e-09,686000000.0,112.0,15
7.0,21.94898700715,28.16,0.036,7.77e-09,686000000.0,112.0,15
8.0,21.945535182975,29.04,0.036,7.77e-09,686000000.0,112.0,15
9.0,21.9420833588,29.92,0.036,7.77e-09,686000000.0,112.0,15
10.0,21.9431307316125,30.8,0.036,7.77e-09,686000000.0,112.0,15
11.0,21.944178104425,31.68,0.036,7.77e-09,686000000.0,112.0,15
12.0,21.9452254772375,32.56,0.036,7.77e-09,686000000.0,112.0,15
13.0,21.94627285005,33.44,0.036,7.77e-09,686000000.0,112.0,15
14.0,21.9473202228625,34.32,0.036,7.77e-09,686000000.0,112.0,15
15.0,21.948367595675,35.2,0.036,7.77e-09,686000000.0,112.0,15
16.0,21.9494149684875,36.08,0.036,7.77e-09,686000000.0,112.0,15
17.0,21.9504623413,36.96,0.036,7.77e-09,686000000.0,112.0,15
18.0,21.95665302276,37.84,0.036,7.77e-09,686000000.0,112.0,15
19.0,21.96284370422,38.72,0.036,7.77e-09,686000000.0,112.0,15
20.0,21.96903438568,39.6,0.036,7.77e-09,686000000.0,112.0,15
21.0,21.97522506714,40.48,0.036,7.77e-09,686000000.0,112.0,15
22.0,21.9814157486,41.36,0.036,7.77e-09,686000000.0,112.0,15
23.0,21.98760643006,42.24,0.036,7.77e-09,686000000.0,112.0,15
24.0,21.99379711152,43.12,0.036,7.77e-09,686000000.0,112.0,15
25.0,21.99998779298,44.0,0.036,7.77e-09,686000000.0,112.0,15
26.0,22.00617847444,44.88,0.036,7.77e-09,686000000.0,112.0,15
27.0,22.0123691559,45.76,0.036,7.77e-09,686000000.0,112.0,15
