time,T_int,T_ext_1,Film_Coef,Density,Specific_Heat,Thermal_Conductivity,Radius
1.0,21.909280777,22.88,0.036,7.87e-09,186000000.0,72.0,15
2.0,21.8375453949,23.76,0.036,7.87e-09,186000000.0,72.0,15
3.0,21.7780056,24.64,0.036,7.87e-09,186000000.0,72.0,15
4.0,21.7331380844,25.52,0.036,7.87e-09,186000000.0,72.0,15
5.0,21.6882705688,26.4,0.036,7.87e-09,186000000.0,72.0,15
6.0,21.6632056236,27.28,0.036,7.87e-09,186000000.0,72.0,15
7.0,21.6381406784,28.16,0.036,7.87e-09,186000000.0,72.0,15
8.0,21.6130757332,29.04,0.036,7.87e-09,186000000.0,72.0,15
9.0,21.588010788,29.92,0.036,7.87e-09,186000000.0,72.0,15
10.0,21.595135211975,30.8,0.036,7.87e-09,186000000.0,72.0,15
11.0,21.60225963595,31.68,0.036,7.87e-09,186000000.0,72.0,15
12.0,21.609384059925,32.56,0.036,7.87e-09,186000000.0,72.0,15
13.0,21.6165084839,33.44,0.036,7.87e-09,186000000.0,72.0,15
14.0,21.623632907875,34.32,0.036,7.87e-09,186000000.0,72.0,15
15.0,21.63075733185,35.2,0.036,7.87e-09,186000000.0,72.0,15
16.0,21.637881755825,36.08,0.036,7.87e-09,186000000.0,72.0,15
17.0,21.6450061798,36.96,0.036,7.87e-09,186000000.0,72.0,15
18.0,21.68939113616,37.84,0.036,7.87e-09,186000000.0,72.0,15
19.0,21.73377609252,38.72,0.036,7.87e-09,186000000.0,72.0,15
20.0,21.77816104888,39.6,0.036,7.87e-09,186000000.0,72.0,15
21.0,21.82254600524,40.48,0.036,7.87e-09,186000000.0,72.0,15
22.0,21.8669309616,41.36,0.036,7.87e-09,186000000.0,72.0,15
23.0,21.91131591796,42.24,0.036,7.87e-09,186000000.0,72.0,15
24.0,21.95570087432,43.12,0.036,7.87e-09,186000000.0,72.0,15
25.0,22.00008583068,44.0,0.036,7.87e-09,186000000.0,72.0,15
26.0,22.04447078704,44.88,0.036,7.87e-09,186000000.0,72.0,15
27.0,22.0888557434,45.76,0.036,7.87e-09,186000000.0,72.0,15
28.0,22.16916160583,46.64,0.036,7.87e-09,186000000.0,72.0,15
29.0,22.24946746826,47.52,0.036,7.87e-09,186000000.0,72.0,15
30.0,22.32977333069,48.4,0.036,7.87e-09,186000000.0,72.0,15
31.0,22.41007919312,49.28,0.036,7.87e-09,186000000.0,72.0,15
