time,T_int,T_ext_1,Film_Coef,Density,Specific_Heat,Thermal_Conductivity,Radius
1.0,21.9994697571,22.88,0.036,2.61e-09,871000000.0,205.0,25
2.0,21.9986019135,23.76,0.036,2.61e-09,871000000.0,205.0,25
3.0,21.9972934723,24.64,0.036,2.61e-09,871000000.0,205.0,25
4.0,21.9949798584,25.52,0.036,2.61e-09,871000000.0,205.0,25
5.0,21.9926662445,26.4,0.036,2.61e-09,871000000.0,205.0,25
6.0,21.989439010625,27.28,0.036,2.61e-09,871000000.0,205.0,25
7.0,21.98621177675,28.16,0.036,2.61e-09,871000000.0,205.0,25
8.0,21.982984542875,29.04,0.036,2.61e-09,871000000.0,205.0,25
9.0,21.979757309,29.92,0.036,2.61e-09,871000000.0,205.0,25
10.0,21.977911710775,30.8,0.036,2.61e-09,871000000.0,205.0,25
11.0,21.97606611255,31.68,0.036,2.61e-09,871000000.0,205.0,25
12.0,21.974220514325,32.56,0.036,2.61e-09,871000000.0,205.0,25
13.0,21.9723749161,33.44,0.036,2.61e-09,871000000.0,205.0,25
14.0,21.970529317875,34.32,0.036,2.61e-09,871000000.0,205.0,25
15.0,21.96868371965,35.2,0.036,2.61e-09,871000000.0,205.0,25
16.0,21.966838121425,36.08,0.036,2.61e-09,871000000.0,205.0,25
17.0,21.9649925232,36.96,0.036,2.61e-09,871000000.0,205.0,25
18.0,21.96690082551,37.84,0.036,2.61e-09,871000000.0,205.0,25
19.0,21.96880912782,38.72,0.036,2.61e-09,871000000.0,205.0,25
20.0,21.97071743013,39.6,0.036,2.61e-09,871000000.0,205.0,25
21.0,21.97262573244,40.48,0.036,2.61e-09,871000000.0,205.0,25
22.0,21.97453403475,41.36,0.036,2.61e-09,871000000.0,205.0,25
23.0,21.97644233706,42.24,0.036,2.61e-09,871000000.0,205.0,25
24.0,21.97835063937,43.12,0.036,2.61e-09,871000000.0,205.0,25
25.0,21.98025894168,44.0,0.036,2.61e-09,871000000.0,205.0,25
26.0,21.98216724399,44.88,0.036,2.61e-09,871000000.0,205.0,25
27.0,21.9840755463,45.76,0.036,2.61e-09,871000000.0,205.0,25
28.0,21.99047203067,46.64,0.036,2.61e-09,871000000.0,205.0,25
29.0,21.99686851504,47.52,0.036,2.61e-09,871000000.0,205.0,25
30.0,22.00326499941,48.4,0.036,2.61e-09,871000000.0,205.0,25
31.0,22.00966148378,49.28,0.036,2.61e-09,871000000.0,205.0,25
32.0,22.01605796815,50.16,0.036,2.61e-09,871000000.0,205.0,25
33.0,22.02245445252,51.04,0.036,2.61e-09,871000000.0,205.0,25
34.0,22.02885093689,51.92,0.036,2.61e-09,871000000.0,205.0,25
35.0,22.03524742126,52.8,0.036,2.61e-09,871000000.0,205.0,25
36.0,22.04164390563,53.68,0.036,2.61e-09,871000000.0,205.0,25
37.0,22.04804039,54.56,0.036,2.61e-09,871000000.0,205.0,25
38.0,22.05918712615,55.44,0.036,2.61e-09,871000000.0,205.0,25
39.0,22.0703338623,56.32,0.036,2.61e-09,871000000.0,205.0,25
40.0,22.08148059845,57.2,0.036,2.61e-09,871000000.0,205.0,25
41.0,22.0926273346,58.08,0.036,2.61e-09,871000000.0,205.0,25
42.0,22.10377407075,58.96,0.036,2.61e-09,871000000.0,205.0,25
43.0,22.1149208069,59.84,0.036,2.61e-09,871000000.0,205.0,25
44.0,22.12606754305,60.72,0.036,2.61e-09,871000000.0,205.0,25
45.0,22.1372142792,61.6,0.036,2.61e-09,871000000.0,205.0,25
