time,T_int,T_ext_1,Film_Coef,Density,Specific_Heat,Thermal_Conductivity,Radius
1.0,21.9994220734,22.88,0.036,2.61e-09,1171000000.0,285.0,25
2.0,21.9982891083,23.76,0.036,2.61e-09,1171000000.0,285.0,25
3.0,21.9965362549,24.64,0.036,2.61e-09,1171000000.0,285.0,25
4.0,21.99393463135,25.52,0.036,2.61e-09,1171000000.0,285.0,25
5.0,21.9913330078,26.4,0.036,2.61e-09,1171000000.0,285.0,25
6.0,21.988565921775,27.28,0.036,2.61e-09,1171000000.0,285.0,25
7.0,21.98579883575,28.16,0.036,2.61e-09,1171000000.0,285.0,25
8.0,21.983031749725,29.04,0.036,2.61e-09,1171000000.0,285.0,25
9.0,21.9802646637,29.92,0.036,2.61e-09,1171000000.0,285.0,25
10.0,21.9792551994375,30.8,0.036,2.61e-09,1171000000.0,285.0,25
11.0,21.978245735175,31.68,0.036,2.61e-09,1171000000.0,285.0,25
12.0,21.9772362709125,32.56,0.036,2.61e-09,1171000000.0,285.0,25
13.0,21.97622680665,33.44,0.036,2.61e-09,1171000000.0,285.0,25
14.0,21.9752173423875,34.32,0.036,2.61e-09,1171000000.0,285.0,25
15.0,21.974207878125,35.2,0.036,2.61e-09,1171000000.0,285.0,25
16.0,21.9731984138625,36.08,0.036,2.61e-09,1171000000.0,285.0,25
17.0,21.9721889496,36.96,0.036,2.61e-09,1171000000.0,285.0,25
18.0,21.97419643403,37.84,0.036,2.61e-09,1171000000.0,285.0,25
19.0,21.97620391846,38.72,0.036,2.61e-09,1171000000.0,285.0,25
20.0,21.97821140289,39.6,0.036,2.61e-09,1171000000.0,285.0,25
21.0,21.98021888732,40.48,0.036,2.61e-09,1171000000.0,285.0,25
22.0,21.98222637175,41.36,0.036,2.61e-09,1171000000.0,285.0,25
23.0,21.98423385618,42.24,0.036,2.61e-09,1171000000.0,285.0,25
24.0,21.98624134061,43.12,0.036,2.61e-09,1171000000.0,285.0,25
25.0,21.98824882504,44.0,0.036,2.61e-09,1171000000.0,285.0,25
26.0,21.99025630947,44.88,0.036,2.61e-09,1171000000.0,285.0,25
27.0,21.9922637939,45.76,0.036,2.61e-09,1171000000.0,285.0,25
28.0,21.9974956512,46.64,0.036,2.61e-09,1171000000.0,285.0,25
29.0,22.0027275085,47.52,0.036,2.61e-09,1171000000.0,285.0,25
30.0,22.0079593658,48.4,0.036,2.61e-09,1171000000.0,285.0,25
31.0,22.0131912231,49.28,0.036,2.61e-09,1171000000.0,285.0,25
32.0,22.0184230804,50.16,0.036,2.61e-09,1171000000.0,285.0,25
33.0,22.0236549377,51.04,0.036,2.61e-09,1171000000.0,285.0,25
34.0,22.028886795,51.92,0.036,2.61e-09,1171000000.0,285.0,25
35.0,22.0341186523,52.8,0.036,2.61e-09,1171000000.0,285.0,25
36.0,22.0393505096,53.68,0.036,2.61e-09,1171000000.0,285.0,25
37.0,22.0445823669,54.56,0.036,2.61e-09,1171000000.0,285.0,25
38.0,22.05309352871,55.44,0.036,2.61e-09,1171000000.0,285.0,25
39.0,22.06160469052,56.32,0.036,2.61e-09,1171000000.0,285.0,25
40.0,22.07011585233,57.2,0.036,2.61e-09,1171000000.0,285.0,25
41.0,22.07862701414,58.08,0.036,2.61e-09,1171000000.0,285.0,25
42.0,22.08713817595,58.96,0.036,2.61e-09,1171000000.0,285.0,25
43.0,22.09564933776,59.84,0.036,2.61e-09,1171000000.0,285.0,25
44.0,22.10416049957,60.72,0.036,2.61e-09,1171000000.0,285.0,25
45.0,22.11267166138,61.6,0.036,2.61e-09,1171000000.0,285.0,25
46.0,22.12118282319,62.48,0.036,2.61e-09,1171000000.0,285.0,25
47.0,22.129693985,63.36,0.036,2.61e-09,1171000000.0,285.0,25
48.0,22.13981475831,64.24,0.036,2.61e-09,1171000000.0,285.0,25
49.0,22.14993553162,65.12,0.036,2.61e-09,1171000000.0,285.0,25
50.0,22.16005630493,66.0,0.036,2.61e-09,1171000000.0,285.0,25
51.0,22.17017707824,62.94,0.036,2.61e-09,1171000000.0,285.0,25
52.0,22.18029785155,62.88,0.036,2.61e-09,1171000000.0,285.0,25
53.0,22.19041862486,62.82,0.036,2.61e-09,1171000000.0,285.0,25
54.0,22.20053939817,62.76,0.036,2.61e-09,1171000000.0,285.0,25
55.0,22.21066017148,62.7,0.036,2.61e-09,1171000000.0,285.0,25
56.0,22.22078094479,62.64,0.036,2.61e-09,1171000000.0,285.0,25
57.0,22.2309017181,62.58,0.036,2.61e-09,1171000000.0,285.0,25
58.0,22.24130477902,62.52,0.036,2.61e-09,1171000000.0,285.0,25
59.0,22.25170783994,62.46,0.036,2.61e-09,1171000000.0,285.0,25
60.0,22.26211090086,62.4,0.036,2.61e-09,1171000000.0,285.0,25
61.0,22.27251396178,62.34,0.036,2.61e-09,1171000000.0,285.0,25
62.0,22.2829170227,62.28,0.036,2.61e-09,1171000000.0,285.0,25
63.0,22.29332008362,62.22,0.036,2.61e-09,1171000000.0,285.0,25
64.0,22.30372314454,62.16,0.036,2.61e-09,1171000000.0,285.0,25
65.0,22.31412620546,62.1,0.036,2.61e-09,1171000000.0,285.0,25
66.0,22.32452926638,62.04,0.036,2.61e-09,1171000000.0,285.0,25
67.0,22.3349323273,61.98,0.036,2.61e-09,1171000000.0,285.0,25
68.0,22.3451843262,61.92,0.036,2.61e-09,1171000000.0,285.0,25
69.0,22.3554363251,61.86,0.036,2.61e-09,1171000000.0,285.0,25
70.0,22.365688324,61.8,0.036,2.61e-09,1171000000.0,285.0,25
71.0,22.3759403229,61.74,0.036,2.61e-09,1171000000.0,285.0,25
72.0,22.3861923218,61.68,0.036,2.61e-09,1171000000.0,285.0,25
73.0,22.3964443207,61.62,0.036,2.61e-09,1171000000.0,285.0,25
74.0,22.4066963196,61.56,0.036,2.61e-09,1171000000.0,285.0,25
75.0,22.4169483185,61.5,0.036,2.61e-09,1171000000.0,285.0,25
76.0,22.4272003174,61.44,0.036,2.61e-09,1171000000.0,285.0,25
77.0,22.4374523163,61.38,0.036,2.61e-09,1171000000.0,285.0,25
78.0,22.44743156435,61.32,0.036,2.61e-09,1171000000.0,285.0,25
79.0,22.4574108124,61.26,0.036,2.61e-09,1171000000.0,285.0,25
80.0,22.46739006045,61.2,0.036,2.61e-09,1171000000.0,285.0,25
81.0,22.4773693085,61.14,0.036,2.61e-09,1171000000.0,285.0,25
82.0,22.48734855655,61.08,0.036,2.61e-09,1171000000.0,285.0,25
83.0,22.4973278046,61.02,0.036,2.61e-09,1171000000.0,285.0,25
84.0,22.50730705265,60.96,0.036,2.61e-09,1171000000.0,285.0,25
85.0,22.5172863007,60.9,0.036,2.61e-09,1171000000.0,285.0,25
86.0,22.52726554875,60.84,0.036,2.61e-09,1171000000.0,285.0,25
87.0,22.5372447968,60.78,0.036,2.61e-09,1171000000.0,285.0,25
88.0,22.54691715245,60.72,0.036,2.61e-09,1171000000.0,285.0,25
89.0,22.5565895081,60.66,0.036,2.61e-09,1171000000.0,285.0,25
90.0,22.56626186375,60.6,0.036,2.61e-09,1171000000.0,285.0,25
91.0,22.5759342194,60.54,0.036,2.61e-09,1171000000.0,285.0,25
92.0,22.58560657505,60.48,0.036,2.61e-09,1171000000.0,285.0,25
93.0,22.5952789307,60.42,0.036,2.61e-09,1171000000.0,285.0,25
