time,T_int,T_ext_1,Film_Coef,Density,Specific_Heat,Thermal_Conductivity,Radius
1.0,21.9948787689,22.88,0.036,2.71e-09,571000000.0,285.0,25
2.0,21.9858474731,23.76,0.036,2.71e-09,571000000.0,285.0,25
3.0,21.9746627808,24.64,0.036,2.71e-09,571000000.0,285.0,25
4.0,21.96306419375,25.52,0.036,2.71e-09,571000000.0,285.0,25
5.0,21.9514656067,26.4,0.036,2.71e-09,571000000.0,285.0,25
6.0,21.9427380562,27.28,0.036,2.71e-09,571000000.0,285.0,25
7.0,21.9340105057,28.16,0.036,2.71e-09,571000000.0,285.0,25
8.0,21.9252829552,29.04,0.036,2.71e-09,571000000.0,285.0,25
9.0,21.9165554047,29.92,0.036,2.71e-09,571000000.0,285.0,25
10.0,21.915441989925,30.8,0.036,2.71e-09,571000000.0,285.0,25
11.0,21.91432857515,31.68,0.036,2.71e-09,571000000.0,285.0,25
12.0,21.913215160375,32.56,0.036,2.71e-09,571000000.0,285.0,25
13.0,21.9121017456,33.44,0.036,2.71e-09,571000000.0,285.0,25
14.0,21.910988330825,34.32,0.036,2.71e-09,571000000.0,285.0,25
15.0,21.90987491605,35.2,0.036,2.71e-09,571000000.0,285.0,25
16.0,21.908761501275,36.08,0.036,2.71e-09,571000000.0,285.0,25
17.0,21.9076480865,36.96,0.036,2.71e-09,571000000.0,285.0,25
18.0,21.91635036464,37.84,0.036,2.71e-09,571000000.0,285.0,25
19.0,21.92505264278,38.72,0.036,2.71e-09,571000000.0,285.0,25
20.0,21.93375492092,39.6,0.036,2.71e-09,571000000.0,285.0,25
21.0,21.94245719906,40.48,0.036,2.71e-09,571000000.0,285.0,25
22.0,21.9511594772,41.36,0.036,2.71e-09,571000000.0,285.0,25
23.0,21.95986175534,42.24,0.036,2.71e-09,571000000.0,285.0,25
24.0,21.96856403348,43.12,0.036,2.71e-09,571000000.0,285.0,25
25.0,21.97726631162,44.0,0.036,2.71e-09,571000000.0,285.0,25
26.0,21.98596858976,44.88,0.036,2.71e-09,571000000.0,285.0,25
27.0,21.9946708679,45.76,0.036,2.71e-09,571000000.0,285.0,25
28.0,22.01317653654,46.64,0.036,2.71e-09,571000000.0,285.0,25
29.0,22.03168220518,47.52,0.036,2.71e-09,571000000.0,285.0,25
30.0,22.05018787382,48.4,0.036,2.71e-09,571000000.0,285.0,25
31.0,22.06869354246,49.28,0.036,2.71e-09,571000000.0,285.0,25
32.0,22.0871992111,50.16,0.036,2.71e-09,571000000.0,285.0,25
33.0,22.10570487974,51.04,0.036,2.71e-09,571000000.0,285.0,25
34.0,22.12421054838,51.92,0.036,2.71e-09,571000000.0,285.0,25
35.0,22.14271621702,52.8,0.036,2.71e-09,571000000.0,285.0,25
36.0,22.16122188566,53.68,0.036,2.71e-09,571000000.0,285.0,25
37.0,22.1797275543,54.56,0.036,2.71e-09,571000000.0,285.0,25
38.0,22.20797805784,55.44,0.036,2.71e-09,571000000.0,285.0,25
39.0,22.23622856138,56.32,0.036,2.71e-09,571000000.0,285.0,25
40.0,22.26447906492,57.2,0.036,2.71e-09,571000000.0,285.0,25
41.0,22.29272956846,58.08,0.036,2.71e-09,571000000.0,285.0,25
42.0,22.320980072,58.96,0.036,2.71e-09,571000000.0,285.0,25
43.0,22.34923057554,59.84,0.036,2.71e-09,571000000.0,285.0,25
44.0,22.37748107908,60.72,0.036,2.71e-09,571000000.0,285.0,25
45.0,22.40573158262,61.6,0.036,2.71e-09,571000000.0,285.0,25
46.0,22.43398208616,62.48,0.036,2.71e-09,571000000.0,285.0,25
47.0,22.4622325897,63.36,0.036,2.71e-09,571000000.0,285.0,25
48.0,22.49367542265,64.24,0.036,2.71e-09,571000000.0,285.0,25
49.0,22.5251182556,65.12,0.036,2.71e-09,571000000.0,285.0,25
50.0,22.55656108855,66.0,0.036,2.71e-09,571000000.0,285.0,25
51.0,22.5880039215,62.94,0.036,2.71e-09,571000000.0,285.0,25
52.0,22.61944675445,62.88,0.036,2.71e-09,571000000.0,285.0,25
53.0,22.6508895874,62.82,0.036,2.71e-09,571000000.0,285.0,25
54.0,22.68233242035,62.76,0.036,2.71e-09,571000000.0,285.0,25
55.0,22.7137752533,62.7,0.036,2.71e-09,571000000.0,285.0,25
56.0,22.74521808625,62.64,0.036,2.71e-09,571000000.0,285.0,25
57.0,22.7766609192,62.58,0.036,2.71e-09,571000000.0,285.0,25
58.0,22.80756359101,62.52,0.036,2.71e-09,571000000.0,285.0,25
59.0,22.83846626282,62.46,0.036,2.71e-09,571000000.0,285.0,25
60.0,22.86936893463,62.4,0.036,2.71e-09,571000000.0,285.0,25
61.0,22.90027160644,62.34,0.036,2.71e-09,571000000.0,285.0,25
62.0,22.93117427825,62.28,0.036,2.71e-09,571000000.0,285.0,25
63.0,22.96207695006,62.22,0.036,2.71e-09,571000000.0,285.0,25
64.0,22.99297962187,62.16,0.036,2.71e-09,571000000.0,285.0,25
65.0,23.02388229368,62.1,0.036,2.71e-09,571000000.0,285.0,25
66.0,23.05478496549,62.04,0.036,2.71e-09,571000000.0,285.0,25
67.0,23.0856876373,61.98,0.036,2.71e-09,571000000.0,285.0,25
68.0,23.11554107663,61.92,0.036,2.71e-09,571000000.0,285.0,25
69.0,23.14539451596,61.86,0.036,2.71e-09,571000000.0,285.0,25
70.0,23.17524795529,61.8,0.036,2.71e-09,571000000.0,285.0,25
71.0,23.20510139462,61.74,0.036,2.71e-09,571000000.0,285.0,25
72.0,23.23495483395,61.68,0.036,2.71e-09,571000000.0,285.0,25
73.0,23.26480827328,61.62,0.036,2.71e-09,571000000.0,285.0,25
74.0,23.29466171261,61.56,0.036,2.71e-09,571000000.0,285.0,25
75.0,23.32451515194,61.5,0.036,2.71e-09,571000000.0,285.0,25
76.0,23.35436859127,61.44,0.036,2.71e-09,571000000.0,285.0,25
77.0,23.3842220306,61.38,0.036,2.71e-09,571000000.0,285.0,25
78.0,23.41296730038,61.32,0.036,2.71e-09,571000000.0,285.0,25
79.0,23.44171257016,61.26,0.036,2.71e-09,571000000.0,285.0,25
80.0,23.47045783994,61.2,0.036,2.71e-09,571000000.0,285.0,25
81.0,23.49920310972,61.14,0.036,2.71e-09,571000000.0,285.0,25
82.0,23.5279483795,61.08,0.036,2.71e-09,571000000.0,285.0,25
83.0,23.55669364928,61.02,0.036,2.71e-09,571000000.0,285.0,25
84.0,23.58543891906,60.96,0.036,2.71e-09,571000000.0,285.0,25
85.0,23.61418418884,60.9,0.036,2.71e-09,571000000.0,285.0,25
86.0,23.64292945862,60.84,0.036,2.71e-09,571000000.0,285.0,25
87.0,23.6716747284,60.78,0.036,2.71e-09,571000000.0,285.0,25
88.0,23.6993095398,60.72,0.036,2.71e-09,571000000.0,285.0,25
89.0,23.7269443512,60.66,0.036,2.71e-09,571000000.0,285.0,25
90.0,23.7545791626,60.6,0.036,2.71e-09,571000000.0,285.0,25
91.0,23.782213974,60.54,0.036,2.71e-09,571000000.0,285.0,25
