time,T_int,T_ext_1,Film_Coef,Density,Specific_Heat,Thermal_Conductivity,Radius
1.0,21.9994926453,22.88,0.036,2.71e-09,1221000000.0,285.0,25
2.0,21.9985084534,23.76,0.036,2.71e-09,1221000000.0,285.0,25
3.0,21.9969768524,24.64,0.036,2.71e-09,1221000000.0,285.0,25
4.0,21.99465084075,25.52,0.036,2.71e-09,1221000000.0,285.0,25
5.0,21.9923248291,26.4,0.036,2.71e-09,1221000000.0,285.0,25
6.0,21.9897761345,27.28,0.036,2.71e-09,1221000000.0,285.0,25
7.0,21.9872274399,28.16,0.036,2.71e-09,1221000000.0,285.0,25
8.0,21.9846787453,29.04,0.036,2.71e-09,1221000000.0,285.0,25
9.0,21.9821300507,29.92,0.036,2.71e-09,1221000000.0,285.0,25
10.0,21.981149435075,30.8,0.036,2.71e-09,1221000000.0,285.0,25
11.0,21.98016881945,31.68,0.036,2.71e-09,1221000000.0,285.0,25
12.0,21.979188203825,32.56,0.036,2.71e-09,1221000000.0,285.0,25
13.0,21.9782075882,33.44,0.036,2.71e-09,1221000000.0,285.0,25
14.0,21.977226972575,34.32,0.036,2.71e-09,1221000000.0,285.0,25
15.0,21.97624635695,35.2,0.036,2.71e-09,1221000000.0,285.0,25
16.0,21.975265741325,36.08,0.036,2.71e-09,1221000000.0,285.0,25
17.0,21.9742851257,36.96,0.036,2.71e-09,1221000000.0,285.0,25
18.0,21.97609500882,37.84,0.036,2.71e-09,1221000000.0,285.0,25
19.0,21.97790489194,38.72,0.036,2.71e-09,1221000000.0,285.0,25
20.0,21.97971477506,39.6,0.036,2.71e-09,1221000000.0,285.0,25
21.0,21.98152465818,40.48,0.036,2.71e-09,1221000000.0,285.0,25
22.0,21.9833345413,41.36,0.036,2.71e-09,1221000000.0,285.0,25
23.0,21.98514442442,42.24,0.036,2.71e-09,1221000000.0,285.0,25
24.0,21.98695430754,43.12,0.036,2.71e-09,1221000000.0,285.0,25
25.0,21.98876419066,44.0,0.036,2.71e-09,1221000000.0,285.0,25
26.0,21.99057407378,44.88,0.036,2.71e-09,1221000000.0,285.0,25
27.0,21.9923839569,45.76,0.036,2.71e-09,1221000000.0,285.0,25
28.0,21.99720363616,46.64,0.036,2.71e-09,1221000000.0,285.0,25
29.0,22.00202331542,47.52,0.036,2.71e-09,1221000000.0,285.0,25
30.0,22.00684299468,48.4,0.036,2.71e-09,1221000000.0,285.0,25
31.0,22.01166267394,49.28,0.036,2.71e-09,1221000000.0,285.0,25
32.0,22.0164823532,50.16,0.036,2.71e-09,1221000000.0,285.0,25
33.0,22.02130203246,51.04,0.036,2.71e-09,1221000000.0,285.0,25
34.0,22.02612171172,51.92,0.036,2.71e-09,1221000000.0,285.0,25
35.0,22.03094139098,52.8,0.036,2.71e-09,1221000000.0,285.0,25
36.0,22.03576107024,53.68,0.036,2.71e-09,1221000000.0,285.0,25
37.0,22.0405807495,54.56,0.036,2.71e-09,1221000000.0,285.0,25
38.0,22.04847087859,55.44,0.036,2.71e-09,1221000000.0,285.0,25
39.0,22.05636100768,56.32,0.036,2.71e-09,1221000000.0,285.0,25
40.0,22.06425113677,57.2,0.036,2.71e-09,1221000000.0,285.0,25
41.0,22.07214126586,58.08,0.036,2.71e-09,1221000000.0,285.0,25
42.0,22.08003139495,58.96,0.036,2.71e-09,1221000000.0,285.0,25
43.0,22.08792152404,59.84,0.036,2.71e-09,1221000000.0,285.0,25
44.0,22.09581165313,60.72,0.036,2.71e-09,1221000000.0,285.0,25
45.0,22.10370178222,61.6,0.036,2.71e-09,1221000000.0,285.0,25
46.0,22.11159191131,62.48,0.036,2.71e-09,1221000000.0,285.0,25
47.0,22.1194820404,63.36,0.036,2.71e-09,1221000000.0,285.0,25
48.0,22.12891788482,64.24,0.036,2.71e-09,1221000000.0,285.0,25
49.0,22.13835372924,65.12,0.036,2.71e-09,1221000000.0,285.0,25
50.0,22.14778957366,66.0,0.036,2.71e-09,1221000000.0,285.0,25
51.0,22.15722541808,62.94,0.036,2.71e-09,1221000000.0,285.0,25
52.0,22.1666612625,62.88,0.036,2.71e-09,1221000000.0,285.0,25
53.0,22.17609710692,62.82,0.036,2.71e-09,1221000000.0,285.0,25
54.0,22.18553295134,62.76,0.036,2.71e-09,1221000000.0,285.0,25
55.0,22.19496879576,62.7,0.036,2.71e-09,1221000000.0,285.0,25
56.0,22.20440464018,62.64,0.036,2.71e-09,1221000000.0,285.0,25
57.0,22.2138404846,62.58,0.036,2.71e-09,1221000000.0,285.0,25
58.0,22.22357902525,62.52,0.036,2.71e-09,1221000000.0,285.0,25
59.0,22.2333175659,62.46,0.036,2.71e-09,1221000000.0,285.0,25
60.0,22.24305610655,62.4,0.036,2.71e-09,1221000000.0,285.0,25
61.0,22.2527946472,62.34,0.036,2.71e-09,1221000000.0,285.0,25
62.0,22.26253318785,62.28,0.036,2.71e-09,1221000000.0,285.0,25
63.0,22.2722717285,62.22,0.036,2.71e-09,1221000000.0,285.0,25
64.0,22.28201026915,62.16,0.036,2.71e-09,1221000000.0,285.0,25
65.0,22.2917488098,62.1,0.036,2.71e-09,1221000000.0,285.0,25
66.0,22.30148735045,62.04,0.036,2.71e-09,1221000000.0,285.0,25
67.0,22.3112258911,61.98,0.036,2.71e-09,1221000000.0,285.0,25
68.0,22.32084178923,61.92,0.036,2.71e-09,1221000000.0,285.0,25
69.0,22.33045768736,61.86,0.036,2.71e-09,1221000000.0,285.0,25
