time,T_int,T_ext_1,Film_Coef,Density,Specific_Heat,Thermal_Conductivity,Radius
1.0,21.9723205566,22.88,0.036,7.77e-09,236000000.0,52.0,15
2.0,21.9498538971,23.76,0.036,7.77e-09,236000000.0,52.0,15
3.0,21.9311447144,24.64,0.036,7.77e-09,236000000.0,52.0,15
4.0,21.9172677994,25.52,0.036,7.77e-09,236000000.0,52.0,15
5.0,21.9033908844,26.4,0.036,7.77e-09,236000000.0,52.0,15
6.0,21.895887851725,27.28,0.036,7.77e-09,236000000.0,52.0,15
7.0,21.88838481905,28.16,0.036,7.77e-09,236000000.0,52.0,15
8.0,21.880881786375,29.04,0.036,7.77e-09,236000000.0,52.0,15
9.0,21.8733787537,29.92,0.036,7.77e-09,236000000.0,52.0,15
10.0,21.875734567675,30.8,0.036,7.77e-09,236000000.0,52.0,15
11.0,21.87809038165,31.68,0.036,7.77e-09,236000000.0,52.0,15
12.0,21.880446195625,32.56,0.036,7.77e-09,236000000.0,52.0,15
13.0,21.8828020096,33.44,0.036,7.77e-09,236000000.0,52.0,15
14.0,21.885157823575,34.32,0.036,7.77e-09,236000000.0,52.0,15
15.0,21.88751363755,35.2,0.036,7.77e-09,236000000.0,52.0,15
16.0,21.889869451525,36.08,0.036,7.77e-09,236000000.0,52.0,15
17.0,21.8922252655,36.96,0.036,7.77e-09,236000000.0,52.0,15
18.0,21.90578899383,37.84,0.036,7.77e-09,236000000.0,52.0,15
19.0,21.91935272216,38.72,0.036,7.77e-09,236000000.0,52.0,15
20.0,21.93291645049,39.6,0.036,7.77e-09,236000000.0,52.0,15
21.0,21.94648017882,40.48,0.036,7.77e-09,236000000.0,52.0,15
22.0,21.96004390715,41.36,0.036,7.77e-09,236000000.0,52.0,15
23.0,21.97360763548,42.24,0.036,7.77e-09,236000000.0,52.0,15
24.0,21.98717136381,43.12,0.036,7.77e-09,236000000.0,52.0,15
25.0,22.00073509214,44.0,0.036,7.77e-09,236000000.0,52.0,15
26.0,22.01429882047,44.88,0.036,7.77e-09,236000000.0,52.0,15
27.0,22.0278625488,45.76,0.036,7.77e-09,236000000.0,52.0,15
28.0,22.05227375028,46.64,0.036,7.77e-09,236000000.0,52.0,15
29.0,22.07668495176,47.52,0.036,7.77e-09,236000000.0,52.0,15
30.0,22.10109615324,48.4,0.036,7.77e-09,236000000.0,52.0,15
31.0,22.12550735472,49.28,0.036,7.77e-09,236000000.0,52.0,15
32.0,22.1499185562,50.16,0.036,7.77e-09,236000000.0,52.0,15
33.0,22.17432975768,51.04,0.036,7.77e-09,236000000.0,52.0,15
34.0,22.19874095916,51.92,0.036,7.77e-09,236000000.0,52.0,15
35.0,22.22315216064,52.8,0.036,7.77e-09,236000000.0,52.0,15
36.0,22.24756336212,53.68,0.036,7.77e-09,236000000.0,52.0,15
37.0,22.2719745636,54.56,0.036,7.77e-09,236000000.0,52.0,15
38.0,22.30708179474,55.44,0.036,7.77e-09,236000000.0,52.0,15
