time,T_int,T_ext_1,Film_Coef,Density,Specific_Heat,Thermal_Conductivity,Radius
1.0,21.9850254059,22.88,0.036,7.77e-09,536000000.0,132.0,15
2.0,21.9731197357,23.76,0.036,7.77e-09,536000000.0,132.0,15
3.0,21.9632015228,24.64,0.036,7.77e-09,536000000.0,132.0,15
4.0,21.9556865692,25.52,0.036,7.77e-09,536000000.0,132.0,15
5.0,21.9481716156,26.4,0.036,7.77e-09,536000000.0,132.0,15
6.0,21.94389772415,27.28,0.036,7.77e-09,536000000.0,132.0,15
7.0,21.9396238327,28.16,0.036,7.77e-09,536000000.0,132.0,15
8.0,21.93534994125,29.04,0.036,7.77e-09,536000000.0,132.0,15
9.0,21.9310760498,29.92,0.036,7.77e-09,536000000.0,132.0,15
10.0,21.9321284294125,30.8,0.036,7.77e-09,536000000.0,132.0,15
11.0,21.933180809025,31.68,0.036,7.77e-09,536000000.0,132.0,15
12.0,21.9342331886375,32.56,0.036,7.77e-09,536000000.0,132.0,15
13.0,21.93528556825,33.44,0.036,7.77e-09,536000000.0,132.0,15
14.0,21.9363379478625,34.32,0.036,7.77e-09,536000000.0,132.0,15
15.0,21.937390327475,35.2,0.036,7.77e-09,536000000.0,132.0,15
16.0,21.9384427070875,36.08,0.036,7.77e-09,536000000.0,132.0,15
17.0,21.9394950867,36.96,0.036,7.77e-09,536000000.0,132.0,15
18.0,21.94684009555,37.84,0.036,7.77e-09,536000000.0,132.0,15
19.0,21.9541851044,38.72,0.036,7.77e-09,536000000.0,132.0,15
20.0,21.96153011325,39.6,0.036,7.77e-09,536000000.0,132.0,15
21.0,21.9688751221,40.48,0.036,7.77e-09,536000000.0,132.0,15
22.0,21.97622013095,41.36,0.036,7.77e-09,536000000.0,132.0,15
23.0,21.9835651398,42.24,0.036,7.77e-09,536000000.0,132.0,15
24.0,21.99091014865,43.12,0.036,7.77e-09,536000000.0,132.0,15
25.0,21.9982551575,44.0,0.036,7.77e-09,536000000.0,132.0,15
26.0,22.00560016635,44.88,0.036,7.77e-09,536000000.0,132.0,15
27.0,22.0129451752,45.76,0.036,7.77e-09,536000000.0,132.0,15
28.0,22.02649745944,46.64,0.036,7.77e-09,536000000.0,132.0,15
29.0,22.04004974368,47.52,0.036,7.77e-09,536000000.0,132.0,15
30.0,22.05360202792,48.4,0.036,7.77e-09,536000000.0,132.0,15
31.0,22.06715431216,49.28,0.036,7.77e-09,536000000.0,132.0,15
32.0,22.0807065964,50.16,0.036,7.77e-09,536000000.0,132.0,15
33.0,22.09425888064,51.04,0.036,7.77e-09,536000000.0,132.0,15
34.0,22.10781116488,51.92,0.036,7.77e-09,536000000.0,132.0,15
35.0,22.12136344912,52.8,0.036,7.77e-09,536000000.0,132.0,15
36.0,22.13491573336,53.68,0.036,7.77e-09,536000000.0,132.0,15
37.0,22.1484680176,54.56,0.036,7.77e-09,536000000.0,132.0,15
38.0,22.16820049288,55.44,0.036,7.77e-09,536000000.0,132.0,15
39.0,22.18793296816,56.32,0.036,7.77e-09,536000000.0,132.0,15
40.0,22.20766544344,57.2,0.036,7.77e-09,536000000.0,132.0,15
41.0,22.22739791872,58.08,0.036,7.77e-09,536000000.0,132.0,15
42.0,22.247130394,58.96,0.036,7.77e-09,536000000.0,132.0,15
43.0,22.26686286928,59.84,0.036,7.77e-09,536000000.0,132.0,15
44.0,22.28659534456,60.72,0.036,7.77e-09,536000000.0,132.0,15
45.0,22.30632781984,61.6,0.036,7.77e-09,536000000.0,132.0,15
46.0,22.32606029512,62.48,0.036,7.77e-09,536000000.0,132.0,15
47.0,22.3457927704,63.36,0.036,7.77e-09,536000000.0,132.0,15
48.0,22.36635360719,64.24,0.036,7.77e-09,536000000.0,132.0,15
49.0,22.38691444398,65.12,0.036,7.77e-09,536000000.0,132.0,15
50.0,22.40747528077,66.0,0.036,7.77e-09,536000000.0,132.0,15
