time,T_int,T_ext_1,Film_Coef,Density,Specific_Heat,Thermal_Conductivity,Radius
1.0,21.9822559357,22.88,0.036,7.97e-09,386000000.0,152.0,15
2.0,21.9683132172,23.76,0.036,7.97e-09,386000000.0,152.0,15
3.0,21.9566059113,24.64,0.036,7.97e-09,386000000.0,152.0,15
4.0,21.9475183487,25.52,0.036,7.97e-09,386000000.0,152.0,15
5.0,21.9384307861,26.4,0.036,7.97e-09,386000000.0,152.0,15
6.0,21.933047771425,27.28,0.036,7.97e-09,386000000.0,152.0,15
7.0,21.92766475675,28.16,0.036,7.97e-09,386000000.0,152.0,15
8.0,21.922281742075,29.04,0.036,7.97e-09,386000000.0,152.0,15
9.0,21.9168987274,29.92,0.036,7.97e-09,386000000.0,152.0,15
10.0,21.9179465770625,30.8,0.036,7.97e-09,386000000.0,152.0,15
11.0,21.918994426725,31.68,0.036,7.97e-09,386000000.0,152.0,15
12.0,21.9200422763875,32.56,0.036,7.97e-09,386000000.0,152.0,15
13.0,21.92109012605,33.44,0.036,7.97e-09,386000000.0,152.0,15
14.0,21.9221379757125,34.32,0.036,7.97e-09,386000000.0,152.0,15
15.0,21.923185825375,35.2,0.036,7.97e-09,386000000.0,152.0,15
16.0,21.9242336750375,36.08,0.036,7.97e-09,386000000.0,152.0,15
17.0,21.9252815247,36.96,0.036,7.97e-09,386000000.0,152.0,15
18.0,21.93412551884,37.84,0.036,7.97e-09,386000000.0,152.0,15
19.0,21.94296951298,38.72,0.036,7.97e-09,386000000.0,152.0,15
20.0,21.95181350712,39.6,0.036,7.97e-09,386000000.0,152.0,15
21.0,21.96065750126,40.48,0.036,7.97e-09,386000000.0,152.0,15
22.0,21.9695014954,41.36,0.036,7.97e-09,386000000.0,152.0,15
23.0,21.97834548954,42.24,0.036,7.97e-09,386000000.0,152.0,15
24.0,21.98718948368,43.12,0.036,7.97e-09,386000000.0,152.0,15
25.0,21.99603347782,44.0,0.036,7.97e-09,386000000.0,152.0,15
26.0,22.00487747196,44.88,0.036,7.97e-09,386000000.0,152.0,15
27.0,22.0137214661,45.76,0.036,7.97e-09,386000000.0,152.0,15
28.0,22.03031139377,46.64,0.036,7.97e-09,386000000.0,152.0,15
29.0,22.04690132144,47.52,0.036,7.97e-09,386000000.0,152.0,15
30.0,22.06349124911,48.4,0.036,7.97e-09,386000000.0,152.0,15
31.0,22.08008117678,49.28,0.036,7.97e-09,386000000.0,152.0,15
32.0,22.09667110445,50.16,0.036,7.97e-09,386000000.0,152.0,15
33.0,22.11326103212,51.04,0.036,7.97e-09,386000000.0,152.0,15
34.0,22.12985095979,51.92,0.036,7.97e-09,386000000.0,152.0,15
35.0,22.14644088746,52.8,0.036,7.97e-09,386000000.0,152.0,15
36.0,22.16303081513,53.68,0.036,7.97e-09,386000000.0,152.0,15
37.0,22.1796207428,54.56,0.036,7.97e-09,386000000.0,152.0,15
38.0,22.20392837525,55.44,0.036,7.97e-09,386000000.0,152.0,15
39.0,22.2282360077,56.32,0.036,7.97e-09,386000000.0,152.0,15
40.0,22.25254364015,57.2,0.036,7.97e-09,386000000.0,152.0,15
41.0,22.2768512726,58.08,0.036,7.97e-09,386000000.0,152.0,15
42.0,22.30115890505,58.96,0.036,7.97e-09,386000000.0,152.0,15
43.0,22.3254665375,59.84,0.036,7.97e-09,386000000.0,152.0,15
44.0,22.34977416995,60.72,0.036,7.97e-09,386000000.0,152.0,15
45.0,22.3740818024,61.6,0.036,7.97e-09,386000000.0,152.0,15
46.0,22.39838943485,62.48,0.036,7.97e-09,386000000.0,152.0,15
47.0,22.4226970673,63.36,0.036,7.97e-09,386000000.0,152.0,15
48.0,22.44822311405,64.24,0.036,7.97e-09,386000000.0,152.0,15
49.0,22.4737491608,65.12,0.036,7.97e-09,386000000.0,152.0,15
50.0,22.49927520755,66.0,0.036,7.97e-09,386000000.0,152.0,15
51.0,22.5248012543,62.94,0.036,7.97e-09,386000000.0,152.0,15
52.0,22.55032730105,62.88,0.036,7.97e-09,386000000.0,152.0,15
53.0,22.5758533478,62.82,0.036,7.97e-09,386000000.0,152.0,15
54.0,22.60137939455,62.76,0.036,7.97e-09,386000000.0,152.0,15
55.0,22.6269054413,62.7,0.036,7.97e-09,386000000.0,152.0,15
56.0,22.65243148805,62.64,0.036,7.97e-09,386000000.0,152.0,15
57.0,22.6779575348,62.58,0.036,7.97e-09,386000000.0,152.0,15
58.0,22.70238513947,62.52,0.036,7.97e-09,386000000.0,152.0,15
59.0,22.72681274414,62.46,0.036,7.97e-09,386000000.0,152.0,15
60.0,22.75124034881,62.4,0.036,7.97e-09,386000000.0,152.0,15
61.0,22.77566795348,62.34,0.036,7.97e-09,386000000.0,152.0,15
62.0,22.80009555815,62.28,0.036,7.97e-09,386000000.0,152.0,15
63.0,22.82452316282,62.22,0.036,7.97e-09,386000000.0,152.0,15
64.0,22.84895076749,62.16,0.036,7.97e-09,386000000.0,152.0,15
65.0,22.87337837216,62.1,0.036,7.97e-09,386000000.0,152.0,15
66.0,22.89780597683,62.04,0.036,7.97e-09,386000000.0,152.0,15
67.0,22.9222335815,61.98,0.036,7.97e-09,386000000.0,152.0,15
68.0,22.94580879208,61.92,0.036,7.97e-09,386000000.0,152.0,15
69.0,22.96938400266,61.86,0.036,7.97e-09,386000000.0,152.0,15
70.0,22.99295921324,61.8,0.036,7.97e-09,386000000.0,152.0,15
71.0,23.01653442382,61.74,0.036,7.97e-09,386000000.0,152.0,15
72.0,23.0401096344,61.68,0.036,7.97e-09,386000000.0,152.0,15
73.0,23.06368484498,61.62,0.036,7.97e-09,386000000.0,152.0,15
74.0,23.08726005556,61.56,0.036,7.97e-09,386000000.0,152.0,15
75.0,23.11083526614,61.5,0.036,7.97e-09,386000000.0,152.0,15
76.0,23.13441047672,61.44,0.036,7.97e-09,386000000.0,152.0,15
77.0,23.1579856873,61.38,0.036,7.97e-09,386000000.0,152.0,15
78.0,23.18072967533,61.32,0.036,7.97e-09,386000000.0,152.0,15
79.0,23.20347366336,61.26,0.036,7.97e-09,386000000.0,152.0,15
80.0,23.22621765139,61.2,0.036,7.97e-09,386000000.0,152.0,15
81.0,23.24896163942,61.14,0.036,7.97e-09,386000000.0,152.0,15
82.0,23.27170562745,61.08,0.036,7.97e-09,386000000.0,152.0,15
83.0,23.29444961548,61.02,0.036,7.97e-09,386000000.0,152.0,15
84.0,23.31719360351,60.96,0.036,7.97e-09,386000000.0,152.0,15
85.0,23.33993759154,60.9,0.036,7.97e-09,386000000.0,152.0,15
86.0,23.36268157957,60.84,0.036,7.97e-09,386000000.0,152.0,15
87.0,23.3854255676,60.78,0.036,7.97e-09,386000000.0,152.0,15
88.0,23.40733604429,60.72,0.036,7.97e-09,386000000.0,152.0,15
89.0,23.42924652098,60.66,0.036,7.97e-09,386000000.0,152.0,15
90.0,23.45115699767,60.6,0.036,7.97e-09,386000000.0,152.0,15
91.0,23.47306747436,60.54,0.036,7.97e-09,386000000.0,152.0,15
92.0,23.49497795105,60.48,0.036,7.97e-09,386000000.0,152.0,15
93.0,23.51688842774,60.42,0.036,7.97e-09,386000000.0,152.0,15
94.0,23.53879890443,60.36,0.036,7.97e-09,386000000.0,152.0,15
95.0,23.56070938112,60.3,0.036,7.97e-09,386000000.0,152.0,15
96.0,23.58261985781,60.24,0.036,7.97e-09,386000000.0,152.0,15
97.0,23.6045303345,60.18,0.036,7.97e-09,386000000.0,152.0,15
98.0,23.62614479067,60.12,0.036,7.97e-09,386000000.0,152.0,15
99.0,23.64775924684,60.06,0.036,7.97e-09,386000000.0,152.0,15
100.0,23.66937370301,60.0,0.036,7.97e-09,386000000.0,152.0,15
101.0,23.69098815918,60,0.036,7.97e-09,386000000.0,152.0,15
102.0,23.71260261535,60,0.036,7.97e-09,386000000.0,152.0,15
103.0,23.73421707152,60,0.036,7.97e-09,386000000.0,152.0,15
104.0,23.75583152769,60,0.036,7.97e-09,386000000.0,152.0,15
105.0,23.77744598386,60,0.036,7.97e-09,386000000.0,152.0,15
106.0,23.79906044003,60,0.036,7.97e-09,386000000.0,152.0,15
107.0,23.8206748962,60,0.036,7.97e-09,386000000.0,152.0,15
108.0,23.84218406674,60,0.036,7.97e-09,386000000.0,152.0,15
109.0,23.86369323728,60,0.036,7.97e-09,386000000.0,152.0,15
110.0,23.88520240782,60,0.036,7.97e-09,386000000.0,152.0,15
111.0,23.90671157836,60,0.036,7.97e-09,386000000.0,152.0,15
112.0,23.9282207489,60,0.036,7.97e-09,386000000.0,152.0,15
113.0,23.94972991944,60,0.036,7.97e-09,386000000.0,152.0,15
114.0,23.97123908998,60,0.036,7.97e-09,386000000.0,152.0,15
115.0,23.99274826052,60,0.036,7.97e-09,386000000.0,152.0,15
116.0,24.01425743106,60,0.036,7.97e-09,386000000.0,152.0,15
117.0,24.0357666016,60,0.036,7.97e-09,386000000.0,152.0,15
118.0,24.05714950565,60,0.036,7.97e-09,386000000.0,152.0,15
119.0,24.0785324097,60,0.036,7.97e-09,386000000.0,152.0,15
120.0,24.09991531375,60,0.036,7.97e-09,386000000.0,152.0,15
121.0,24.1212982178,60,0.036,7.97e-09,386000000.0,152.0,15
122.0,24.14268112185,60,0.036,7.97e-09,386000000.0,152.0,15
123.0,24.1640640259,60,0.036,7.97e-09,386000000.0,152.0,15
124.0,24.18544692995,60,0.036,7.97e-09,386000000.0,152.0,15
125.0,24.206829834,60,0.036,7.97e-09,386000000.0,152.0,15
126.0,24.22821273805,60,0.036,7.97e-09,386000000.0,152.0,15
127.0,24.2495956421,60,0.036,7.97e-09,386000000.0,152.0,15
128.0,24.27085056306,60,0.036,7.97e-09,386000000.0,152.0,15
129.0,24.29210548402,60,0.036,7.97e-09,386000000.0,152.0,15
130.0,24.31336040498,60,0.036,7.97e-09,386000000.0,152.0,15
131.0,24.33461532594,60,0.036,7.97e-09,386000000.0,152.0,15
132.0,24.3558702469,60,0.036,7.97e-09,386000000.0,152.0,15
133.0,24.37712516786,60,0.036,7.97e-09,386000000.0,152.0,15
134.0,24.39838008882,60,0.036,7.97e-09,386000000.0,152.0,15
135.0,24.41963500978,60,0.036,7.97e-09,386000000.0,152.0,15
136.0,24.44088993074,60,0.036,7.97e-09,386000000.0,152.0,15
137.0,24.4621448517,60,0.036,7.97e-09,386000000.0,152.0,15
138.0,24.48327274324,60,0.036,7.97e-09,386000000.0,152.0,15
139.0,24.50440063478,60,0.036,7.97e-09,386000000.0,152.0,15
140.0,24.52552852632,60,0.036,7.97e-09,386000000.0,152.0,15
141.0,24.54665641786,60,0.036,7.97e-09,386000000.0,152.0,15
142.0,24.5677843094,60,0.036,7.97e-09,386000000.0,152.0,15
143.0,24.58891220094,60,0.036,7.97e-09,386000000.0,152.0,15
144.0,24.61004009248,60,0.036,7.97e-09,386000000.0,152.0,15
145.0,24.63116798402,60,0.036,7.97e-09,386000000.0,152.0,15
146.0,24.65229587556,60,0.036,7.97e-09,386000000.0,152.0,15
147.0,24.6734237671,60,0.036,7.97e-09,386000000.0,152.0,15
148.0,24.69442577363,60,0.036,7.97e-09,386000000.0,152.0,15
149.0,24.71542778016,60,0.036,7.97e-09,386000000.0,152.0,15
150.0,24.73642978669,60,0.036,7.97e-09,386000000.0,152.0,15
151.0,24.75743179322,60,0.036,7.97e-09,386000000.0,152.0,15
152.0,24.77843379975,60,0.036,7.97e-09,386000000.0,152.0,15
153.0,24.79943580628,60,0.036,7.97e-09,386000000.0,152.0,15
154.0,24.82043781281,60,0.036,7.97e-09,386000000.0,152.0,15
155.0,24.84143981934,60,0.036,7.97e-09,386000000.0,152.0,15
156.0,24.86244182587,60,0.036,7.97e-09,386000000.0,152.0,15
157.0,24.8834438324,60,0.036,7.97e-09,386000000.0,152.0,15
158.0,24.90432071686,60,0.036,7.97e-09,386000000.0,152.0,15
159.0,24.92519760132,60,0.036,7.97e-09,386000000.0,152.0,15
160.0,24.94607448578,60,0.036,7.97e-09,386000000.0,152.0,15
161.0,24.96695137024,60,0.036,7.97e-09,386000000.0,152.0,15
162.0,24.9878282547,60,0.036,7.97e-09,386000000.0,152.0,15
163.0,25.00870513916,60,0.036,7.97e-09,386000000.0,152.0,15
164.0,25.02958202362,60,0.036,7.97e-09,386000000.0,152.0,15
165.0,25.05045890808,60,0.036,7.97e-09,386000000.0,152.0,15
166.0,25.07133579254,60,0.036,7.97e-09,386000000.0,152.0,15
167.0,25.092212677,60,0.036,7.97e-09,386000000.0,152.0,15
168.0,25.11296520233,60,0.036,7.97e-09,386000000.0,152.0,15
169.0,25.13371772766,60,0.036,7.97e-09,386000000.0,152.0,15
170.0,25.15447025299,60,0.036,7.97e-09,386000000.0,152.0,15
171.0,25.17522277832,60,0.036,7.97e-09,386000000.0,152.0,15
172.0,25.19597530365,60,0.036,7.97e-09,386000000.0,152.0,15
173.0,25.21672782898,60,0.036,7.97e-09,386000000.0,152.0,15
174.0,25.23748035431,60,0.036,7.97e-09,386000000.0,152.0,15
175.0,25.25823287964,60,0.036,7.97e-09,386000000.0,152.0,15
176.0,25.27898540497,60,0.036,7.97e-09,386000000.0,152.0,15
177.0,25.2997379303,60,0.036,7.97e-09,386000000.0,152.0,15
178.0,25.32036705017,60,0.036,7.97e-09,386000000.0,152.0,15
179.0,25.34099617004,60,0.036,7.97e-09,386000000.0,152.0,15
180.0,25.36162528991,60,0.036,7.97e-09,386000000.0,152.0,15
181.0,25.38225440978,60,0.036,7.97e-09,386000000.0,152.0,15
182.0,25.40288352965,60,0.036,7.97e-09,386000000.0,152.0,15
183.0,25.42351264952,60,0.036,7.97e-09,386000000.0,152.0,15
184.0,25.44414176939,60,0.036,7.97e-09,386000000.0,152.0,15
185.0,25.46477088926,60,0.036,7.97e-09,386000000.0,152.0,15
186.0,25.48540000913,60,0.036,7.97e-09,386000000.0,152.0,15
187.0,25.506029129,60,0.036,7.97e-09,386000000.0,152.0,15
188.0,25.52653560636,60,0.036,7.97e-09,386000000.0,152.0,15
189.0,25.54704208372,60,0.036,7.97e-09,386000000.0,152.0,15
190.0,25.56754856108,60,0.036,7.97e-09,386000000.0,152.0,15
191.0,25.58805503844,60,0.036,7.97e-09,386000000.0,152.0,15
192.0,25.6085615158,60,0.036,7.97e-09,386000000.0,152.0,15
193.0,25.62906799316,60,0.036,7.97e-09,386000000.0,152.0,15
194.0,25.64957447052,60,0.036,7.97e-09,386000000.0,152.0,15
195.0,25.67008094788,60,0.036,7.97e-09,386000000.0,152.0,15
196.0,25.69058742524,60,0.036,7.97e-09,386000000.0,152.0,15
197.0,25.7110939026,60,0.036,7.97e-09,386000000.0,152.0,15
198.0,25.73147830964,60,0.036,7.97e-09,386000000.0,152.0,15
199.0,25.75186271668,60,0.036,7.97e-09,386000000.0,152.0,15
200.0,25.77224712372,60,0.036,7.97e-09,386000000.0,152.0,15
201.0,25.79263153076,60,0.036,7.97e-09,386000000.0,152.0,15
202.0,25.8130159378,60,0.036,7.97e-09,386000000.0,152.0,15
203.0,25.83340034484,60,0.036,7.97e-09,386000000.0,152.0,15
204.0,25.85378475188,60,0.036,7.97e-09,386000000.0,152.0,15
205.0,25.87416915892,60,0.036,7.97e-09,386000000.0,152.0,15
206.0,25.89455356596,60,0.036,7.97e-09,386000000.0,152.0,15
207.0,25.914937973,60,0.036,7.97e-09,386000000.0,152.0,15
208.0,25.93520145414,60,0.036,7.97e-09,386000000.0,152.0,15
209.0,25.95546493528,60,0.036,7.97e-09,386000000.0,152.0,15
210.0,25.97572841642,60,0.036,7.97e-09,386000000.0,152.0,15
211.0,25.99599189756,60,0.036,7.97e-09,386000000.0,152.0,15
212.0,26.0162553787,60,0.036,7.97e-09,386000000.0,152.0,15
213.0,26.03651885984,60,0.036,7.97e-09,386000000.0,152.0,15
214.0,26.05678234098,60,0.036,7.97e-09,386000000.0,152.0,15
215.0,26.07704582212,60,0.036,7.97e-09,386000000.0,152.0,15
216.0,26.09730930326,60,0.036,7.97e-09,386000000.0,152.0,15
217.0,26.1175727844,60,0.036,7.97e-09,386000000.0,152.0,15
218.0,26.13771553037,60,0.036,7.97e-09,386000000.0,152.0,15
219.0,26.15785827634,60,0.036,7.97e-09,386000000.0,152.0,15
220.0,26.17800102231,60,0.036,7.97e-09,386000000.0,152.0,15
221.0,26.19814376828,60,0.036,7.97e-09,386000000.0,152.0,15
222.0,26.21828651425,60,0.036,7.97e-09,386000000.0,152.0,15
223.0,26.23842926022,60,0.036,7.97e-09,386000000.0,152.0,15
224.0,26.25857200619,60,0.036,7.97e-09,386000000.0,152.0,15
225.0,26.27871475216,60,0.036,7.97e-09,386000000.0,152.0,15
226.0,26.29885749813,60,0.036,7.97e-09,386000000.0,152.0,15
227.0,26.3190002441,60,0.036,7.97e-09,386000000.0,152.0,15
228.0,26.33902339932,60,0.036,7.97e-09,386000000.0,152.0,15
229.0,26.35904655454,60,0.036,7.97e-09,386000000.0,152.0,15
230.0,26.37906970976,60,0.036,7.97e-09,386000000.0,152.0,15
231.0,26.39909286498,60,0.036,7.97e-09,386000000.0,152.0,15
232.0,26.4191160202,60,0.036,7.97e-09,386000000.0,152.0,15
233.0,26.43913917542,60,0.036,7.97e-09,386000000.0,152.0,15
234.0,26.45916233064,60,0.036,7.97e-09,386000000.0,152.0,15
235.0,26.47918548586,60,0.036,7.97e-09,386000000.0,152.0,15
236.0,26.49920864108,60,0.036,7.97e-09,386000000.0,152.0,15
237.0,26.5192317963,60,0.036,7.97e-09,386000000.0,152.0,15
238.0,26.53913593295,60,0.036,7.97e-09,386000000.0,152.0,15
239.0,26.5590400696,60,0.036,7.97e-09,386000000.0,152.0,15
240.0,26.57894420625,60,0.036,7.97e-09,386000000.0,152.0,15
241.0,26.5988483429,60,0.036,7.97e-09,386000000.0,152.0,15
242.0,26.61875247955,60,0.036,7.97e-09,386000000.0,152.0,15
243.0,26.6386566162,60,0.036,7.97e-09,386000000.0,152.0,15
244.0,26.65856075285,60,0.036,7.97e-09,386000000.0,152.0,15
245.0,26.6784648895,60,0.036,7.97e-09,386000000.0,152.0,15
246.0,26.69836902615,60,0.036,7.97e-09,386000000.0,152.0,15
247.0,26.7182731628,60,0.036,7.97e-09,386000000.0,152.0,15
248.0,26.73805885311,60,0.036,7.97e-09,386000000.0,152.0,15
249.0,26.75784454342,60,0.036,7.97e-09,386000000.0,152.0,15
250.0,26.77763023373,60,0.036,7.97e-09,386000000.0,152.0,15
251.0,26.79741592404,60,0.036,7.97e-09,386000000.0,152.0,15
252.0,26.81720161435,60,0.036,7.97e-09,386000000.0,152.0,15
253.0,26.83698730466,60,0.036,7.97e-09,386000000.0,152.0,15
254.0,26.85677299497,60,0.036,7.97e-09,386000000.0,152.0,15
255.0,26.87655868528,60,0.036,7.97e-09,386000000.0,152.0,15
256.0,26.89634437559,60,0.036,7.97e-09,386000000.0,152.0,15
257.0,26.9161300659,60,0.036,7.97e-09,386000000.0,152.0,15
258.0,26.93579826353,60,0.036,7.97e-09,386000000.0,152.0,15
259.0,26.95546646116,60,0.036,7.97e-09,386000000.0,152.0,15
260.0,26.97513465879,60,0.036,7.97e-09,386000000.0,152.0,15
261.0,26.99480285642,60,0.036,7.97e-09,386000000.0,152.0,15
262.0,27.01447105405,60,0.036,7.97e-09,386000000.0,152.0,15
263.0,27.03413925168,60,0.036,7.97e-09,386000000.0,152.0,15
264.0,27.05380744931,60,0.036,7.97e-09,386000000.0,152.0,15
265.0,27.07347564694,60,0.036,7.97e-09,386000000.0,152.0,15
266.0,27.09314384457,60,0.036,7.97e-09,386000000.0,152.0,15
267.0,27.1128120422,60,0.036,7.97e-09,386000000.0,152.0,15
268.0,27.13236312863,60,0.036,7.97e-09,386000000.0,152.0,15
269.0,27.15191421506,60,0.036,7.97e-09,386000000.0,152.0,15
270.0,27.17146530149,60,0.036,7.97e-09,386000000.0,152.0,15
271.0,27.19101638792,60,0.036,7.97e-09,386000000.0,152.0,15
272.0,27.21056747435,60,0.036,7.97e-09,386000000.0,152.0,15
273.0,27.23011856078,60,0.036,7.97e-09,386000000.0,152.0,15
274.0,27.24966964721,60,0.036,7.97e-09,386000000.0,152.0,15
275.0,27.26922073364,60,0.036,7.97e-09,386000000.0,152.0,15
276.0,27.28877182007,60,0.036,7.97e-09,386000000.0,152.0,15
277.0,27.3083229065,60,0.036,7.97e-09,386000000.0,152.0,15
278.0,27.32775802613,60,0.036,7.97e-09,386000000.0,152.0,15
279.0,27.34719314576,60,0.036,7.97e-09,386000000.0,152.0,15
280.0,27.36662826539,60,0.036,7.97e-09,386000000.0,152.0,15
281.0,27.38606338502,60,0.036,7.97e-09,386000000.0,152.0,15
282.0,27.40549850465,60,0.036,7.97e-09,386000000.0,152.0,15
283.0,27.42493362428,60,0.036,7.97e-09,386000000.0,152.0,15
284.0,27.44436874391,60,0.036,7.97e-09,386000000.0,152.0,15
285.0,27.46380386354,60,0.036,7.97e-09,386000000.0,152.0,15
286.0,27.48323898317,60,0.036,7.97e-09,386000000.0,152.0,15
287.0,27.5026741028,60,0.036,7.97e-09,386000000.0,152.0,15
288.0,27.52199344637,60,0.036,7.97e-09,386000000.0,152.0,15
289.0,27.54131278994,60,0.036,7.97e-09,386000000.0,152.0,15
290.0,27.56063213351,60,0.036,7.97e-09,386000000.0,152.0,15
291.0,27.57995147708,60,0.036,7.97e-09,386000000.0,152.0,15
292.0,27.59927082065,60,0.036,7.97e-09,386000000.0,152.0,15
293.0,27.61859016422,60,0.036,7.97e-09,386000000.0,152.0,15
294.0,27.63790950779,60,0.036,7.97e-09,386000000.0,152.0,15
295.0,27.65722885136,60,0.036,7.97e-09,386000000.0,152.0,15
296.0,27.67654819493,60,0.036,7.97e-09,386000000.0,152.0,15
297.0,27.6958675385,60,0.036,7.97e-09,386000000.0,152.0,15
298.0,27.71507205967,60,0.036,7.97e-09,386000000.0,152.0,15
299.0,27.73427658084,60,0.036,7.97e-09,386000000.0,152.0,15
300.0,27.75348110201,60,0.036,7.97e-09,386000000.0,152.0,15
301.0,27.77268562318,60,0.036,7.97e-09,386000000.0,152.0,15
302.0,27.79189014435,60,0.036,7.97e-09,386000000.0,152.0,15
303.0,27.81109466552,60,0.036,7.97e-09,386000000.0,152.0,15
304.0,27.83029918669,60,0.036,7.97e-09,386000000.0,152.0,15
305.0,27.84950370786,60,0.036,7.97e-09,386000000.0,152.0,15
306.0,27.86870822903,60,0.036,7.97e-09,386000000.0,152.0,15
307.0,27.8879127502,60,0.036,7.97e-09,386000000.0,152.0,15
308.0,27.90700321194,60,0.036,7.97e-09,386000000.0,152.0,15
309.0,27.92609367368,60,0.036,7.97e-09,386000000.0,152.0,15
310.0,27.94518413542,60,0.036,7.97e-09,386000000.0,152.0,15
311.0,27.96427459716,60,0.036,7.97e-09,386000000.0,152.0,15
312.0,27.9833650589,60,0.036,7.97e-09,386000000.0,152.0,15
313.0,28.00245552064,60,0.036,7.97e-09,386000000.0,152.0,15
314.0,28.02154598238,60,0.036,7.97e-09,386000000.0,152.0,15
315.0,28.04063644412,60,0.036,7.97e-09,386000000.0,152.0,15
316.0,28.05972690586,60,0.036,7.97e-09,386000000.0,152.0,15
317.0,28.0788173676,60,0.036,7.97e-09,386000000.0,152.0,15
318.0,28.09779434208,60,0.036,7.97e-09,386000000.0,152.0,15
319.0,28.11677131656,60,0.036,7.97e-09,386000000.0,152.0,15
320.0,28.13574829104,60,0.036,7.97e-09,386000000.0,152.0,15
321.0,28.15472526552,60,0.036,7.97e-09,386000000.0,152.0,15
322.0,28.17370224,60,0.036,7.97e-09,386000000.0,152.0,15
323.0,28.19267921448,60,0.036,7.97e-09,386000000.0,152.0,15
324.0,28.21165618896,60,0.036,7.97e-09,386000000.0,152.0,15
325.0,28.23063316344,60,0.036,7.97e-09,386000000.0,152.0,15
326.0,28.24961013792,60,0.036,7.97e-09,386000000.0,152.0,15
327.0,28.2685871124,60,0.036,7.97e-09,386000000.0,152.0,15
328.0,28.28745117185,60,0.036,7.97e-09,386000000.0,152.0,15
329.0,28.3063152313,60,0.036,7.97e-09,386000000.0,152.0,15
330.0,28.32517929075,60,0.036,7.97e-09,386000000.0,152.0,15
331.0,28.3440433502,60,0.036,7.97e-09,386000000.0,152.0,15
332.0,28.36290740965,60,0.036,7.97e-09,386000000.0,152.0,15
333.0,28.3817714691,60,0.036,7.97e-09,386000000.0,152.0,15
334.0,28.40063552855,60,0.036,7.97e-09,386000000.0,152.0,15
335.0,28.419499588,60,0.036,7.97e-09,386000000.0,152.0,15
336.0,28.43836364745,60,0.036,7.97e-09,386000000.0,152.0,15
337.0,28.4572277069,60,0.036,7.97e-09,386000000.0,152.0,15
338.0,28.47597961425,60,0.036,7.97e-09,386000000.0,152.0,15
339.0,28.4947315216,60,0.036,7.97e-09,386000000.0,152.0,15
340.0,28.51348342895,60,0.036,7.97e-09,386000000.0,152.0,15
341.0,28.5322353363,60,0.036,7.97e-09,386000000.0,152.0,15
342.0,28.55098724365,60,0.036,7.97e-09,386000000.0,152.0,15
343.0,28.569739151,60,0.036,7.97e-09,386000000.0,152.0,15
344.0,28.58849105835,60,0.036,7.97e-09,386000000.0,152.0,15
345.0,28.6072429657,60,0.036,7.97e-09,386000000.0,152.0,15
346.0,28.62599487305,60,0.036,7.97e-09,386000000.0,152.0,15
347.0,28.6447467804,60,0.036,7.97e-09,386000000.0,152.0,15
348.0,28.66338729859,60,0.036,7.97e-09,386000000.0,152.0,15
349.0,28.68202781678,60,0.036,7.97e-09,386000000.0,152.0,15
350.0,28.70066833497,60,0.036,7.97e-09,386000000.0,152.0,15
351.0,28.71930885316,60,0.036,7.97e-09,386000000.0,152.0,15
352.0,28.73794937135,60,0.036,7.97e-09,386000000.0,152.0,15
353.0,28.75658988954,60,0.036,7.97e-09,386000000.0,152.0,15
354.0,28.77523040773,60,0.036,7.97e-09,386000000.0,152.0,15
355.0,28.79387092592,60,0.036,7.97e-09,386000000.0,152.0,15
356.0,28.81251144411,60,0.036,7.97e-09,386000000.0,152.0,15
357.0,28.8311519623,60,0.036,7.97e-09,386000000.0,152.0,15
358.0,28.84968166353,60,0.036,7.97e-09,386000000.0,152.0,15
359.0,28.86821136476,60,0.036,7.97e-09,386000000.0,152.0,15
360.0,28.88674106599,60,0.036,7.97e-09,386000000.0,152.0,15
361.0,28.90527076722,60,0.036,7.97e-09,386000000.0,152.0,15
362.0,28.92380046845,60,0.036,7.97e-09,386000000.0,152.0,15
363.0,28.94233016968,60,0.036,7.97e-09,386000000.0,152.0,15
364.0,28.96085987091,60,0.036,7.97e-09,386000000.0,152.0,15
365.0,28.97938957214,60,0.036,7.97e-09,386000000.0,152.0,15
366.0,28.99791927337,60,0.036,7.97e-09,386000000.0,152.0,15
367.0,29.0164489746,60,0.036,7.97e-09,386000000.0,152.0,15
368.0,29.03486843108,60,0.036,7.97e-09,386000000.0,152.0,15
369.0,29.05328788756,60,0.036,7.97e-09,386000000.0,152.0,15
370.0,29.07170734404,60,0.036,7.97e-09,386000000.0,152.0,15
371.0,29.09012680052,60,0.036,7.97e-09,386000000.0,152.0,15
372.0,29.108546257,60,0.036,7.97e-09,386000000.0,152.0,15
373.0,29.12696571348,60,0.036,7.97e-09,386000000.0,152.0,15
374.0,29.14538516996,60,0.036,7.97e-09,386000000.0,152.0,15
375.0,29.16380462644,60,0.036,7.97e-09,386000000.0,152.0,15
376.0,29.18222408292,60,0.036,7.97e-09,386000000.0,152.0,15
377.0,29.2006435394,60,0.036,7.97e-09,386000000.0,152.0,15
378.0,29.21895351407,60,0.036,7.97e-09,386000000.0,152.0,15
379.0,29.23726348874,60,0.036,7.97e-09,386000000.0,152.0,15
380.0,29.25557346341,60,0.036,7.97e-09,386000000.0,152.0,15
381.0,29.27388343808,60,0.036,7.97e-09,386000000.0,152.0,15
