time,T_int,T_ext_1,Film_Coef,Density,Specific_Heat,Thermal_Conductivity,Radius
1.0,21.9883728027,22.88,0.036,7.97e-09,736000000.0,152.0,15
2.0,21.9790706635,23.76,0.036,7.97e-09,736000000.0,152.0,15
3.0,21.9713287354,24.64,0.036,7.97e-09,736000000.0,152.0,15
4.0,21.965502739,25.52,0.036,7.97e-09,736000000.0,152.0,15
5.0,21.9596767426,26.4,0.036,7.97e-09,736000000.0,152.0,15
6.0,21.956409931225,27.28,0.036,7.97e-09,736000000.0,152.0,15
7.0,21.95314311985,28.16,0.036,7.97e-09,736000000.0,152.0,15
8.0,21.949876308475,29.04,0.036,7.97e-09,736000000.0,152.0,15
9.0,21.9466094971,29.92,0.036,7.97e-09,736000000.0,152.0,15
10.0,21.9474704265875,30.8,0.036,7.97e-09,736000000.0,152.0,15
11.0,21.948331356075,31.68,0.036,7.97e-09,736000000.0,152.0,15
12.0,21.9491922855625,32.56,0.036,7.97e-09,736000000.0,152.0,15
13.0,21.95005321505,33.44,0.036,7.97e-09,736000000.0,152.0,15
14.0,21.9509141445375,34.32,0.036,7.97e-09,736000000.0,152.0,15
15.0,21.951775074025,35.2,0.036,7.97e-09,736000000.0,152.0,15
16.0,21.9526360035125,36.08,0.036,7.97e-09,736000000.0,152.0,15
17.0,21.953496933,36.96,0.036,7.97e-09,736000000.0,152.0,15
18.0,21.95918922426,37.84,0.036,7.97e-09,736000000.0,152.0,15
19.0,21.96488151552,38.72,0.036,7.97e-09,736000000.0,152.0,15
20.0,21.97057380678,39.6,0.036,7.97e-09,736000000.0,152.0,15
21.0,21.97626609804,40.48,0.036,7.97e-09,736000000.0,152.0,15
22.0,21.9819583893,41.36,0.036,7.97e-09,736000000.0,152.0,15
23.0,21.98765068056,42.24,0.036,7.97e-09,736000000.0,152.0,15
24.0,21.99334297182,43.12,0.036,7.97e-09,736000000.0,152.0,15
25.0,21.99903526308,44.0,0.036,7.97e-09,736000000.0,152.0,15
26.0,22.00472755434,44.88,0.036,7.97e-09,736000000.0,152.0,15
27.0,22.0104198456,45.76,0.036,7.97e-09,736000000.0,152.0,15
28.0,22.0208627701,46.64,0.036,7.97e-09,736000000.0,152.0,15
