time,T_int,T_ext_1,Film_Coef,Density,Specific_Heat,Thermal_Conductivity,Radius
1.0,21.9837322235,22.88,0.036,7.37e-09,536000000.0,92.0,25
2.0,21.97057724,23.76,0.036,7.37e-09,536000000.0,92.0,25
3.0,21.9596214294,24.64,0.036,7.37e-09,536000000.0,92.0,25
4.0,21.951464653,25.52,0.036,7.37e-09,536000000.0,92.0,25
5.0,21.9433078766,26.4,0.036,7.37e-09,536000000.0,92.0,25
6.0,21.938847064975,27.28,0.036,7.37e-09,536000000.0,92.0,25
7.0,21.93438625335,28.16,0.036,7.37e-09,536000000.0,92.0,25
8.0,21.929925441725,29.04,0.036,7.37e-09,536000000.0,92.0,25
9.0,21.9254646301,29.92,0.036,7.37e-09,536000000.0,92.0,25
10.0,21.926789283725,30.8,0.036,7.37e-09,536000000.0,92.0,25
11.0,21.92811393735,31.68,0.036,7.37e-09,536000000.0,92.0,25
12.0,21.929438590975,32.56,0.036,7.37e-09,536000000.0,92.0,25
13.0,21.9307632446,33.44,0.036,7.37e-09,536000000.0,92.0,25
14.0,21.932087898225,34.32,0.036,7.37e-09,536000000.0,92.0,25
15.0,21.93341255185,35.2,0.036,7.37e-09,536000000.0,92.0,25
16.0,21.934737205475,36.08,0.036,7.37e-09,536000000.0,92.0,25
17.0,21.9360618591,36.96,0.036,7.37e-09,536000000.0,92.0,25
18.0,21.94402828214,37.84,0.036,7.37e-09,536000000.0,92.0,25
19.0,21.95199470518,38.72,0.036,7.37e-09,536000000.0,92.0,25
20.0,21.95996112822,39.6,0.036,7.37e-09,536000000.0,92.0,25
21.0,21.96792755126,40.48,0.036,7.37e-09,536000000.0,92.0,25
22.0,21.9758939743,41.36,0.036,7.37e-09,536000000.0,92.0,25
23.0,21.98386039734,42.24,0.036,7.37e-09,536000000.0,92.0,25
24.0,21.99182682038,43.12,0.036,7.37e-09,536000000.0,92.0,25
25.0,21.99979324342,44.0,0.036,7.37e-09,536000000.0,92.0,25
26.0,22.00775966646,44.88,0.036,7.37e-09,536000000.0,92.0,25
27.0,22.0157260895,45.76,0.036,7.37e-09,536000000.0,92.0,25
28.0,22.03016262056,46.64,0.036,7.37e-09,536000000.0,92.0,25
29.0,22.04459915162,47.52,0.036,7.37e-09,536000000.0,92.0,25
30.0,22.05903568268,48.4,0.036,7.37e-09,536000000.0,92.0,25
31.0,22.07347221374,49.28,0.036,7.37e-09,536000000.0,92.0,25
