time,T_int,T_ext_1,Film_Coef,Density,Specific_Heat,Thermal_Conductivity,Radius
1.0,21.9821853638,22.88,0.036,7.27e-09,436000000.0,132.0,25
2.0,21.9681282043,23.76,0.036,7.27e-09,436000000.0,132.0,25
3.0,21.9563789368,24.64,0.036,7.27e-09,436000000.0,132.0,25
4.0,21.94736099245,25.52,0.036,7.27e-09,436000000.0,132.0,25
5.0,21.9383430481,26.4,0.036,7.27e-09,436000000.0,132.0,25
6.0,21.93309783935,27.28,0.036,7.27e-09,436000000.0,132.0,25
7.0,21.9278526306,28.16,0.036,7.27e-09,436000000.0,132.0,25
8.0,21.92260742185,29.04,0.036,7.27e-09,436000000.0,132.0,25
9.0,21.9173622131,29.92,0.036,7.27e-09,436000000.0,132.0,25
10.0,21.9185042381,30.8,0.036,7.27e-09,436000000.0,132.0,25
11.0,21.9196462631,31.68,0.036,7.27e-09,436000000.0,132.0,25
12.0,21.9207882881,32.56,0.036,7.27e-09,436000000.0,132.0,25
13.0,21.9219303131,33.44,0.036,7.27e-09,436000000.0,132.0,25
14.0,21.9230723381,34.32,0.036,7.27e-09,436000000.0,132.0,25
15.0,21.9242143631,35.2,0.036,7.27e-09,436000000.0,132.0,25
16.0,21.9253563881,36.08,0.036,7.27e-09,436000000.0,132.0,25
17.0,21.9264984131,36.96,0.036,7.27e-09,436000000.0,132.0,25
18.0,21.93529872896,37.84,0.036,7.27e-09,436000000.0,132.0,25
19.0,21.94409904482,38.72,0.036,7.27e-09,436000000.0,132.0,25
20.0,21.95289936068,39.6,0.036,7.27e-09,436000000.0,132.0,25
21.0,21.96169967654,40.48,0.036,7.27e-09,436000000.0,132.0,25
22.0,21.9704999924,41.36,0.036,7.27e-09,436000000.0,132.0,25
23.0,21.97930030826,42.24,0.036,7.27e-09,436000000.0,132.0,25
24.0,21.98810062412,43.12,0.036,7.27e-09,436000000.0,132.0,25
25.0,21.99690093998,44.0,0.036,7.27e-09,436000000.0,132.0,25
26.0,22.00570125584,44.88,0.036,7.27e-09,436000000.0,132.0,25
27.0,22.0145015717,45.76,0.036,7.27e-09,436000000.0,132.0,25
28.0,22.03088855747,46.64,0.036,7.27e-09,436000000.0,132.0,25
29.0,22.04727554324,47.52,0.036,7.27e-09,436000000.0,132.0,25
30.0,22.06366252901,48.4,0.036,7.27e-09,436000000.0,132.0,25
31.0,22.08004951478,49.28,0.036,7.27e-09,436000000.0,132.0,25
32.0,22.09643650055,50.16,0.036,7.27e-09,436000000.0,132.0,25
33.0,22.11282348632,51.04,0.036,7.27e-09,436000000.0,132.0,25
34.0,22.12921047209,51.92,0.036,7.27e-09,436000000.0,132.0,25
35.0,22.14559745786,52.8,0.036,7.27e-09,436000000.0,132.0,25
36.0,22.16198444363,53.68,0.036,7.27e-09,436000000.0,132.0,25
37.0,22.1783714294,54.56,0.036,7.27e-09,436000000.0,132.0,25
38.0,22.20231475826,55.44,0.036,7.27e-09,436000000.0,132.0,25
39.0,22.22625808712,56.32,0.036,7.27e-09,436000000.0,132.0,25
40.0,22.25020141598,57.2,0.036,7.27e-09,436000000.0,132.0,25
41.0,22.27414474484,58.08,0.036,7.27e-09,436000000.0,132.0,25
42.0,22.2980880737,58.96,0.036,7.27e-09,436000000.0,132.0,25
43.0,22.32203140256,59.84,0.036,7.27e-09,436000000.0,132.0,25
44.0,22.34597473142,60.72,0.036,7.27e-09,436000000.0,132.0,25
45.0,22.36991806028,61.6,0.036,7.27e-09,436000000.0,132.0,25
46.0,22.39386138914,62.48,0.036,7.27e-09,436000000.0,132.0,25
47.0,22.417804718,63.36,0.036,7.27e-09,436000000.0,132.0,25
48.0,22.44285926817,64.24,0.036,7.27e-09,436000000.0,132.0,25
49.0,22.46791381834,65.12,0.036,7.27e-09,436000000.0,132.0,25
50.0,22.49296836851,66.0,0.036,7.27e-09,436000000.0,132.0,25
51.0,22.51802291868,62.94,0.036,7.27e-09,436000000.0,132.0,25
52.0,22.54307746885,62.88,0.036,7.27e-09,436000000.0,132.0,25
53.0,22.56813201902,62.82,0.036,7.27e-09,436000000.0,132.0,25
54.0,22.59318656919,62.76,0.036,7.27e-09,436000000.0,132.0,25
55.0,22.61824111936,62.7,0.036,7.27e-09,436000000.0,132.0,25
56.0,22.64329566953,62.64,0.036,7.27e-09,436000000.0,132.0,25
57.0,22.6683502197,62.58,0.036,7.27e-09,436000000.0,132.0,25
58.0,22.69227638242,62.52,0.036,7.27e-09,436000000.0,132.0,25
59.0,22.71620254514,62.46,0.036,7.27e-09,436000000.0,132.0,25
60.0,22.74012870786,62.4,0.036,7.27e-09,436000000.0,132.0,25
61.0,22.76405487058,62.34,0.036,7.27e-09,436000000.0,132.0,25
62.0,22.7879810333,62.28,0.036,7.27e-09,436000000.0,132.0,25
63.0,22.81190719602,62.22,0.036,7.27e-09,436000000.0,132.0,25
64.0,22.83583335874,62.16,0.036,7.27e-09,436000000.0,132.0,25
65.0,22.85975952146,62.1,0.036,7.27e-09,436000000.0,132.0,25
66.0,22.88368568418,62.04,0.036,7.27e-09,436000000.0,132.0,25
67.0,22.9076118469,61.98,0.036,7.27e-09,436000000.0,132.0,25
68.0,22.93069686888,61.92,0.036,7.27e-09,436000000.0,132.0,25
69.0,22.95378189086,61.86,0.036,7.27e-09,436000000.0,132.0,25
70.0,22.97686691284,61.8,0.036,7.27e-09,436000000.0,132.0,25
71.0,22.99995193482,61.74,0.036,7.27e-09,436000000.0,132.0,25
72.0,23.0230369568,61.68,0.036,7.27e-09,436000000.0,132.0,25
73.0,23.04612197878,61.62,0.036,7.27e-09,436000000.0,132.0,25
74.0,23.06920700076,61.56,0.036,7.27e-09,436000000.0,132.0,25
75.0,23.09229202274,61.5,0.036,7.27e-09,436000000.0,132.0,25
76.0,23.11537704472,61.44,0.036,7.27e-09,436000000.0,132.0,25
