time,T_int,T_ext_1,Film_Coef,Density,Specific_Heat,Thermal_Conductivity,Radius
1.0,21.9794235229,22.88,0.036,7.77e-09,336000000.0,92.0,15
2.0,21.9630241394,23.76,0.036,7.77e-09,336000000.0,92.0,15
3.0,21.9493751526,24.64,0.036,7.77e-09,336000000.0,92.0,15
4.0,21.93907547,25.52,0.036,7.77e-09,336000000.0,92.0,15
5.0,21.9287757874,26.4,0.036,7.77e-09,336000000.0,92.0,15
6.0,21.922969341325,27.28,0.036,7.77e-09,336000000.0,92.0,15
7.0,21.91716289525,28.16,0.036,7.77e-09,336000000.0,92.0,15
8.0,21.911356449175,29.04,0.036,7.77e-09,336000000.0,92.0,15
9.0,21.9055500031,29.92,0.036,7.77e-09,336000000.0,92.0,15
10.0,21.9070513248875,30.8,0.036,7.77e-09,336000000.0,92.0,15
11.0,21.908552646675,31.68,0.036,7.77e-09,336000000.0,92.0,15
12.0,21.9100539684625,32.56,0.036,7.77e-09,336000000.0,92.0,15
13.0,21.91155529025,33.44,0.036,7.77e-09,336000000.0,92.0,15
14.0,21.9130566120375,34.32,0.036,7.77e-09,336000000.0,92.0,15
15.0,21.914557933825,35.2,0.036,7.77e-09,336000000.0,92.0,15
16.0,21.9160592556125,36.08,0.036,7.77e-09,336000000.0,92.0,15
17.0,21.9175605774,36.96,0.036,7.77e-09,336000000.0,92.0,15
18.0,21.92763862611,37.84,0.036,7.77e-09,336000000.0,92.0,15
19.0,21.93771667482,38.72,0.036,7.77e-09,336000000.0,92.0,15
20.0,21.94779472353,39.6,0.036,7.77e-09,336000000.0,92.0,15
21.0,21.95787277224,40.48,0.036,7.77e-09,336000000.0,92.0,15
22.0,21.96795082095,41.36,0.036,7.77e-09,336000000.0,92.0,15
23.0,21.97802886966,42.24,0.036,7.77e-09,336000000.0,92.0,15
24.0,21.98810691837,43.12,0.036,7.77e-09,336000000.0,92.0,15
25.0,21.99818496708,44.0,0.036,7.77e-09,336000000.0,92.0,15
26.0,22.00826301579,44.88,0.036,7.77e-09,336000000.0,92.0,15
27.0,22.0183410645,45.76,0.036,7.77e-09,336000000.0,92.0,15
28.0,22.03684864048,46.64,0.036,7.77e-09,336000000.0,92.0,15
29.0,22.05535621646,47.52,0.036,7.77e-09,336000000.0,92.0,15
30.0,22.07386379244,48.4,0.036,7.77e-09,336000000.0,92.0,15
31.0,22.09237136842,49.28,0.036,7.77e-09,336000000.0,92.0,15
32.0,22.1108789444,50.16,0.036,7.77e-09,336000000.0,92.0,15
33.0,22.12938652038,51.04,0.036,7.77e-09,336000000.0,92.0,15
34.0,22.14789409636,51.92,0.036,7.77e-09,336000000.0,92.0,15
35.0,22.16640167234,52.8,0.036,7.77e-09,336000000.0,92.0,15
