time,T_int,T_ext_1,Film_Coef,Density,Specific_Heat,Thermal_Conductivity,Radius
1.0,21.9869747162,22.88,0.036,7.77e-09,636000000.0,132.0,15
2.0,21.9765377045,23.76,0.036,7.77e-09,636000000.0,132.0,15
3.0,21.9678535461,24.64,0.036,7.77e-09,636000000.0,132.0,15
4.0,21.9613304138,25.52,0.036,7.77e-09,636000000.0,132.0,15
5.0,21.9548072815,26.4,0.036,7.77e-09,636000000.0,132.0,15
6.0,21.951165676125,27.28,0.036,7.77e-09,636000000.0,132.0,15
7.0,21.94752407075,28.16,0.036,7.77e-09,636000000.0,132.0,15
8.0,21.943882465375,29.04,0.036,7.77e-09,636000000.0,132.0,15
9.0,21.94024086,29.92,0.036,7.77e-09,636000000.0,132.0,15
10.0,21.941222906125,30.8,0.036,7.77e-09,636000000.0,132.0,15
11.0,21.94220495225,31.68,0.036,7.77e-09,636000000.0,132.0,15
12.0,21.943186998375,32.56,0.036,7.77e-09,636000000.0,132.0,15
13.0,21.9441690445,33.44,0.036,7.77e-09,636000000.0,132.0,15
14.0,21.945151090625,34.32,0.036,7.77e-09,636000000.0,132.0,15
15.0,21.94613313675,35.2,0.036,7.77e-09,636000000.0,132.0,15
16.0,21.947115182875,36.08,0.036,7.77e-09,636000000.0,132.0,15
17.0,21.948097229,36.96,0.036,7.77e-09,636000000.0,132.0,15
18.0,21.9544713974,37.84,0.036,7.77e-09,636000000.0,132.0,15
19.0,21.9608455658,38.72,0.036,7.77e-09,636000000.0,132.0,15
20.0,21.9672197342,39.6,0.036,7.77e-09,636000000.0,132.0,15
21.0,21.9735939026,40.48,0.036,7.77e-09,636000000.0,132.0,15
22.0,21.979968071,41.36,0.036,7.77e-09,636000000.0,132.0,15
23.0,21.9863422394,42.24,0.036,7.77e-09,636000000.0,132.0,15
24.0,21.9927164078,43.12,0.036,7.77e-09,636000000.0,132.0,15
25.0,21.9990905762,44.0,0.036,7.77e-09,636000000.0,132.0,15
26.0,22.0054647446,44.88,0.036,7.77e-09,636000000.0,132.0,15
27.0,22.011838913,45.76,0.036,7.77e-09,636000000.0,132.0,15
28.0,22.02350692752,46.64,0.036,7.77e-09,636000000.0,132.0,15
29.0,22.03517494204,47.52,0.036,7.77e-09,636000000.0,132.0,15
30.0,22.04684295656,48.4,0.036,7.77e-09,636000000.0,132.0,15
31.0,22.05851097108,49.28,0.036,7.77e-09,636000000.0,132.0,15
32.0,22.0701789856,50.16,0.036,7.77e-09,636000000.0,132.0,15
33.0,22.08184700012,51.04,0.036,7.77e-09,636000000.0,132.0,15
34.0,22.09351501464,51.92,0.036,7.77e-09,636000000.0,132.0,15
35.0,22.10518302916,52.8,0.036,7.77e-09,636000000.0,132.0,15
36.0,22.11685104368,53.68,0.036,7.77e-09,636000000.0,132.0,15
37.0,22.1285190582,54.56,0.036,7.77e-09,636000000.0,132.0,15
38.0,22.14545135496,55.44,0.036,7.77e-09,636000000.0,132.0,15
39.0,22.16238365172,56.32,0.036,7.77e-09,636000000.0,132.0,15
40.0,22.17931594848,57.2,0.036,7.77e-09,636000000.0,132.0,15
41.0,22.19624824524,58.08,0.036,7.77e-09,636000000.0,132.0,15
42.0,22.213180542,58.96,0.036,7.77e-09,636000000.0,132.0,15
43.0,22.23011283876,59.84,0.036,7.77e-09,636000000.0,132.0,15
