time,T_int,T_ext_1,Film_Coef,Density,Specific_Heat,Thermal_Conductivity,Radius
1.0,21.9471187592,22.88,0.036,7.87e-09,486000000.0,72.0,15
2.0,21.9037532806,23.76,0.036,7.87e-09,486000000.0,72.0,15
3.0,21.867559433,24.64,0.036,7.87e-09,486000000.0,72.0,15
4.0,21.84093379975,25.52,0.036,7.87e-09,486000000.0,72.0,15
5.0,21.8143081665,26.4,0.036,7.87e-09,486000000.0,72.0,15
6.0,21.8003025055,27.28,0.036,7.87e-09,486000000.0,72.0,15
7.0,21.7862968445,28.16,0.036,7.87e-09,486000000.0,72.0,15
8.0,21.7722911835,29.04,0.036,7.87e-09,486000000.0,72.0,15
9.0,21.7582855225,29.92,0.036,7.87e-09,486000000.0,72.0,15
10.0,21.7632532120125,30.8,0.036,7.87e-09,486000000.0,72.0,15
11.0,21.768220901525,31.68,0.036,7.87e-09,486000000.0,72.0,15
12.0,21.7731885910375,32.56,0.036,7.87e-09,486000000.0,72.0,15
13.0,21.77815628055,33.44,0.036,7.87e-09,486000000.0,72.0,15
14.0,21.7831239700625,34.32,0.036,7.87e-09,486000000.0,72.0,15
15.0,21.788091659575,35.2,0.036,7.87e-09,486000000.0,72.0,15
16.0,21.7930593490875,36.08,0.036,7.87e-09,486000000.0,72.0,15
17.0,21.7980270386,36.96,0.036,7.87e-09,486000000.0,72.0,15
18.0,21.8240501404,37.84,0.036,7.87e-09,486000000.0,72.0,15
19.0,21.8500732422,38.72,0.036,7.87e-09,486000000.0,72.0,15
20.0,21.876096344,39.6,0.036,7.87e-09,486000000.0,72.0,15
21.0,21.9021194458,40.48,0.036,7.87e-09,486000000.0,72.0,15
22.0,21.9281425476,41.36,0.036,7.87e-09,486000000.0,72.0,15
23.0,21.9541656494,42.24,0.036,7.87e-09,486000000.0,72.0,15
24.0,21.9801887512,43.12,0.036,7.87e-09,486000000.0,72.0,15
25.0,22.006211853,44.0,0.036,7.87e-09,486000000.0,72.0,15
26.0,22.0322349548,44.88,0.036,7.87e-09,486000000.0,72.0,15
27.0,22.0582580566,45.76,0.036,7.87e-09,486000000.0,72.0,15
28.0,22.10433673855,46.64,0.036,7.87e-09,486000000.0,72.0,15
29.0,22.1504154205,47.52,0.036,7.87e-09,486000000.0,72.0,15
30.0,22.19649410245,48.4,0.036,7.87e-09,486000000.0,72.0,15
31.0,22.2425727844,49.28,0.036,7.87e-09,486000000.0,72.0,15
32.0,22.28865146635,50.16,0.036,7.87e-09,486000000.0,72.0,15
33.0,22.3347301483,51.04,0.036,7.87e-09,486000000.0,72.0,15
34.0,22.38080883025,51.92,0.036,7.87e-09,486000000.0,72.0,15
35.0,22.4268875122,52.8,0.036,7.87e-09,486000000.0,72.0,15
36.0,22.47296619415,53.68,0.036,7.87e-09,486000000.0,72.0,15
37.0,22.5190448761,54.56,0.036,7.87e-09,486000000.0,72.0,15
38.0,22.58467006683,55.44,0.036,7.87e-09,486000000.0,72.0,15
39.0,22.65029525756,56.32,0.036,7.87e-09,486000000.0,72.0,15
40.0,22.71592044829,57.2,0.036,7.87e-09,486000000.0,72.0,15
41.0,22.78154563902,58.08,0.036,7.87e-09,486000000.0,72.0,15
42.0,22.84717082975,58.96,0.036,7.87e-09,486000000.0,72.0,15
43.0,22.91279602048,59.84,0.036,7.87e-09,486000000.0,72.0,15
44.0,22.97842121121,60.72,0.036,7.87e-09,486000000.0,72.0,15
45.0,23.04404640194,61.6,0.036,7.87e-09,486000000.0,72.0,15
46.0,23.10967159267,62.48,0.036,7.87e-09,486000000.0,72.0,15
47.0,23.1752967834,63.36,0.036,7.87e-09,486000000.0,72.0,15
48.0,23.24172935482,64.24,0.036,7.87e-09,486000000.0,72.0,15
49.0,23.30816192624,65.12,0.036,7.87e-09,486000000.0,72.0,15
