time,T_int,T_ext_1,Film_Coef,Density,Specific_Heat,Thermal_Conductivity,Radius
1.0,21.9314899445,22.88,0.036,7.87e-09,286000000.0,112.0,15
2.0,21.8776321411,23.76,0.036,7.87e-09,286000000.0,112.0,15
3.0,21.8326911926,24.64,0.036,7.87e-09,286000000.0,112.0,15
4.0,21.7982969284,25.52,0.036,7.87e-09,286000000.0,112.0,15
5.0,21.7639026642,26.4,0.036,7.87e-09,286000000.0,112.0,15
6.0,21.744103431725,27.28,0.036,7.87e-09,286000000.0,112.0,15
7.0,21.72430419925,28.16,0.036,7.87e-09,286000000.0,112.0,15
8.0,21.704504966775,29.04,0.036,7.87e-09,286000000.0,112.0,15
9.0,21.6847057343,29.92,0.036,7.87e-09,286000000.0,112.0,15
10.0,21.6894822121125,30.8,0.036,7.87e-09,286000000.0,112.0,15
11.0,21.694258689925,31.68,0.036,7.87e-09,286000000.0,112.0,15
12.0,21.6990351677375,32.56,0.036,7.87e-09,286000000.0,112.0,15
13.0,21.70381164555,33.44,0.036,7.87e-09,286000000.0,112.0,15
14.0,21.7085881233625,34.32,0.036,7.87e-09,286000000.0,112.0,15
15.0,21.713364601175,35.2,0.036,7.87e-09,286000000.0,112.0,15
16.0,21.7181410789875,36.08,0.036,7.87e-09,286000000.0,112.0,15
17.0,21.7229175568,36.96,0.036,7.87e-09,286000000.0,112.0,15
18.0,21.75675621036,37.84,0.036,7.87e-09,286000000.0,112.0,15
19.0,21.79059486392,38.72,0.036,7.87e-09,286000000.0,112.0,15
20.0,21.82443351748,39.6,0.036,7.87e-09,286000000.0,112.0,15
21.0,21.85827217104,40.48,0.036,7.87e-09,286000000.0,112.0,15
22.0,21.8921108246,41.36,0.036,7.87e-09,286000000.0,112.0,15
23.0,21.92594947816,42.24,0.036,7.87e-09,286000000.0,112.0,15
24.0,21.95978813172,43.12,0.036,7.87e-09,286000000.0,112.0,15
25.0,21.99362678528,44.0,0.036,7.87e-09,286000000.0,112.0,15
26.0,22.02746543884,44.88,0.036,7.87e-09,286000000.0,112.0,15
27.0,22.0613040924,45.76,0.036,7.87e-09,286000000.0,112.0,15
28.0,22.12348041534,46.64,0.036,7.87e-09,286000000.0,112.0,15
29.0,22.18565673828,47.52,0.036,7.87e-09,286000000.0,112.0,15
30.0,22.24783306122,48.4,0.036,7.87e-09,286000000.0,112.0,15
31.0,22.31000938416,49.28,0.036,7.87e-09,286000000.0,112.0,15
32.0,22.3721857071,50.16,0.036,7.87e-09,286000000.0,112.0,15
33.0,22.43436203004,51.04,0.036,7.87e-09,286000000.0,112.0,15
34.0,22.49653835298,51.92,0.036,7.87e-09,286000000.0,112.0,15
35.0,22.55871467592,52.8,0.036,7.87e-09,286000000.0,112.0,15
36.0,22.62089099886,53.68,0.036,7.87e-09,286000000.0,112.0,15
37.0,22.6830673218,54.56,0.036,7.87e-09,286000000.0,112.0,15
38.0,22.77300853731,55.44,0.036,7.87e-09,286000000.0,112.0,15
39.0,22.86294975282,56.32,0.036,7.87e-09,286000000.0,112.0,15
40.0,22.95289096833,57.2,0.036,7.87e-09,286000000.0,112.0,15
41.0,23.04283218384,58.08,0.036,7.87e-09,286000000.0,112.0,15
42.0,23.13277339935,58.96,0.036,7.87e-09,286000000.0,112.0,15
43.0,23.22271461486,59.84,0.036,7.87e-09,286000000.0,112.0,15
44.0,23.31265583037,60.72,0.036,7.87e-09,286000000.0,112.0,15
45.0,23.40259704588,61.6,0.036,7.87e-09,286000000.0,112.0,15
46.0,23.49253826139,62.48,0.036,7.87e-09,286000000.0,112.0,15
47.0,23.5824794769,63.36,0.036,7.87e-09,286000000.0,112.0,15
48.0,23.67526283262,64.24,0.036,7.87e-09,286000000.0,112.0,15
49.0,23.76804618834,65.12,0.036,7.87e-09,286000000.0,112.0,15
50.0,23.86082954406,66.0,0.036,7.87e-09,286000000.0,112.0,15
51.0,23.95361289978,62.94,0.036,7.87e-09,286000000.0,112.0,15
52.0,24.0463962555,62.88,0.036,7.87e-09,286000000.0,112.0,15
53.0,24.13917961122,62.82,0.036,7.87e-09,286000000.0,112.0,15
54.0,24.23196296694,62.76,0.036,7.87e-09,286000000.0,112.0,15
55.0,24.32474632266,62.7,0.036,7.87e-09,286000000.0,112.0,15
56.0,24.41752967838,62.64,0.036,7.87e-09,286000000.0,112.0,15
57.0,24.5103130341,62.58,0.036,7.87e-09,286000000.0,112.0,15
58.0,24.59734535221,62.52,0.036,7.87e-09,286000000.0,112.0,15
59.0,24.68437767032,62.46,0.036,7.87e-09,286000000.0,112.0,15
60.0,24.77140998843,62.4,0.036,7.87e-09,286000000.0,112.0,15
61.0,24.85844230654,62.34,0.036,7.87e-09,286000000.0,112.0,15
62.0,24.94547462465,62.28,0.036,7.87e-09,286000000.0,112.0,15
63.0,25.03250694276,62.22,0.036,7.87e-09,286000000.0,112.0,15
64.0,25.11953926087,62.16,0.036,7.87e-09,286000000.0,112.0,15
65.0,25.20657157898,62.1,0.036,7.87e-09,286000000.0,112.0,15
66.0,25.29360389709,62.04,0.036,7.87e-09,286000000.0,112.0,15
67.0,25.3806362152,61.98,0.036,7.87e-09,286000000.0,112.0,15
68.0,25.46307106017,61.92,0.036,7.87e-09,286000000.0,112.0,15
69.0,25.54550590514,61.86,0.036,7.87e-09,286000000.0,112.0,15
70.0,25.62794075011,61.8,0.036,7.87e-09,286000000.0,112.0,15
71.0,25.71037559508,61.74,0.036,7.87e-09,286000000.0,112.0,15
72.0,25.79281044005,61.68,0.036,7.87e-09,286000000.0,112.0,15
73.0,25.87524528502,61.62,0.036,7.87e-09,286000000.0,112.0,15
74.0,25.95768012999,61.56,0.036,7.87e-09,286000000.0,112.0,15
75.0,26.04011497496,61.5,0.036,7.87e-09,286000000.0,112.0,15
76.0,26.12254981993,61.44,0.036,7.87e-09,286000000.0,112.0,15
77.0,26.2049846649,61.38,0.036,7.87e-09,286000000.0,112.0,15
78.0,26.28301715849,61.32,0.036,7.87e-09,286000000.0,112.0,15
79.0,26.36104965208,61.26,0.036,7.87e-09,286000000.0,112.0,15
80.0,26.43908214567,61.2,0.036,7.87e-09,286000000.0,112.0,15
81.0,26.51711463926,61.14,0.036,7.87e-09,286000000.0,112.0,15
82.0,26.59514713285,61.08,0.036,7.87e-09,286000000.0,112.0,15
83.0,26.67317962644,61.02,0.036,7.87e-09,286000000.0,112.0,15
84.0,26.75121212003,60.96,0.036,7.87e-09,286000000.0,112.0,15
85.0,26.82924461362,60.9,0.036,7.87e-09,286000000.0,112.0,15
86.0,26.90727710721,60.84,0.036,7.87e-09,286000000.0,112.0,15
87.0,26.9853096008,60.78,0.036,7.87e-09,286000000.0,112.0,15
